group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,197514,train,1,3,1 2 1 10 9 8 7 6 5 4 3,11,881 507 758 745 656 366 960 428 332 275 308 1147 417 420 524 406 338 470 517 3340,39 39 39 39 37 37 37 37 37 37 40 40 40 40 39 39 39 38 38 32,13795
A,197514,train,1,3,1 2 3,3,559 987 2090,39 40 32,3636
A,197514,train,4,6,4 5 6,3,427 1505 1150,40 37 32,3082
A,197514,train,7,8,7 8,2,504 1095,38 32,1599
A,197514,train,1,3,1 2 3,3,496 429 538 395 1025,39 39 40 37 32,2883
A,197514,train,2,10,2 3 2 3 4 3 2 3 2 1 2 3 4 3 2 1 10,17,886 777 450 914 502 599 1283 372 455 728 870 19 25554 261 1960 1114 658 427 355 473 553 344 306 1665 440 488 469 429 1353,40 38 38 40 16 40 37 38 38 38 40 37 38 38 37 39 39 39 40 40 37 37 37 38 38 38 37 37 32,44704
A,197514,train,4,6,4 3 2 3 4 5 6,7,340 440 795 509 703 464 450 1025,38 38 40 40 40 40 37 32,4726
A,197514,train,4,6,4 3 2 1 10 1 2 3 4 5 6,11,448 459 706 428 1144 448 1122 529 504 392 372 1062,38 38 37 37 39 39 40 40 40 40 37 32,7614
A,197514,train,5,7,5 6 7,3,1327 471 1153,37 37 32,2951
A,197514,train,1,3,1 10 9 10 1 2 3,7,352 505 429 841 861 416 660 1095,37 37 40 38 39 39 40 32,5159
A,197514,train,1,3,1 2 3,3,476 405 326 1051,39 39 40 32,2258
A,197514,train,10,7,10 1 2 3 4 5 6 7,8,601 443 1008 396 346 439 543 580 1024,39 39 40 40 40 40 37 37 32,5380
A,197514,train,1,3,1 10 9 10 9 8 7 6 7 8 9 10 9 8 7 6 5 6 7 8 9 8 7 6 7 8 9 10 1 2 3,31,891 499 295 798 415 497 345 557 854 447 443 1255 513 332 233 553 426 480 382 483 339 763 486 1170 362 395 497 561 977 370 520 516 1118 782 476 323 590 400 641 430 470 1043,37 37 40 38 38 40 39 40 40 40 39 37 37 37 38 38 38 38 40 40 40 39 39 37 37 37 38 38 40 40 40 39 37 38 38 38 38 39 39 39 40 32,23927
A,197514,train,9,6,9 8 7 6,4,516 424 436 435 976,40 40 40 39 32,2787
A,197514,train,3,4,3 2 1 2 3 4,6,358 434 399 711 487 367 541 1182,38 38 37 39 39 40 40 32,4479
A,197514,train,8,3,8 7 6 5 4 3,6,917 517 379 428 899 410 1190,40 40 39 39 38 38 32,4740
A,197514,train,10,7,10 1 2 3 4 5 6 7,8,1042 469 372 471 498 395 389 470 464 285 973,39 39 39 40 40 40 40 37 37 37 32,5828
A,197514,train,10,7,10 1 2 3 4 5 6 7,8,309 378 509 548 467 366 411 469 437 1042,39 39 39 40 40 40 40 37 37 32,4936
