group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,139498,train,4,5,4 5 6 7 8 7 6 5 6 5,10,159 499 33 33 34 32 106 302 422 1008 812 990 328 631 344 276 426 2108 736 409,39 39 39 39 39 39 38 37 39 39 40 39 38 39 39 37 37 39 37 32,9688,1551125077.813,Mon Feb 25 2019 14:04:37 GMT-0600 (Central Standard Time)
A,139498,train,8,2,8 9 8 7 6 5 4 3 2 1 2,11,58 168 270 370 214 384 262 296 484 156 595 177 384 182 164 336,39 39 40 38 38 38 37 37 40 40 40 39 40 37 40 32,4500,1551125088.321,Mon Feb 25 2019 14:04:48 GMT-0600 (Central Standard Time)
A,139498,train,4,1,4 5 6 5 4 5 6 7 8 9 10 1,12,404 270 1080 314 294 152 172 302 214 188 177 263 136 227 183 338 372 416 476,38 39 37 37 37 40 37 37 38 38 37 37 39 39 40 40 40 37 32,5978,1551125100.315,Mon Feb 25 2019 14:05:00 GMT-0600 (Central Standard Time)
A,139498,train,8,10,8 9 10,3,4 201 172 322,40 40 40 32,699,1551125107.023,Mon Feb 25 2019 14:05:07 GMT-0600 (Central Standard Time)
A,139498,train,5,7,5 6 7,3,55 395 399,39 39 32,849,1551125113.881,Mon Feb 25 2019 14:05:13 GMT-0600 (Central Standard Time)
A,139498,train,10,7,10 1 2 1 2 3 4 5 6 7,10,358 162 150 171 180 170 180 168 172 134 350 156 200 126 194 182 222 280 154 272 436 726 197 367,40 40 40 40 40 40 40 40 37 37 40 40 39 40 40 38 37 38 38 38 38 39 39 32,5707,1551125125.595,Mon Feb 25 2019 14:05:25 GMT-0600 (Central Standard Time)
A,139498,train,3,5,3 4 3 2 1 10 1 2 3 4 5,11,135 166 170 104 260 173 272 167 283 171 146 160 168 65 241 79 230 181 358 268 181 144 168 554 166 196 179 168 163 185 36 1060,37 37 37 38 39 39 37 40 39 39 37 37 37 40 40 37 39 39 39 37 37 37 37 38 38 39 37 37 38 38 37 32,6997,1551125138.603,Mon Feb 25 2019 14:05:38 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5 6 5,4,115 241 88 176 285 403,37 37 38 39 37 32,1308,1551125145.92,Mon Feb 25 2019 14:05:45 GMT-0600 (Central Standard Time)
A,139498,train,7,9,7 8 9,3,152 220 410,40 40 32,782,1551125152.71,Mon Feb 25 2019 14:05:52 GMT-0600 (Central Standard Time)
A,139498,train,10,7,10 9 8 9 8 7 6 7,8,275 169 81 176 163 178 342 160 200 226 50 210 143 106 444 1149,38 38 37 37 39 39 37 40 39 39 37 38 38 37 39 32,4072,1551125162.792,Mon Feb 25 2019 14:06:02 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5,2,2469 216 568,38 38 32,3253,1551125172.056,Mon Feb 25 2019 14:06:12 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 1 2 3,4,671 296 224 259 277 246 898 222 208 2 144 16 216 354,40 40 40 40 37 37 37 40 39 37 37 38 37 32,4033,1551125182.096,Mon Feb 25 2019 14:06:22 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5,2,911 215 262,38 38 32,1388,1551125189.492,Mon Feb 25 2019 14:06:29 GMT-0600 (Central Standard Time)
A,139498,train,8,5,8 7 6 5,4,1256 315 211 754 151 389,39 38 39 37 37 32,3076,1551125198.574,Mon Feb 25 2019 14:06:38 GMT-0600 (Central Standard Time)
A,139498,train,4,9,4 3 2 1 10 9,6,652 478 478 543 316 809 494 440,40 40 40 39 39 39 38 32,4210,1551125208.793,Mon Feb 25 2019 14:06:48 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 3 4 5,4,756 1207 282 755,40 38 38 32,3000,1551125217.802,Mon Feb 25 2019 14:06:57 GMT-0600 (Central Standard Time)
A,139498,train,6,3,6 5 4 3,4,466 220 308 160 398,37 37 40 40 32,1552,1551125225.367,Mon Feb 25 2019 14:07:05 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5,2,266 169 330,38 38 32,765,1551125232.139,Mon Feb 25 2019 14:07:12 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 1 10 9 8 9 8 7 8 9 10 1 2 3,14,157 411 207 221 398 388 349 205 475 434 143 190 118 283 208 364 149 135 138 252 164 144 183 577 164 470,40 40 37 39 39 39 39 38 38 40 39 39 37 38 38 40 40 40 40 37 37 37 37 38 37 32,6927,1551125245.076,Mon Feb 25 2019 14:07:25 GMT-0600 (Central Standard Time)
A,139498,train,8,2,8 7 8 9 10 1 2,7,328 191 209 389 340 166 114 274 190 192 204 124 178 159 270,39 39 38 38 40 40 39 39 40 39 39 37 37 37 32,3328,1551125254.41,Mon Feb 25 2019 14:07:34 GMT-0600 (Central Standard Time)
A,139498,train,3,1,3 2 3 2 1 10 1,7,1625 891 517 271 249 206 296 74 194 274 117,40 38 39 37 40 40 37 39 39 37 32,4714,1551125265.133,Mon Feb 25 2019 14:07:45 GMT-0600 (Central Standard Time)
A,139498,train,6,10,6 7 8 9 8 9 10,7,368 332 261 177 386 166 178 234 114 166 166 114 166 160 166 150 316,39 39 40 40 37 37 39 39 38 39 39 37 37 40 40 40 32,3620,1551125274.762,Mon Feb 25 2019 14:07:54 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5,2,657 158 314,38 38 32,1129,1551125281.899,Mon Feb 25 2019 14:08:01 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5,2,231 246,38 32,477,1551125288.387,Mon Feb 25 2019 14:08:08 GMT-0600 (Central Standard Time)
A,139498,train,3,2,3 2,2,115 182 268,40 40 32,565,1551125294.966,Mon Feb 25 2019 14:08:14 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,209 85,38 32,294,1551125301.27,Mon Feb 25 2019 14:08:21 GMT-0600 (Central Standard Time)
A,139498,train,7,6,7 6 5 6,4,81 158 316 111,37 37 39 32,666,1551125307.943,Mon Feb 25 2019 14:08:27 GMT-0600 (Central Standard Time)
A,139498,train,10,4,10 1 10 9 10 1 2 3 4,9,296 521 364 568 174 310 860 424 104 210 332 344 300 146 442,39 40 37 39 39 38 37 40 37 37 37 40 38 38 32,5395,1551125319.348,Mon Feb 25 2019 14:08:39 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,285 129,38 32,414,1551125325.77,Mon Feb 25 2019 14:08:45 GMT-0600 (Central Standard Time)
A,139498,train,3,2,3 2,2,249 131,40 32,380,1551125332.16,Mon Feb 25 2019 14:08:52 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,231 108,38 32,339,1551125338.506,Mon Feb 25 2019 14:08:58 GMT-0600 (Central Standard Time)
A,139498,train,1,4,1 2 1 10 9 8 9 8 7 6 5 4 3 2 3 4,16,1005 225 286 172 156 304 412 562 112 190 150 211 512 155 154 180 172 132 252 390 406,37 37 39 39 39 38 38 40 37 37 38 38 37 37 37 40 40 40 38 38 32,6138,1551125350.655,Mon Feb 25 2019 14:09:10 GMT-0600 (Central Standard Time)
A,139498,train,7,1,7 6 7 8 9 10 1,7,303 266 460 254 409 514 273 390 287 433,37 40 39 40 40 37 39 40 37 32,3589,1551125360.256,Mon Feb 25 2019 14:09:20 GMT-0600 (Central Standard Time)
A,139498,train,1,7,1 10 9 8 7,5,292 198 210 186 566 246 248 318 190 422 832,38 38 38 38 38 38 39 38 38 38 32,3708,1551125369.976,Mon Feb 25 2019 14:09:29 GMT-0600 (Central Standard Time)
A,139498,train,9,5,9 8 7 6 5,5,336 191 221 196 104 405 558 371 305 212 371,37 38 37 37 38 32 39 39 37 37 32,3270,1551125379.254,Mon Feb 25 2019 14:09:39 GMT-0600 (Central Standard Time)
A,139498,train,3,10,3 2 1 10,4,32 136 162 200 192 180 174 288,40 40 40 37 39 39 39 32,1364,1551125386.627,Mon Feb 25 2019 14:09:46 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,251 113,38 32,364,1551125393.006,Mon Feb 25 2019 14:09:53 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,231 58 600 318 237,40 32 40 38 32,1444,1551125400.46,Mon Feb 25 2019 14:10:00 GMT-0600 (Central Standard Time)
A,139498,train,10,7,10 9 8 7,4,58 187 388 644,38 38 38 32,1277,1551125407.745,Mon Feb 25 2019 14:10:07 GMT-0600 (Central Standard Time)
A,139498,train,10,7,10 9 8 7,4,129 150 142 308,38 38 38 32,729,1551125414.484,Mon Feb 25 2019 14:10:14 GMT-0600 (Central Standard Time)
A,139498,train,10,7,10 9 8 7,4,100 175 152 156,38 38 38 32,583,1551125421.08,Mon Feb 25 2019 14:10:21 GMT-0600 (Central Standard Time)
A,139498,train,10,7,10 9 8 7,4,12 163 148 184,38 38 38 32,507,1551125427.595,Mon Feb 25 2019 14:10:27 GMT-0600 (Central Standard Time)
A,139498,train,3,8,3 4 5 6 5 4 3 2 1 10 1 2 3 2 1 10 9 8,18,1322 578 282 212 450 450 178 188 202 88 268 405 69 388 222 370 460 322 136 234 255 90 203 182 226 384 232 301 365 143 262 174 150 275 404 449 268 233 704,38 39 39 38 39 40 40 37 37 40 40 37 40 40 39 39 39 37 40 40 40 37 40 40 38 39 39 37 37 40 37 37 39 39 38 37 39 38 32,12124,1551125445.725,Mon Feb 25 2019 14:10:45 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,226 102,38 32,328,1551125452.064,Mon Feb 25 2019 14:10:52 GMT-0600 (Central Standard Time)
A,139498,train,6,9,6 7 8 9,4,181 158 184 230 544,39 39 40 40 32,1297,1551125459.369,Mon Feb 25 2019 14:10:59 GMT-0600 (Central Standard Time)
A,139498,train,1,7,1 10 9 8 7,5,237 244 112 154 124 384,38 39 38 38 38 32,1255,1551125466.632,Mon Feb 25 2019 14:11:06 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5,2,156 150 266,38 38 32,572,1551125473.212,Mon Feb 25 2019 14:11:13 GMT-0600 (Central Standard Time)
A,139498,train,4,5,4 5,2,242 185,38 32,427,1551125479.646,Mon Feb 25 2019 14:11:19 GMT-0600 (Central Standard Time)
A,139498,train,8,1,8 9 10 9 8 9 10 1 2 1,10,218 172 804 189 160 176 187 186 167 169 106 181 172 73 216 306 114,40 40 38 37 37 39 39 38 39 39 37 40 40 37 37 39 32,3596,1551125489.256,Mon Feb 25 2019 14:11:29 GMT-0600 (Central Standard Time)
A,139498,train,7,6,7 6,2,168 345,37 32,513,1551125495.778,Mon Feb 25 2019 14:11:35 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,263 218,38 32,481,1551125502.266,Mon Feb 25 2019 14:11:42 GMT-0600 (Central Standard Time)
A,139498,train,4,2,4 3 2,3,287 538 360 382,40 39 40 32,1567,1551125509.838,Mon Feb 25 2019 14:11:49 GMT-0600 (Central Standard Time)
A,139498,train,2,3,2 3,2,232 106,38 32,338,1551125516.54,Mon Feb 25 2019 14:11:56 GMT-0600 (Central Standard Time)
