group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,198616,train,1,4,5,4 3 2 1 2 3 4 5 6 5,10,817 2432 1455 947 1086 1271 2200 1512 1015 3120,38 38 37 39 40 40 40 37 39 32,1 2 3 4 5 6 7 8 9,15855,1551386593.123,Thu Feb 28 2019 15:43:13 GMT-0500 (Eastern Standard Time)
A,198616,train,2,2,7,2 1 2 3 4 5 4 3 2 1 10 9 8 7,14,513 1048 1120 768 968 1456 480 472 968 456 479 616 729 736 479 2160,37 39 40 40 40 38 38 38 38 37 37 37 40 40 40 32,1 2 3 4 5 6 7 8 10 11 13 14 15,13448,1551386612.581,Thu Feb 28 2019 15:43:32 GMT-0500 (Eastern Standard Time)
A,198616,train,3,2,3,2 1 2 3,4,793 824 768 1272,37 39 40 32,1 2 3,3657,1551386622.245,Thu Feb 28 2019 15:43:42 GMT-0500 (Eastern Standard Time)
A,198616,train,4,10,7,10 9 8 7,4,640 760 953 920,40 40 40 32,1 2 3,3273,1551386631.525,Thu Feb 28 2019 15:43:51 GMT-0500 (Eastern Standard Time)
A,198616,train,5,2,3,2 1 2 3,4,505 1464 912 1680,37 39 40 32,1 2 3,4561,1551386642.093,Thu Feb 28 2019 15:44:02 GMT-0500 (Eastern Standard Time)
A,198616,train,6,2,3,2 3,2,386 878,40 32,1,1264,1551386649.364,Thu Feb 28 2019 15:44:09 GMT-0500 (Eastern Standard Time)
A,198616,train,7,4,5,4 5,2,593 920,40 32,1,1513,1551386656.883,Thu Feb 28 2019 15:44:16 GMT-0500 (Eastern Standard Time)
A,198616,train,8,2,3,2 3,2,520 663,40 32,1,1183,1551386664.079,Thu Feb 28 2019 15:44:24 GMT-0500 (Eastern Standard Time)
A,198616,train,9,4,5,4 5,2,649 1064,40 32,1,1713,1551386671.799,Thu Feb 28 2019 15:44:31 GMT-0500 (Eastern Standard Time)
A,198616,train,10,4,5,4 5,2,12599 1120,40 32,1,13719,1551386691.525,Thu Feb 28 2019 15:44:51 GMT-0500 (Eastern Standard Time)
A,198616,train,11,1,5,1 10 9 8 7 6 5,7,2569 671 704 408 360 472 840 848,37 40 40 40 40 39 39 32,1 2 3 4 6 7,6872,1551386704.405,Thu Feb 28 2019 15:45:04 GMT-0500 (Eastern Standard Time)
A,198616,train,12,7,2,7 8 7 6 5 6 7 8 9 10 1 2,12,2176 600 1296 496 448 456 696 416 994 464 440 1056 560 720,40 38 40 39 39 39 37 37 38 38 38 39 39 32,2 3 4 5 7 8 9 10 11 12 13,10818,1551386721.23,Thu Feb 28 2019 15:45:21 GMT-0500 (Eastern Standard Time)
A,198616,train,13,2,3,2 3,2,29769 1496,40 32,1,31265,1551386758.5,Thu Feb 28 2019 15:45:58 GMT-0500 (Eastern Standard Time)
A,198616,train,14,10,7,10 9 8 7,4,490 751 520 1536,40 40 40 32,1 2 3,3297,1551386767.804,Thu Feb 28 2019 15:46:07 GMT-0500 (Eastern Standard Time)
A,198616,train,15,1,10,1 10,2,517 1160,37 32,1,1677,1551386775.492,Thu Feb 28 2019 15:46:15 GMT-0500 (Eastern Standard Time)
A,198616,train,16,1,4,1 2 3 4,4,1321 431 440 536 1032,39 39 40 40 32,1 3 4,3760,1551386785.262,Thu Feb 28 2019 15:46:25 GMT-0500 (Eastern Standard Time)
A,198616,train,17,2,3,2 3,2,946 1056,40 32,1,2002,1551386793.271,Thu Feb 28 2019 15:46:33 GMT-0500 (Eastern Standard Time)
A,198616,train,18,2,3,2 3,2,791 1216,40 32,1,2007,1551386801.286,Thu Feb 28 2019 15:46:41 GMT-0500 (Eastern Standard Time)
A,198616,train,19,10,7,10 9 8 7,4,538 440 392 1152,40 40 40 32,1 2 3,2522,1551386809.813,Thu Feb 28 2019 15:46:49 GMT-0500 (Eastern Standard Time)
A,198616,train,20,2,3,2 3,2,426 1088,40 32,1,1514,1551386817.333,Thu Feb 28 2019 15:46:57 GMT-0500 (Eastern Standard Time)
A,198616,train,21,5,8,5 4 3 2 1 10 9 8,8,457 464 456 392 408 392 1264 464 1168,38 38 38 38 37 37 40 40 32,1 2 3 5 6 7 8,5465,1551386828.804,Thu Feb 28 2019 15:47:08 GMT-0500 (Eastern Standard Time)
A,198616,train,22,7,8,7 6 5 4 3 2 1 10 9 8,10,1010 1144 615 377 328 410 448 337 392 375 368 1066,39 39 38 38 38 38 37 37 37 40 40 32,1 2 3 4 5 7 8 10 11,6870,1551386841.68,Thu Feb 28 2019 15:47:21 GMT-0500 (Eastern Standard Time)
A,198616,train,23,2,1,2 3 4 5 6 7 8 9 10 1,10,479 672 384 392 488 352 384 688 296 312 400 312 1143,40 40 40 40 37 37 37 38 38 38 38 39 32,1 2 3 5 6 8 9 10 12,6302,1551386853.99,Thu Feb 28 2019 15:47:33 GMT-0500 (Eastern Standard Time)
A,198616,train,24,1,7,1 10 1 2 3 4 5 6 7,9,939 351 1056 296 864 560 392 400 400 448 432 1192,37 37 39 39 39 40 40 40 40 37 37 32,1 3 4 6 7 8 10 11,7330,1551386867.325,Thu Feb 28 2019 15:47:47 GMT-0500 (Eastern Standard Time)
A,198616,train,25,4,5,4 5,2,999 1071,40 32,1,2070,1551386875.405,Thu Feb 28 2019 15:47:55 GMT-0500 (Eastern Standard Time)
A,198616,train,26,5,3,5 6 5 4 5 6 7 8 9 10 1 2 3 4 3,15,674 896 376 1288 312 472 264 272 552 288 304 408 344 264 392 584 328 464 1096,37 39 38 40 40 37 37 37 38 38 38 38 39 39 39 40 40 38 32,1 2 3 4 6 7 9 10 11 13 14 16 17 18,9578,1551386890.988,Thu Feb 28 2019 15:48:10 GMT-0500 (Eastern Standard Time)
A,198616,train,27,10,7,10 9 8 7,4,451 503 376 980,40 40 40 32,1 2 3,2310,1551386899.303,Thu Feb 28 2019 15:48:19 GMT-0500 (Eastern Standard Time)
A,198616,train,28,10,7,10 1 10 9 8 7,6,633 968 545 375 344 960,39 37 40 40 40 32,1 2 3 4 5,3825,1551386909.135,Thu Feb 28 2019 15:48:29 GMT-0500 (Eastern Standard Time)
A,198616,train,29,3,9,3 2 1 10 9 8 9,7,610 1112 352 416 312 280 464 712,38 37 37 37 40 40 38 32,1 2 3 5 6 7,4258,1551386919.398,Thu Feb 28 2019 15:48:39 GMT-0500 (Eastern Standard Time)
A,198616,train,30,10,8,10 9 8,3,728 600 1073,40 40 32,1 2,2401,1551386927.806,Thu Feb 28 2019 15:48:47 GMT-0500 (Eastern Standard Time)
A,198616,train,31,7,9,7 8 9,3,569 472 1064,38 38 32,1 2,2105,1551386935.917,Thu Feb 28 2019 15:48:55 GMT-0500 (Eastern Standard Time)
A,198616,train,32,10,7,10 9 8 7,4,1561 351 384 816,40 40 40 32,1 2 3,3112,1551386945.037,Thu Feb 28 2019 15:49:05 GMT-0500 (Eastern Standard Time)
A,198616,train,33,10,7,10 9 8 7,4,481 376 368 832,40 40 40 32,1 2 3,2057,1551386953.1,Thu Feb 28 2019 15:49:13 GMT-0500 (Eastern Standard Time)
