group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,164799,train,1,4,5,4 5 6 5,4,3432 2185 681 385 780 1113 322,39 39 39 38 37 39 32,4 5 6,8898,1551496723.352,Fri Mar 01 2019 22:18:43 GMT-0500 (Eastern Standard Time)
A,164799,train,2,8,9,8 7 6 7 6 5 4 3 2 1 10 9,12,1405 319 294 819 188 158 433 84 391 301 434 397 501 230 235 884,38 38 39 37 39 39 39 40 40 40 37 37 37 40 38 32,1 3 4 5 6 8 9 10 11 12 15,7073,1551496736.432,Fri Mar 01 2019 22:18:56 GMT-0500 (Eastern Standard Time)
A,164799,train,3,10,7,10 1 2 3 4 5 4 3 2 1 10 9 8 7,14,9401 194 271 152 302 388 338 277 106 111 306 3154 228 253 308 265 320 497,39 39 39 38 38 38 38 40 40 40 40 37 37 38 38 38 38 32,1 2 4 5 6 8 9 10 12 13 14 15 16,16871,1551496759.31,Fri Mar 01 2019 22:19:19 GMT-0500 (Eastern Standard Time)
A,164799,train,4,2,3,2 1 10 1 10 9 8 7 8 7 6 7 8 9 10 1 2 3,18,5391 427 443 478 292 267 207 263 370 647 287 304 500 216 168 595 2296 149 149 221 210 177 333 289 700,37 38 37 39 38 37 38 38 38 40 38 39 40 37 40 39 40 40 40 39 39 39 38 37 32,1 3 4 6 7 8 9 10 11 12 14 15 17 18 20 21 23,15379,1551496780.696,Fri Mar 01 2019 22:19:40 GMT-0500 (Eastern Standard Time)
A,164799,train,5,3,2,3 4 5 6 7 8 7 8 9 10 1 2,12,3830 112 508 272 757 536 191 159 1600 384 2558 290 831,38 38 37 37 40 38 40 40 40 40 39 39 32,1 2 3 4 5 6 7 8 9 11 12,12028,1551496798.731,Fri Mar 01 2019 22:19:58 GMT-0500 (Eastern Standard Time)
A,164799,train,6,4,5,4 5,2,440 581,38 32,1,1021,1551496805.759,Fri Mar 01 2019 22:20:05 GMT-0500 (Eastern Standard Time)
A,164799,train,7,10,7,10 9 10 1 2 1 10 9 8 7,10,733 336 874 461 434 332 142 170 533 333 660 501,40 38 40 39 39 37 37 37 38 38 38 32,2 3 4 5 6 7 9 10 11,5509,1551496817.273,Fri Mar 01 2019 22:20:17 GMT-0500 (Eastern Standard Time)
A,164799,train,8,9,3,9 10 1 2 3,5,625 286 267 144 137 283 355,40 40 39 39 39 38 32,1 3 4 6,2097,1551496825.375,Fri Mar 01 2019 22:20:25 GMT-0500 (Eastern Standard Time)
A,164799,train,9,2,3,2 3,2,2695 275,38 32,1,2970,1551496834.352,Fri Mar 01 2019 22:20:34 GMT-0500 (Eastern Standard Time)
A,164799,train,10,4,5,4 3 4 5 6 5,6,1066 481 132 304 268 111,40 38 38 37 39 32,1 2 3 4 5,2362,1551496842.722,Fri Mar 01 2019 22:20:42 GMT-0500 (Eastern Standard Time)
A,164799,train,11,1,9,1 10 9 8 9,5,246 152 321 290 123 373 104,37 37 40 38 38 40 32,1 4 5 6,1609,1551496850.339,Fri Mar 01 2019 22:20:50 GMT-0500 (Eastern Standard Time)
A,164799,train,12,4,5,4 5,2,2237 119 121 171 946,38 38 38 39 32,1,3594,1551496859.94,Fri Mar 01 2019 22:20:59 GMT-0500 (Eastern Standard Time)
