group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,186867,train,1,-1,1 2 1,3,1719 430 1252,37 39 32,3401,288,1543518088.433,Thu Nov 29 2018 14:01:28 GMT-0500 (Eastern Standard Time)
A,186867,train,6,-1,6 5 4 3 2,5,1209 287 321 207 431 1201,37 37 40 40 40 32,3656,245,1543518093.605,Thu Nov 29 2018 14:01:33 GMT-0500 (Eastern Standard Time)
A,186867,train,8,10,8 7 8 9 10,5,2239 375 271 322 446 200 959,39 38 38 40 40 40 32,4812,45,1543518099.933,Thu Nov 29 2018 14:01:39 GMT-0500 (Eastern Standard Time)
A,186867,train,3,7,3 2 3 4 5 6 7,7,1087 208 208 874 678 456 184 288 168 384,37 37 37 40 38 38 38 39 39 32,4535,45,1543518105.983,Thu Nov 29 2018 14:01:45 GMT-0500 (Eastern Standard Time)
A,186867,train,8,-1,8 9 10 1,4,2057 855 361 487,40 40 37 32,3760,245,1543518111.262,Thu Nov 29 2018 14:01:51 GMT-0500 (Eastern Standard Time)
A,186867,train,8,-1,8 9 10 1 2,5,1245 319 280 568 665,40 40 37 37 32,3077,245,1543518115.854,Thu Nov 29 2018 14:01:55 GMT-0500 (Eastern Standard Time)
A,186867,train,5,7,5 4 5 6 7,5,838 663 264 162 310,40 38 39 39 32,2237,45,1543518119.604,Thu Nov 29 2018 14:01:59 GMT-0500 (Eastern Standard Time)
A,186867,train,2,-1,2,1,1689,32,1689,245,1543518122.812,Thu Nov 29 2018 14:02:02 GMT-0500 (Eastern Standard Time)
A,186867,train,9,6,9 8 7 6,4,969 183 368 416 360,38 38 38 37 32,2296,71,1543518126.621,Thu Nov 29 2018 14:02:06 GMT-0500 (Eastern Standard Time)
A,186867,train,6,-1,6 7,2,1302 943,39 32,2245,299,1543518130.379,Thu Nov 29 2018 14:02:10 GMT-0500 (Eastern Standard Time)
A,186867,train,5,-1,5 6 7,3,834 223 416,39 39 32,1473,299,1543518133.364,Thu Nov 29 2018 14:02:13 GMT-0500 (Eastern Standard Time)
A,186867,train,3,-1,3,1,1794,32,1794,285,1543518136.668,Thu Nov 29 2018 14:02:16 GMT-0500 (Eastern Standard Time)
A,186867,train,4,-1,4 3 2 1 10,5,1626 375 416 231 409,40 40 39 39 32,3057,239,1543518141.236,Thu Nov 29 2018 14:02:21 GMT-0500 (Eastern Standard Time)
A,186867,train,4,5,4 3 4 5,4,1928 623 185 327,40 38 38 32,3063,38,1543518145.812,Thu Nov 29 2018 14:02:25 GMT-0500 (Eastern Standard Time)
A,186867,train,6,9,6 7 8 9,4,1070 425 199 424,39 40 40 32,2118,239,1543518149.443,Thu Nov 29 2018 14:02:29 GMT-0500 (Eastern Standard Time)
A,186867,train,3,-1,3 4,2,2434 544,38 32,2978,174,1543518153.931,Thu Nov 29 2018 14:02:33 GMT-0500 (Eastern Standard Time)
A,186867,train,2,-1,2 3 4,3,1141 199 472,38 38 32,1812,174,1543518157.25,Thu Nov 29 2018 14:02:37 GMT-0500 (Eastern Standard Time)
A,186867,train,8,-1,8,1,2243,32,2243,252,1543518161.003,Thu Nov 29 2018 14:02:41 GMT-0500 (Eastern Standard Time)
A,186867,train,2,6,2 3 4 5 6,5,1345 208 193 294 344,38 38 38 39 32,2384,217,1543518164.898,Thu Nov 29 2018 14:02:44 GMT-0500 (Eastern Standard Time)
A,186867,train,8,-1,8,1,1729,32,1729,252,1543518168.139,Thu Nov 29 2018 14:02:48 GMT-0500 (Eastern Standard Time)
A,186867,train,6,4,6 5 4,3,828 636 344,37 40 32,1808,217,1543518171.458,Thu Nov 29 2018 14:02:51 GMT-0500 (Eastern Standard Time)
A,186867,train,2,-1,2 1 10,3,1131 368 668,39 39 32,2167,252,1543518175.134,Thu Nov 29 2018 14:02:55 GMT-0500 (Eastern Standard Time)
A,186867,train,7,-1,7,1,1597,32,1597,252,1543518178.243,Thu Nov 29 2018 14:02:58 GMT-0500 (Eastern Standard Time)
A,186867,train,7,-1,7 8 9 10 1,5,1473 191 240 456 304,40 40 40 37 32,2664,202,1543518182.418,Thu Nov 29 2018 14:03:02 GMT-0500 (Eastern Standard Time)
A,186867,train,10,9,10 9,2,978 301 401,40 38 32,1680,183,1543518185.612,Thu Nov 29 2018 14:03:05 GMT-0500 (Eastern Standard Time)
A,186867,train,8,1,8 9 10 1,4,2592 356 420 255 377 240,39 39 40 40 37 32,4240,202,1543518191.37,Thu Nov 29 2018 14:03:11 GMT-0500 (Eastern Standard Time)
A,186867,train,1,-1,1,1,8077,32,8077,202,1543518200.964,Thu Nov 29 2018 14:03:20 GMT-0500 (Eastern Standard Time)
A,186867,train,9,4,9 10 1 2 3 4,6,979 473 192 383 247 208 352,40 37 37 37 38 38 32,2834,163,1543518205.313,Thu Nov 29 2018 14:03:25 GMT-0500 (Eastern Standard Time)
A,186867,train,4,-1,4 3,2,974 320,40 32,1294,202,1543518208.121,Thu Nov 29 2018 14:03:28 GMT-0500 (Eastern Standard Time)
A,186867,train,10,4,10 1 2 3 4,5,936 191 312 360 255,37 37 38 38 32,2054,163,1543518211.688,Thu Nov 29 2018 14:03:31 GMT-0500 (Eastern Standard Time)
A,186867,train,1,-1,1,1,1697,32,1697,202,1543518214.897,Thu Nov 29 2018 14:03:34 GMT-0500 (Eastern Standard Time)
A,186867,train,1,-1,1,1,1480,32,1480,202,1543518217.891,Thu Nov 29 2018 14:03:37 GMT-0500 (Eastern Standard Time)
A,186867,train,5,4,5 4,2,1088 422,40 32,1510,163,1543518220.912,Thu Nov 29 2018 14:03:40 GMT-0500 (Eastern Standard Time)
A,186867,train,4,-1,4 3,2,1407 359,40 32,1766,202,1543518224.192,Thu Nov 29 2018 14:03:44 GMT-0500 (Eastern Standard Time)
A,186867,train,9,-1,9 10 1,3,851 317 336,40 37 32,1504,202,1543518227.208,Thu Nov 29 2018 14:03:47 GMT-0500 (Eastern Standard Time)
A,186867,train,5,-1,5 4 3,3,1330 215 304,40 40 32,1849,202,1543518230.569,Thu Nov 29 2018 14:03:50 GMT-0500 (Eastern Standard Time)
A,186867,train,5,-1,5,1,1461,32,1461,162,1543518233.544,Thu Nov 29 2018 14:03:53 GMT-0500 (Eastern Standard Time)
A,186867,train,9,-1,9 10 1 2 3 4,6,781 311 184 392 160 312,40 37 37 38 38 32,2140,162,1543518237.2,Thu Nov 29 2018 14:03:57 GMT-0500 (Eastern Standard Time)
