group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,154981,train,10,7,10 1 2 1 10 9 8 7,8,434 488 296 897 272 1319 392 400 608,37 37 37 39 39 40 40 40 32,5106
A,154981,train,7,2,7 6 5 6 7 8 9 10 9 8 7 6 5 6 7 8 7 8 9 10 1 2,22,400 422 376 912 295 224 496 322 718 824 320 274 207 217 262 320 394 318 378 352 286 577 280 416 303 296 409 514 342 537 239 232 247 585 671 400 312 238 712,37 37 37 39 39 39 38 38 38 38 40 40 40 40 40 37 40 40 37 40 40 39 39 40 40 39 38 40 40 38 38 38 38 37 40 38 38 37 32,15627
A,154981,train,9,8,9 8 7 8,4,1642 407 360 603,40 40 38 32,3012
A,154981,train,1,3,1 10 1 2 3,5,527 393 553 582 415 433 561,39 39 37 37 37 40 32,3464
A,154981,train,3,9,3 2 3 4 5 6 7 8 9,9,479 535 529 815 335 337 441 1007 351 577 498 311 343 744,38 38 40 40 40 40 39 39 39 38 37 37 38 32,7302
A,154981,train,10,7,10 9 8 7,4,591 465 465 688,40 40 40 32,2209
A,154981,train,4,6,4 3 2 3 4 5 6,7,352 496 399 377 312 313 304 294 216 280 249 401 40 702 672,39 38 38 37 38 37 40 37 40 37 40 40 37 39 32,5407
A,154981,train,6,10,6 5 6 7 8 9 10,7,1006 600 446 281 488 422 361 728,37 39 39 39 38 38 38 32,4332
A,154981,train,2,8,2 3 4 5 4 3 2 1 10 9 8 7 8,13,338 256 273 417 375 383 512 297 303 280 303 563 325 361 448 280 319 314 496,40 40 40 40 38 39 38 37 37 38 37 39 39 39 40 40 40 38 32,6843
A,154981,train,1,3,1 2 3,3,389 296 751 583,37 37 40 32,2019
