group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,190694,train,4,6,4 5 4 5 4 5 6,7,17651 399 226 249 262 3916 5742 705 711 1228 4136 742 466 2440 4769 6239,40 40 40 40 40 37 37 39 40 37 37 37 39 37 40 32,49881
A,190694,train,4,6,4 5 6,3,3566 1456 2457,37 40 32,7479
A,190694,train,1,3,1 10 1 2 3,5,533 3524 801 1231 3399 2151 1829 2888 1957,39 39 39 37 40 38 38 37 32,18313
A,190694,train,10,7,10 9 10 1 2 1 10 1 2 1 10 9 8 7,14,5705 2101 468 5804 4336 1794 1976 1965 1962 502 374 1133 685 1302 3545 1479,37 39 38 38 40 40 38 38 38 40 40 40 37 37 37 32,35131
A,190694,train,1,3,1 10 9 8 7 8 9 10 1 10 9 8 7 8 9 10 1 10 1 10 9 8 7 6 7 8 7 8 7 6 5 6 5 4 3,35,1850 4086 1189 2600 1640 2109 470 696 1486 694 3508 2613 1101 1173 312 1931 398 420 774 2192 1817 641 1056 628 2066 757 2099 1702 1605 1953 875 797 601 1661 1954 496 1268 446 407 2398 1667 1692,40 40 37 37 37 39 39 39 39 39 38 40 37 37 37 39 39 39 38 40 38 37 40 37 37 37 38 40 39 37 39 37 38 38 38 40 39 39 38 39 39 32,59828
A,190694,train,4,6,4 5 6,3,1723 1491 1181,37 40 32,4395
A,190694,train,10,7,10 9 8 7,4,37 1835 1606 1110,37 37 37 32,4588
A,190694,train,4,6,4 5 6,3,733 1704 2683,37 40 32,5120
A,190694,train,4,6,4 5 6,3,641 1877 1801,37 40 32,4319
A,190694,train,1,3,1 10 9 10 9 8 7 6 5 6 5 4 3,13,447 2219 3591 1366 735 1602 2480 3560 1745 551 1556 784 1252 1567,40 37 39 37 37 37 38 38 38 40 38 39 39 32,23455
A,190694,train,1,3,1 10 1 2 3,5,927 3541 2380 1757 880,40 38 38 37 32,9485
A,190694,train,10,7,10 1 10 9 8 7,6,4378 2862 927 1210 1215 968,38 40 37 37 37 32,11560
A,190694,train,1,3,1 10 1 2 3,5,954 1488 771 1424 1136,40 38 38 37 32,5773
A,190694,train,10,7,10 1 2 3 2 1 10 9 8 7,10,801 2395 3156 2132 325 2786 405 1498 880 1720 677,38 38 37 39 40 39 40 37 37 37 32,16775
A,190694,train,1,3,1 10 1 2 3,5,230 1607 1245 956 848,40 38 38 37 32,4886
A,190694,train,4,6,4 5 6,3,440 1036 2627,37 40 32,4103
A,190694,train,4,6,4 5 6,3,536 1884 604,37 40 32,3024
A,190694,train,1,3,1 2 3,3,1217 1023 571,38 37 32,2811
A,190694,train,10,7,10 9 8 7,4,693 1128 1203 756,37 37 37 32,3780
A,190694,train,4,6,4 5 6,3,439 1753 433 569,37 37 40 32,3194
A,190694,train,10,7,10 9 8 7,4,734 1086 1192 829,37 37 37 32,3841
A,190694,train,9,1,9 8 7 8 9 10 1,7,1484 2073 1589 435 1495 1337 1756,37 37 39 39 39 38 32,10169
A,190694,train,4,6,4 5 6,3,1878 1374 627,37 40 32,3879
A,190694,train,4,6,4 5 6,3,612 1121 1943,37 40 32,3676
A,190694,train,4,6,4 5 6,3,1236 1990 503,37 40 32,3729
A,190694,train,4,6,4 3 4 5 6,5,1511 1943 1837 458 406,39 37 37 40 32,6155
A,190694,train,4,6,4 5 6,3,656 823 428,37 40 32,1907
A,190694,train,1,3,1 2 3,3,836 1018 510,38 37 32,2364
A,190694,train,10,7,10 9 8 7,4,909 720 1060 826,37 37 37 32,3515
A,190694,train,3,7,3 2 3 4 5 4 3 2 1 10 9 8 7,13,1964 5098 717 1812 729 781 371 3306 1776 2752 1876 1008 1032 545,39 37 37 37 37 39 39 39 40 40 37 37 37 32,23767
A,190694,train,1,3,1 2 3,3,2982 1845 612,38 37 32,5439
A,190694,train,1,3,1 2 3,3,771 1669 1276,38 37 32,3716
A,190694,train,10,7,10 9 8 7,4,4717 565 1198 342,37 37 37 32,6822
A,190694,train,4,6,4 5 6,3,725 1099 1786 973,32 37 40 32,4583
A,190694,train,10,7,10 9 8 7,4,2279 1036 649 1001,37 37 37 32,4965
A,190694,train,1,3,1 2 3,3,3218 2082 409,38 37 32,5709
A,190694,train,1,3,1 2 3,3,1911 2256 2066,38 37 32,6233
A,190694,train,4,6,4 5 6,3,1427 2610 866,37 40 32,4903
A,190694,train,10,7,10 9 8 7,4,4110 870 949 3289,37 37 37 32,9218
A,190694,train,2,7,2 3 4 3 2 1 2 1 10 9 8 7,12,2490 2154 1055 312 673 4251 1513 580 1314 616 993 1194 443,37 37 39 39 40 38 40 40 40 37 37 37 32,17588
A,190694,train,10,7,10 9 8 7,4,1467 704 938 538,37 37 37 32,3647
A,190694,train,1,3,1 2 3,3,1761 796 370,38 37 32,2927
A,190694,train,8,1,8 7 8 9 8 7 8 9 10 1,10,958 2245 1242 2528 438 2896 404 1693 1311 450,37 39 39 37 37 39 39 39 38 32,14165
A,190694,train,10,7,10 1 2 3 4 3 2 1 10 9 8 7,12,1159 4111 3184 1631 1802 711 862 1863 2025 1046 1757 356,38 38 37 37 39 39 40 40 37 37 37 32,20507
A,190694,train,10,7,10 9 8 7,4,1080 1219 468 1157 542,37 37 32 37 32,4466
A,190694,train,10,7,10 9 8 7,4,2912 541 674 499,37 37 37 32,4626
A,190694,train,4,6,4 5 6,3,4257 1993 2494,37 40 32,8744
A,190694,train,1,3,1 2 3,3,2787 1038 615,38 37 32,4440
A,190694,train,8,6,8 7 6,3,1446 2232 1067,37 38 32,4745
A,190694,train,10,7,10 9 8 7,4,691 754 549 440,37 37 37 32,2434
A,190694,train,4,6,4 5 6,3,730 1585 700,37 40 32,3015
A,190694,train,1,3,1 2 3,3,2438 1803 851,38 37 32,5092
A,190694,train,4,6,4 5 6,3,4741 891 1076,37 40 32,6708
A,190694,train,4,8,4 3 4 5 6 7 8,7,4995 1141 504 2574 1255 1538 448,39 37 37 40 40 39 32,12455
A,190694,train,3,1,3 2 1,3,1558 1767 621,39 40 32,3946
A,190694,train,1,3,1 2 3,3,735 2989 712,38 37 32,4436
A,190694,train,1,3,1 2 3,3,906 2564 1510,38 37 32,4980
A,190694,train,10,7,10 9 8 7,4,429 561 943 298,37 37 37 32,2231
A,190694,train,3,7,3 4 5 4 3 2 1 2 3 4 3 4 5 6 7,15,1773 837 3121 888 1192 3537 2685 812 1029 2319 3627 949 1706 931 826,37 37 39 39 39 40 38 37 37 39 37 37 40 40 32,26232
A,190694,train,4,6,4 5 6,3,667 921 977,37 40 32,2565
