group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,152129,train,4,6,4 5 6,3,3005 384 1816 967 1584,37 37 38 39 32,7756,1542204179.11,Wed Nov 14 2018 09:02:59 GMT-0500 (Eastern Standard Time)
A,152129,train,4,6,4 3 4 5 6,5,1255 958 353 713 375,40 38 38 39 32,3654,1542204185.776,Wed Nov 14 2018 09:03:05 GMT-0500 (Eastern Standard Time)
A,152129,train,10,7,10 9 8 7,4,1646 199 186 561,38 38 38 32,2592,1542204191.377,Wed Nov 14 2018 09:03:11 GMT-0500 (Eastern Standard Time)
A,152129,train,5,1,5 4 3 2 1,5,1655 199 168 246 738 409,40 40 40 40 39 32,3415,1542204197.802,Wed Nov 14 2018 09:03:17 GMT-0500 (Eastern Standard Time)
A,152129,train,10,7,10 9 8 7,4,1323 183 168 602,38 38 38 32,2276,1542204203.089,Wed Nov 14 2018 09:03:23 GMT-0500 (Eastern Standard Time)
A,152129,train,10,7,10 9 8 7,4,1540 182 178 592,38 38 38 32,2492,1542204208.6,Wed Nov 14 2018 09:03:28 GMT-0500 (Eastern Standard Time)
A,152129,train,4,6,4 5 6,3,1285 289 505,38 39 32,2079,1542204213.697,Wed Nov 14 2018 09:03:33 GMT-0500 (Eastern Standard Time)
A,152129,train,4,6,4 5 6,3,1098 247 536,38 39 32,1881,1542204218.592,Wed Nov 14 2018 09:03:38 GMT-0500 (Eastern Standard Time)
A,152129,train,7,8,7 8,2,2067 759,40 32,2826,1542204224.43,Wed Nov 14 2018 09:03:44 GMT-0500 (Eastern Standard Time)
A,152129,train,10,1,10 1,2,1642 333,37 32,1975,1542204229.422,Wed Nov 14 2018 09:03:49 GMT-0500 (Eastern Standard Time)
A,152129,train,10,7,10 9 8 7,4,1568 166 185 664,38 38 38 32,2583,1542204235.015,Wed Nov 14 2018 09:03:55 GMT-0500 (Eastern Standard Time)
A,152129,train,10,7,10 9 8 7,4,1259 190 168 559,38 38 38 32,2176,1542204240.206,Wed Nov 14 2018 09:04:00 GMT-0500 (Eastern Standard Time)
A,152129,train,1,3,1 2 3,3,1247 247 512,37 38 32,2006,1542204245.224,Wed Nov 14 2018 09:04:05 GMT-0500 (Eastern Standard Time)
A,152129,train,1,3,1 2 3,3,1165 258 496,37 38 32,1919,1542204250.153,Wed Nov 14 2018 09:04:10 GMT-0500 (Eastern Standard Time)
A,152129,train,1,3,1 2 3,3,1124 256 544,37 38 32,1924,1542204255.088,Wed Nov 14 2018 09:04:15 GMT-0500 (Eastern Standard Time)
A,152129,train,1,4,1 2 3 4,4,1203 306 230 505,37 38 38 32,2244,1542204260.344,Wed Nov 14 2018 09:04:20 GMT-0500 (Eastern Standard Time)
A,152129,train,10,7,10 9 8 7,4,1255 200 193 599,38 38 38 32,2247,1542204265.6,Wed Nov 14 2018 09:04:25 GMT-0500 (Eastern Standard Time)
