group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,106954,train,1,4,1 2 3 4,4,1195 346 1562 440,39 39 38 32,3543,1542080480.447,Mon Nov 12 2018 20:41:20 GMT-0700 (Mountain Standard Time)
A,106954,train,12,9,12 11 10 9,4,2389 347 419 325,38 38 38 32,3480,1542080486.938,Mon Nov 12 2018 20:41:26 GMT-0700 (Mountain Standard Time)
A,106954,train,1,4,1 2 3 4,4,1080 416 735 397,39 39 38 32,2628,1542080492.579,Mon Nov 12 2018 20:41:32 GMT-0700 (Mountain Standard Time)
A,106954,train,5,8,5 6 7 8,4,1114 385 312 349,38 37 37 32,2160,1542080497.755,Mon Nov 12 2018 20:41:37 GMT-0700 (Mountain Standard Time)
A,106954,train,5,8,5 6 7 8,4,981 421 367 339,38 37 37 32,2108,1542080502.887,Mon Nov 12 2018 20:41:42 GMT-0700 (Mountain Standard Time)
A,106954,train,3,5,3 4 5,3,1093 398 344,38 38 32,1835,1542080507.751,Mon Nov 12 2018 20:41:47 GMT-0700 (Mountain Standard Time)
A,106954,train,12,9,12 11 10 9,4,1449 652 502 342,38 38 38 32,2945,1542080513.708,Mon Nov 12 2018 20:41:53 GMT-0700 (Mountain Standard Time)
A,106954,train,12,9,12 11 10 9,4,666 372 391 377,38 38 38 32,1806,1542080518.538,Mon Nov 12 2018 20:41:58 GMT-0700 (Mountain Standard Time)
A,106954,train,1,4,1 2 3 4,4,1210 378 390 325,39 39 38 32,2303,1542080523.852,Mon Nov 12 2018 20:42:03 GMT-0700 (Mountain Standard Time)
A,106954,train,5,10,5 6 7 8 9 10,6,1284 393 332 371 524 381,38 37 37 37 40 32,3285,1542080530.15,Mon Nov 12 2018 20:42:10 GMT-0700 (Mountain Standard Time)
A,106954,train,5,8,5 6 7 8,4,1070 460 376 422,38 37 37 32,2328,1542080535.489,Mon Nov 12 2018 20:42:15 GMT-0700 (Mountain Standard Time)
A,106954,train,1,4,1 2 3 4,4,1113 387 479 412,39 39 38 32,2391,1542080540.901,Mon Nov 12 2018 20:42:20 GMT-0700 (Mountain Standard Time)
A,106954,train,5,8,5 6 7 8,4,986 440 448 380 334,38 38 37 37 32,2588,1542080546.497,Mon Nov 12 2018 20:42:26 GMT-0700 (Mountain Standard Time)
A,106954,train,5,8,5 6 7 8,4,1118 383 478 313,38 37 37 32,2292,1542080551.798,Mon Nov 12 2018 20:42:31 GMT-0700 (Mountain Standard Time)
A,106954,train,1,4,1 2 3 4,4,870 378 403 330,39 39 38 32,1981,1542080556.787,Mon Nov 12 2018 20:42:36 GMT-0700 (Mountain Standard Time)
A,106954,train,10,3,10 11 12 1 2 3,6,2334 663 470 425 668 402,40 40 39 39 39 32,4962,1542080564.766,Mon Nov 12 2018 20:42:44 GMT-0700 (Mountain Standard Time)
A,106954,train,1,4,1 2 3 4,4,823 365 476 374,39 39 38 32,2038,1542080569.815,Mon Nov 12 2018 20:42:49 GMT-0700 (Mountain Standard Time)
A,106954,train,1,4,1 2 3 4,4,813 356 451 399,39 39 38 32,2019,1542080574.847,Mon Nov 12 2018 20:42:54 GMT-0700 (Mountain Standard Time)
A,106954,train,5,8,5 6 7 8,4,1376 420 361 370,38 37 37 32,2527,1542080580.394,Mon Nov 12 2018 20:43:00 GMT-0700 (Mountain Standard Time)
