group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,177200,train,7,8,7 8,2,398 390,37 32,788,1542895973.23,Thu Nov 22 2018 08:12:53 GMT-0600 (Central Standard Time)
A,177200,train,3,8,3 2 1 9 8,5,434 852 904 849 410,37 38 38 39 32,3449,1542895982.692,Thu Nov 22 2018 08:13:02 GMT-0600 (Central Standard Time)
A,177200,train,4,5,4 5,2,405 439,39 32,844,1542895989.55,Thu Nov 22 2018 08:13:09 GMT-0600 (Central Standard Time)
A,177200,train,9,3,9 1 2 3,4,403 1008 911 378,40 40 39 32,2700,1542895998.262,Thu Nov 22 2018 08:13:18 GMT-0600 (Central Standard Time)
A,177200,train,4,8,4 5 6 7 8,5,534 1030 573 878 542,39 38 38 37 32,3557,1542896007.834,Thu Nov 22 2018 08:13:27 GMT-0600 (Central Standard Time)
A,177200,train,9,4,9 8 7 6 5 4,6,475 669 851 1265 935 423,39 39 40 40 37 32,4618,1542896018.468,Thu Nov 22 2018 08:13:38 GMT-0600 (Central Standard Time)
A,177200,train,1,6,1 2 3 4 5 6,6,420 720 688 931 764 364,40 39 39 39 38 32,3887,1542896028.369,Thu Nov 22 2018 08:13:48 GMT-0600 (Central Standard Time)
A,177200,train,9,5,9 8 7 6 5,5,453 559 778 590 367,39 39 40 40 32,2747,1542896037.133,Thu Nov 22 2018 08:13:57 GMT-0600 (Central Standard Time)
A,177200,train,6,2,6 7 8 9 1 2,6,409 1140 620 1151 608 389,38 37 37 40 40 32,4317,1542896047.465,Thu Nov 22 2018 08:14:07 GMT-0600 (Central Standard Time)
A,177200,train,4,1,4 5 6 7 8 9 1,7,397 936 1036 717 1445 1165 336,39 38 38 37 37 40 32,6032,1542896059.509,Thu Nov 22 2018 08:14:19 GMT-0600 (Central Standard Time)
A,177200,train,6,4,6 7 8 9 1 2 3 4,8,1245 923 980 1094 690 1021 799 364,38 37 37 40 40 39 39 32,7116,1542896072.639,Thu Nov 22 2018 08:14:32 GMT-0600 (Central Standard Time)
A,177200,train,3,6,3 2 1 9 8 7 6,7,442 892 637 772 534 673 6550 804,37 38 38 39 39 39 40 32,11304,1542896089.962,Thu Nov 22 2018 08:14:49 GMT-0600 (Central Standard Time)
A,177200,train,7,2,7 8 9 1 2,5,7440 625 806 669 358,37 37 40 40 32,9898,1542896105.877,Thu Nov 22 2018 08:15:05 GMT-0600 (Central Standard Time)
A,177200,train,1,5,1 2 3 4 5,5,417 684 778 611 366,40 39 39 39 32,2856,1542896114.75,Thu Nov 22 2018 08:15:14 GMT-0600 (Central Standard Time)
A,177200,train,3,1,3 4 5 6 7 8 9 1,8,390 589 1009 510 777 827 774 380,39 39 38 38 37 37 40 32,5256,1542896126.021,Thu Nov 22 2018 08:15:26 GMT-0600 (Central Standard Time)
A,177200,train,3,9,3 4 5 6 7 8 9,7,442 651 1036 652 760 616 350,39 39 38 38 37 37 32,4507,1542896136.543,Thu Nov 22 2018 08:15:36 GMT-0600 (Central Standard Time)
A,177200,train,4,7,4 5 6 7,4,379 889 624 320,39 38 38 32,2212,1542896144.768,Thu Nov 22 2018 08:15:44 GMT-0600 (Central Standard Time)
A,177200,train,1,6,1 9 8 7 6,5,409 1011 614 754 364,38 39 39 40 32,3152,1542896153.936,Thu Nov 22 2018 08:15:53 GMT-0600 (Central Standard Time)
A,177200,train,9,4,9 8 7 6 5 4,6,370 662 760 1425 839 408,39 39 40 40 37 32,4464,1542896164.418,Thu Nov 22 2018 08:16:04 GMT-0600 (Central Standard Time)
A,177200,train,7,1,7 8 9 1,4,617 888 757 381,37 37 40 32,2643,1542896173.081,Thu Nov 22 2018 08:16:13 GMT-0600 (Central Standard Time)
A,177200,train,6,9,6 5 4 3 2 1 9,7,366 830 1340 709 1096 637 400,40 37 37 37 38 38 32,5378,1542896184.474,Thu Nov 22 2018 08:16:24 GMT-0600 (Central Standard Time)
A,177200,train,9,4,9 1 2 3 4,5,365 589 757 563 393,40 40 39 39 32,2667,1542896193.155,Thu Nov 22 2018 08:16:33 GMT-0600 (Central Standard Time)
A,177200,train,4,6,4 5 6,3,347 807 359,39 38 32,1513,1542896200.688,Thu Nov 22 2018 08:16:40 GMT-0600 (Central Standard Time)
A,177200,train,7,2,7 8 9 1 2,5,371 845 862 739 364,37 37 40 40 32,3181,1542896209.884,Thu Nov 22 2018 08:16:49 GMT-0600 (Central Standard Time)
A,177200,train,9,7,9 1 2 3 4 5 6 7,8,886 1797 759 624 642 1403 772 428,40 40 39 39 39 38 38 32,7311,1542896223.211,Thu Nov 22 2018 08:17:03 GMT-0600 (Central Standard Time)
A,177200,train,3,2,3 2,2,324 399,37 32,723,1542896229.948,Thu Nov 22 2018 08:17:09 GMT-0600 (Central Standard Time)
A,177200,train,4,7,4 3 2 1 9 8 7,7,526 617 669 913 963 718 486,37 37 38 38 39 39 32,4892,1542896240.861,Thu Nov 22 2018 08:17:20 GMT-0600 (Central Standard Time)
A,177200,train,2,8,2 1 9 8,4,534 755 759 373,38 38 39 32,2421,1542896249.302,Thu Nov 22 2018 08:17:29 GMT-0600 (Central Standard Time)
A,177200,train,7,4,7 8 9 1 2 3 4,7,409 644 693 1021 708 580 371,37 37 40 40 39 39 32,4426,1542896259.746,Thu Nov 22 2018 08:17:39 GMT-0600 (Central Standard Time)
A,177200,train,8,6,8 9 1 2 3 4 5 6,8,382 849 616 782 1024 694 831 466,37 40 40 39 39 39 38 32,5644,1542896271.414,Thu Nov 22 2018 08:17:51 GMT-0600 (Central Standard Time)
A,177200,train,8,7,8 7,2,352 404,39 32,756,1542896278.193,Thu Nov 22 2018 08:17:58 GMT-0600 (Central Standard Time)
A,177200,train,3,8,3 4 5 6 7 8,6,362 495 860 1343 1060 406,39 39 38 38 37 32,4526,1542896288.743,Thu Nov 22 2018 08:18:08 GMT-0600 (Central Standard Time)
A,177200,train,7,4,7 6 5 4,4,442 660 817 359,40 40 37 32,2278,1542896297.035,Thu Nov 22 2018 08:18:17 GMT-0600 (Central Standard Time)
A,177200,train,3,7,3 4 5 6 7,5,342 533 838 513 397,39 39 38 38 32,2623,1542896305.677,Thu Nov 22 2018 08:18:25 GMT-0600 (Central Standard Time)
A,177200,train,4,7,4 5 6 7,4,382 705 521 312,39 38 38 32,1920,1542896313.613,Thu Nov 22 2018 08:18:33 GMT-0600 (Central Standard Time)
A,177200,train,4,5,4 5,2,305 400,39 32,705,1542896320.337,Thu Nov 22 2018 08:18:40 GMT-0600 (Central Standard Time)
A,177200,train,5,1,5 4 3 2 1,5,377 704 686 776 466,37 37 37 38 32,3009,1542896329.37,Thu Nov 22 2018 08:18:49 GMT-0600 (Central Standard Time)
A,177200,train,5,9,5 6 7 8 9,5,401 542 705 560 362,38 38 37 37 32,2570,1542896337.966,Thu Nov 22 2018 08:18:57 GMT-0600 (Central Standard Time)
A,177200,train,6,3,6 7 8 9 1 2 3,7,372 850 832 1049 1090 1195 564,38 37 37 40 40 39 32,5952,1542896349.939,Thu Nov 22 2018 08:19:09 GMT-0600 (Central Standard Time)
A,177200,train,7,4,7 6 5 4,4,389 674 872 477,40 40 37 32,2412,1542896358.375,Thu Nov 22 2018 08:19:18 GMT-0600 (Central Standard Time)
A,177200,train,8,9,8 9,2,335 360,37 32,695,1542896365.089,Thu Nov 22 2018 08:19:25 GMT-0600 (Central Standard Time)
A,177200,train,1,3,1 2 3,3,384 698 443,40 39 32,1525,1542896372.634,Thu Nov 22 2018 08:19:32 GMT-0600 (Central Standard Time)
A,177200,train,6,1,6 7 8 9 1,5,387 795 869 1731 343,38 37 37 40 32,4125,1542896382.785,Thu Nov 22 2018 08:19:42 GMT-0600 (Central Standard Time)
