group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,100799,train,1,9,1 9,2,380 194,39 32,574,1543249257.048,Mon Nov 26 2018 11:20:57 GMT-0500 (Eastern Standard Time)
A,100799,train,5,4,5 4,2,350 177,38 32,527,1543249263.615,Mon Nov 26 2018 11:21:03 GMT-0500 (Eastern Standard Time)
A,100799,train,8,6,8 9 8 7 6,5,269 471 318 225 1732 443 307,38 38 40 40 32 37 32,3765,1543249273.4,Mon Nov 26 2018 11:21:13 GMT-0500 (Eastern Standard Time)
A,100799,train,2,5,2 3 4 5,4,272 564 818 660 410 685,38 37 40 40 40 32,3409,1543249282.831,Mon Nov 26 2018 11:21:22 GMT-0500 (Eastern Standard Time)
A,100799,train,8,6,8 7 6,3,253 228 1316 226,40 40 37 32,2023,1543249290.875,Mon Nov 26 2018 11:21:30 GMT-0500 (Eastern Standard Time)
A,100799,train,5,7,5 4 3 2 3 4 5 4 3 2 3 4 5 6 7,15,532 887 519 767 629 565 1116 403 1751 1075 726 1331 371 581 737 619 529 803 843 1059 580 267 797 150,40 38 38 38 40 40 39 32 40 40 40 40 38 38 38 38 40 40 40 40 39 32 39 32,17637,1543249314.529,Mon Nov 26 2018 11:21:54 GMT-0500 (Eastern Standard Time)
A,100799,train,1,9,1 9,2,488 248,39 32,736,1543249321.281,Mon Nov 26 2018 11:22:01 GMT-0500 (Eastern Standard Time)
A,100799,train,1,9,1 9,2,270 222,39 32,492,1543249327.789,Mon Nov 26 2018 11:22:07 GMT-0500 (Eastern Standard Time)
A,100799,train,4,5,4 5,2,264 172,40 32,436,1543249334.246,Mon Nov 26 2018 11:22:14 GMT-0500 (Eastern Standard Time)
A,100799,train,2,5,2 3 4 5,4,301 591 404 600 654 511 601 361,38 38 38 38 40 40 40 32,4023,1543249344.29,Mon Nov 26 2018 11:22:24 GMT-0500 (Eastern Standard Time)
A,100799,train,1,9,1 9,2,317 230,39 32,547,1543249350.854,Mon Nov 26 2018 11:22:30 GMT-0500 (Eastern Standard Time)
A,100799,train,2,5,2 3 4 5,4,243 375 318 337,40 40 40 32,1273,1543249358.145,Mon Nov 26 2018 11:22:38 GMT-0500 (Eastern Standard Time)
