group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,148795,train,7,-1,7 8 9 10 1 2 3 4 5 6 7 8 9 10 1 2 3 4,18,276900 117 101 141 145 139 131 121 160 125 129 128 141 135 128 129 146 219 136 177 112 162 1714,40 40 40 40 39 39 39 38 38 38 38 37 37 37 40 40 40 39 39 39 38 38 32,281536,271,1543256333.97,Mon Nov 26 2018 13:18:53 GMT-0500 (Eastern Standard Time)
A,148795,train,9,10,9 8 7 6 5 4 3 4 5 4 3 2 1 10 9 10 9 8 7 6 5 4 3 2 1 10,26,8103 129 97 190 234 142 190 143 216 89 142 127 170 109 112 155 138 102 129 16 148 312 145 116 113 170 462 126 137 1079 345 740 189 823 130 183 129 124 124 134 131 169 131 283,38 38 32 32 39 39 32 32 40 32 32 32 32 40 32 32 32 38 32 38 32 40 40 40 32 32 37 37 37 38 40 38 38 38 38 39 39 39 40 40 40 37 37 32,17176,63,1543256352.659,Mon Nov 26 2018 13:19:12 GMT-0500 (Eastern Standard Time)
A,148795,train,9,1,9 10 1,3,613 187 284,40 39 32,1084,225,1543256355.251,Mon Nov 26 2018 13:19:15 GMT-0500 (Eastern Standard Time)
A,148795,train,2,-1,2 3 4 3 4,5,563 152 356 228 838,38 38 40 38 32,2137,271,1543256358.9,Mon Nov 26 2018 13:19:18 GMT-0500 (Eastern Standard Time)
A,148795,train,5,1,5 4 3 2 1,5,9050 33 116 249 136 176 133 194 175,32 40 32 32 32 40 40 37 32,10262,225,1543256370.674,Mon Nov 26 2018 13:19:30 GMT-0500 (Eastern Standard Time)
A,148795,train,3,6,3 4 5 4 3 2 3 4 5 6,10,762 164 318 117 144 427 177 132 137 152 842,38 38 40 40 40 38 38 38 38 37 32,3372,271,1543256375.556,Mon Nov 26 2018 13:19:35 GMT-0500 (Eastern Standard Time)
A,148795,train,9,-1,9 8 7 6 5 6 5 4 5 6,10,664 163 222 615 309 281 249 188 1941 192 1279,38 38 39 39 37 39 39 40 38 37 32,6103,271,1543256383.171,Mon Nov 26 2018 13:19:43 GMT-0500 (Eastern Standard Time)
A,148795,train,3,8,3 4 5 6 7 8 7 8 7 8,10,686 164 137 125 156 227 20314 2 178 214 391 161,38 38 38 37 37 40 38 40 39 38 40 32,22755,63,1543256407.437,Mon Nov 26 2018 13:20:07 GMT-0500 (Eastern Standard Time)
A,148795,train,2,-1,2 3,2,479 409,38 32,888,225,1543256409.837,Mon Nov 26 2018 13:20:09 GMT-0500 (Eastern Standard Time)
A,148795,train,8,-1,8,1,489,32,489,63,1543256411.836,Mon Nov 26 2018 13:20:11 GMT-0500 (Eastern Standard Time)
A,148795,train,2,1,2 1,2,713 169,37 32,882,225,1543256414.232,Mon Nov 26 2018 13:20:14 GMT-0500 (Eastern Standard Time)
A,148795,train,5,6,5 6,2,615 146,37 32,761,271,1543256416.503,Mon Nov 26 2018 13:20:16 GMT-0500 (Eastern Standard Time)
A,148795,train,6,-1,6 5 4,3,596 409 139,39 40 32,1144,271,1543256419.154,Mon Nov 26 2018 13:20:19 GMT-0500 (Eastern Standard Time)
A,148795,train,2,-1,2 3 4,3,645 176 89,38 38 32,910,271,1543256421.572,Mon Nov 26 2018 13:20:21 GMT-0500 (Eastern Standard Time)
A,148795,train,8,-1,8 7 8 7 8 9 10 1 2 3,10,4974 261 343 187 140 129 155 295 128 196,38 40 38 40 40 40 39 39 38 32,6808,195,1543256429.891,Mon Nov 26 2018 13:20:29 GMT-0500 (Eastern Standard Time)
