group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,121003,train,4,7,4 5 6 7,4,2558 338 470 850,38 37 37 32,4216,1542596327.868,Sun Nov 18 2018 21:58:47 GMT-0500 (Eastern Standard Time)
A,121003,train,4,6,4 5 6,3,1990 308 270,38 37 32,2568,1542596333.476,Sun Nov 18 2018 21:58:53 GMT-0500 (Eastern Standard Time)
A,121003,train,3,8,3 2 1 9 8,5,1587 408 240 1182 359,40 37 37 38 32,3776,1542596340.265,Sun Nov 18 2018 21:59:00 GMT-0500 (Eastern Standard Time)
A,121003,train,5,4,5 4,2,1403 127,40 32,1530,1542596344.816,Sun Nov 18 2018 21:59:04 GMT-0500 (Eastern Standard Time)
A,121003,train,3,6,3 4 5 6,4,1288 191 378 370,38 38 37 32,2227,1542596350.065,Sun Nov 18 2018 21:59:10 GMT-0500 (Eastern Standard Time)
A,121003,train,7,1,7 8 9 1,4,1670 429 440 251,40 40 39 32,2790,1542596355.887,Sun Nov 18 2018 21:59:15 GMT-0500 (Eastern Standard Time)
A,121003,train,4,5,4 5,2,1122 301,38 32,1423,1542596360.346,Sun Nov 18 2018 21:59:20 GMT-0500 (Eastern Standard Time)
A,121003,train,5,4,5 4,2,652 159,40 32,811,1542596364.185,Sun Nov 18 2018 21:59:24 GMT-0500 (Eastern Standard Time)
A,121003,train,1,8,1 9 8,3,1231 249 281,37 38 32,1761,1542596368.967,Sun Nov 18 2018 21:59:28 GMT-0500 (Eastern Standard Time)
A,121003,train,7,5,7 6 5,3,1178 201 221,39 39 32,1600,1542596373.596,Sun Nov 18 2018 21:59:33 GMT-0500 (Eastern Standard Time)
A,121003,train,8,6,8 7 6,3,1103 348 211,38 39 32,1662,1542596378.276,Sun Nov 18 2018 21:59:38 GMT-0500 (Eastern Standard Time)
A,121003,train,4,6,4 5 6,3,1191 208 119,38 37 32,1518,1542596382.816,Sun Nov 18 2018 21:59:42 GMT-0500 (Eastern Standard Time)
A,121003,train,5,8,5 6 7 8,4,1175 190 290 199,37 37 40 32,1854,1542596387.685,Sun Nov 18 2018 21:59:47 GMT-0500 (Eastern Standard Time)
A,121003,train,7,2,7 8 9 1 2,5,1497 311 490 210 301,40 40 39 39 32,2809,1542596393.528,Sun Nov 18 2018 21:59:53 GMT-0500 (Eastern Standard Time)
A,121003,train,9,8,9 8,2,1382 89,38 32,1471,1542596398.017,Sun Nov 18 2018 21:59:58 GMT-0500 (Eastern Standard Time)
A,121003,train,1,5,1 2 3 4 5,5,3954 369 250 410 199,39 38 38 38 32,5182,1542596406.226,Sun Nov 18 2018 22:00:06 GMT-0500 (Eastern Standard Time)
A,121003,train,8,5,8 7 6 5,4,958 411 351 159,38 39 39 32,1879,1542596411.127,Sun Nov 18 2018 22:00:11 GMT-0500 (Eastern Standard Time)
A,121003,train,8,3,8 7 6 5 4 3,6,11693 818 350 421 288 952,38 39 39 40 40 32,14522,1542596428.658,Sun Nov 18 2018 22:00:28 GMT-0500 (Eastern Standard Time)
A,121003,train,3,5,3 4 5,3,886 281 171,38 38 32,1338,1542596433.007,Sun Nov 18 2018 22:00:33 GMT-0500 (Eastern Standard Time)
A,121003,train,2,7,2 1 9 8 7,5,1843 319 281 270 249,37 37 38 38 32,2962,1542596438.978,Sun Nov 18 2018 22:00:38 GMT-0500 (Eastern Standard Time)
A,121003,test,6,1,6 7,2,1886,37,1886,1542596443.901,Sun Nov 18 2018 22:00:43 GMT-0500 (Eastern Standard Time)
