group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,162945,train,6,9,6 7 8 9,4,4372 416 199 988,37 40 40 32,5975,1543028431.608,Fri Nov 23 2018 19:00:31 GMT-0800 (Pacific Standard Time)
A,162945,train,8,6,8 7 6,3,6427 823 2553,38 39 32,9803,1543028444.42,Fri Nov 23 2018 19:00:44 GMT-0800 (Pacific Standard Time)
A,162945,train,5,6,5 6,2,6413 1258,37 32,7671,1543028455.103,Fri Nov 23 2018 19:00:55 GMT-0800 (Pacific Standard Time)
A,162945,train,9,1,9 1,2,7330 4820,39 32,12150,1543028470.265,Fri Nov 23 2018 19:01:10 GMT-0800 (Pacific Standard Time)
A,162945,train,2,4,2 3 4,3,2946 250 878,38 38 32,4074,1543028477.351,Fri Nov 23 2018 19:01:17 GMT-0800 (Pacific Standard Time)
A,162945,train,8,7,8 7,2,3327 1061,38 32,4388,1543028484.75,Fri Nov 23 2018 19:01:24 GMT-0800 (Pacific Standard Time)
A,162945,train,3,7,3 4 5 6 7,5,2931 446 828 254 963,38 38 37 37 32,5422,1543028493.182,Fri Nov 23 2018 19:01:33 GMT-0800 (Pacific Standard Time)
A,162945,train,9,1,9 1,2,2460 954,39 32,3414,1543028499.606,Fri Nov 23 2018 19:01:39 GMT-0800 (Pacific Standard Time)
A,162945,train,7,6,7 6,2,3925 1088,39 32,5013,1543028507.631,Fri Nov 23 2018 19:01:47 GMT-0800 (Pacific Standard Time)
A,162945,train,4,2,4 3 2,3,4509 453 1658,40 40 32,6620,1543028517.262,Fri Nov 23 2018 19:01:57 GMT-0800 (Pacific Standard Time)
A,162945,train,7,1,7 6 5 4 3 2 1,7,4848 441 1679 233 273 719 1042,39 39 40 40 40 37 32,9235,1543028529.511,Fri Nov 23 2018 19:02:09 GMT-0800 (Pacific Standard Time)
A,162945,train,5,2,5 4 3 2,4,2728 344 330 840,40 40 40 32,4242,1543028536.778,Fri Nov 23 2018 19:02:16 GMT-0800 (Pacific Standard Time)
A,162945,train,3,1,3 2 1,3,19051 8176 1833 928,32 40 37 32,29988,1543028569.778,Fri Nov 23 2018 19:02:49 GMT-0800 (Pacific Standard Time)
A,162945,train,9,3,9 1 2 3,4,3336 463 789 862,39 39 38 32,5450,1543028578.238,Fri Nov 23 2018 19:02:58 GMT-0800 (Pacific Standard Time)
A,162945,train,6,7,6 7,2,3778 884,37 32,4662,1543028585.91,Fri Nov 23 2018 19:03:05 GMT-0800 (Pacific Standard Time)
A,162945,train,2,8,2 1 9 8,4,5183 404 807 959,37 37 38 32,7353,1543028596.275,Fri Nov 23 2018 19:03:16 GMT-0800 (Pacific Standard Time)
A,162945,train,2,8,2 1 9 8,4,3797 226 825 847,37 37 38 32,5695,1543028604.983,Fri Nov 23 2018 19:03:24 GMT-0800 (Pacific Standard Time)
A,162945,train,5,4,5 4,2,7648 821,40 32,8469,1543028616.464,Fri Nov 23 2018 19:03:36 GMT-0800 (Pacific Standard Time)
A,162945,train,1,3,1 2 3,3,4318 347 825 840,39 39 38 32,6330,1543028625.805,Fri Nov 23 2018 19:03:45 GMT-0800 (Pacific Standard Time)
A,162945,train,1,4,1 2 3 4,4,5399 870 316 887,39 38 38 32,7472,1543028636.286,Fri Nov 23 2018 19:03:56 GMT-0800 (Pacific Standard Time)
A,162945,train,5,7,5 6 7,3,2618 268 1568,37 37 32,4454,1543028643.757,Fri Nov 23 2018 19:04:03 GMT-0800 (Pacific Standard Time)
A,162945,train,2,9,2 1 9,3,3958 200 1215,37 37 32,5373,1543028652.14,Fri Nov 23 2018 19:04:12 GMT-0800 (Pacific Standard Time)
A,162945,train,7,4,7 6 5 4,4,4097 277 561 920,39 39 40 32,5855,1543028661.004,Fri Nov 23 2018 19:04:21 GMT-0800 (Pacific Standard Time)
A,162945,train,5,2,5 4 3 2,4,2747 250 264 741,40 40 40 32,4002,1543028668.016,Fri Nov 23 2018 19:04:28 GMT-0800 (Pacific Standard Time)
