group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,153197,train,1,9,1 9 8 7 6 5 4 3 2 1 9 8 9,13,1519 417 647 1415 560 880 2514 491 558 1322 600 1069 542 1624,37 38 38 39 39 40 40 40 37 37 38 39 40 32,14158,1543615429.583,Fri Nov 30 2018 17:03:49 GMT-0500 (Eastern Standard Time)
A,153197,train,8,6,8 7 6,3,3835 648 1004,38 39 32,5487,1543615438.08,Fri Nov 30 2018 17:03:58 GMT-0500 (Eastern Standard Time)
A,153197,train,8,6,8 7 6,3,1121 427 1265,38 39 32,2813,1543615443.905,Fri Nov 30 2018 17:04:03 GMT-0500 (Eastern Standard Time)
A,153197,train,2,5,2 3 4 5,4,3008 512 305 217,38 38 38 32,4042,1543615450.957,Fri Nov 30 2018 17:04:10 GMT-0500 (Eastern Standard Time)
A,153197,train,2,5,2 3 4 5,4,821 276 419 299,38 38 38 32,1815,1543615455.786,Fri Nov 30 2018 17:04:15 GMT-0500 (Eastern Standard Time)
A,153197,train,8,6,8 7 6,3,1447 458 374,38 39 32,2279,1543615461.075,Fri Nov 30 2018 17:04:21 GMT-0500 (Eastern Standard Time)
A,153197,train,8,2,8 7 6 5 4 3 2,7,4958 871 460 860 499 389 697,38 39 39 40 40 40 32,8734,1543615472.818,Fri Nov 30 2018 17:04:32 GMT-0500 (Eastern Standard Time)
A,153197,train,1,9,1 9,2,7589 1249,37 32,8838,1543615484.666,Fri Nov 30 2018 17:04:44 GMT-0500 (Eastern Standard Time)
A,153197,train,1,4,1 2 3 4,4,3239 1300 356 884,39 38 38 32,5779,1543615493.472,Fri Nov 30 2018 17:04:53 GMT-0500 (Eastern Standard Time)
A,153197,train,2,5,2 3 4 5,4,2132 268 281 774,38 38 38 32,3455,1543615499.941,Fri Nov 30 2018 17:04:59 GMT-0500 (Eastern Standard Time)
A,153197,train,6,2,6 5 4 3 2,5,1609 1846 290 311 484,39 40 40 40 32,4540,1543615507.49,Fri Nov 30 2018 17:05:07 GMT-0500 (Eastern Standard Time)
A,153197,train,2,5,2 3 4 5,4,735 296 302 358,38 38 38 32,1691,1543615512.19,Fri Nov 30 2018 17:05:12 GMT-0500 (Eastern Standard Time)
A,153197,train,1,9,1 9,2,1083 549,37 32,1632,1543615516.832,Fri Nov 30 2018 17:05:16 GMT-0500 (Eastern Standard Time)
A,153197,train,1,9,1 9,2,5398 162 566,37 37 32,6126,1543615525.966,Fri Nov 30 2018 17:05:25 GMT-0500 (Eastern Standard Time)
