group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,132753,train,4,6,4 3 2 3 4 5 6 7 6,9,358 352 224 224 265 238 281 376 608 527 323 678 320,40 40 40 40 38 39 39 38 38 39 39 37 32,4774
A,132753,train,2,1,2 1 10 1,4,274 383 505 279,39 39 37 32,1441
A,132753,train,10,7,10 1 2 3 4 5 6 7,8,779 422 335 1193 385 295 320 312 280 408 296 632,39 39 37 37 37 38 38 38 38 39 39 32,5657
A,132753,train,5,3,5 4 3 2 3,5,38 521 359 616 224,40 40 40 38 32,1758
A,132753,train,8,6,8 9 10 9 8 7 6 5 6,9,369 329 335 417 257 287 263 281 216 344 352 368,40 40 40 38 38 38 38 38 37 37 39 32,3818
A,132753,train,4,6,4 3 2 1 10 9 8 7 6,9,277 344 257 240 375 321 401 374 368 376 344 400 264 705,40 40 40 40 39 39 39 38 39 38 38 38 37 32,5046
A,132753,train,3,2,3 4 5 4 3 2,6,493 280 263 283 206 303 233 472,38 38 38 40 40 40 40 32,2533
A,132753,train,10,8,10 1 2 1 10 9 8 7 8,9,234 545 383 352 264 224 169 336 345 310 344 240,37 37 37 39 39 39 39 38 38 38 40 32,3746
A,132753,train,10,7,10 9 8 7,4,303 313 239 216 472,38 38 38 38 32,1543
A,132753,train,10,7,10 9 8 7,4,32 215 281 224 567,38 38 38 38 32,1319
A,132753,train,4,6,4 5 4 3 2 3 4 5 6 7 6,11,340 400 231 369 190 161 544 248 240 264 280 351 401 391 329 280 336 311 281,38 38 38 40 40 40 40 38 39 39 37 38 38 38 38 39 39 37 32,5947
A,132753,train,4,6,4 3 2 3 4 5 4 3 2 1 10 9 8 7 6 5 6,17,8350 319 264 183 257 185 287 208 272 296 232 248 232 359 508 398 511 297 392 480 360 295 488 240 361 295 328,39 40 40 40 40 38 39 39 38 38 38 38 40 39 40 40 39 39 39 38 38 38 38 37 37 39 32,16645
A,132753,train,1,3,1 10 9 8 7 8 9 10 9 8 7 6 5 4 3 2 3,17,116 646 591 249 159 673 319 153 168 160 183 393 239 625 800 464 711 529 327 216 313 311 161 432 263,39 40 38 38 38 38 40 40 40 40 40 38 37 38 38 37 40 37 37 37 40 40 40 38 32,9201
A,132753,train,4,6,4 3 2 3 4 5 6,7,137 441 239 208 321 248 240 416 432 816,40 40 40 40 38 38 39 38 39 32,3498
A,132753,train,4,6,4 3 2 3 4 5 6 7 6,9,1541 317 216 345 199 216 304 609 647 352 384 288 256,40 40 40 38 39 39 38 38 38 39 39 37 32,5674
A,132753,train,10,7,10 9 8 7,4,915 446 280 823,38 38 38 32,2464
A,132753,train,4,6,4 5 6 7 6,5,461 385 519 328 336 264,38 38 39 39 37 32,2293
A,132753,train,4,6,4 5 6 7 6,5,134 561 7 321 336 432,38 39 38 39 37 32,1791
A,132753,train,1,3,1 2 1 10 9 8 7 6 5 4 3 2 3,13,304 191 385 346 277 208 432 448 360 856 416 264 384 392 335 225 200 433 247,40 37 37 37 39 39 39 38 38 38 38 37 37 37 40 40 40 38 32,6703
A,132753,train,4,6,4 3 2 1 10 9 8 7 6,9,1573 406 432 280 311 393 280 208 280 288 488 448 625,40 40 40 39 39 39 39 38 38 38 38 37 32,6012
A,132753,train,4,6,4 3 2 1 10 9 8 7 6,9,1361 694 320 232 303 272 312 329 376 528 352 343 328 665,40 39 39 40 40 40 39 39 39 38 38 38 37 32,6415
A,132753,train,1,3,1 10 1 2 3 4 3,7,159 1087 433 256 280 544 353 439 368,39 39 37 37 37 38 38 40 32,3919
A,132753,train,1,3,1 10 9 10 9 8 7 8 9 10 9 8 7 6 5 6 5 4 3 2 3,21,1180 430 320 512 367 208 202 311 264 336 543 752 529 352 464 271 273 168 192 424 264 848 616 464 359 635 462 240 232 408 392 248,39 39 38 37 40 40 40 38 37 38 38 39 40 37 37 40 40 40 40 39 38 38 38 37 37 39 37 40 40 40 38 32,13266
A,132753,train,4,8,4 3 2 3 4 5 6 7 6 5 4 3 2 1 10 9 8 7 8,19,17344 336 537 207 193 207 360 304 408 272 416 369 376 328 192 184 279 329 352 519 248 440 473 544 391 233 200 439 264,40 40 38 39 39 38 39 38 38 37 39 39 39 37 37 37 38 40 40 40 39 39 39 40 38 38 38 40 32,26744
A,132753,train,3,8,3 2 3 4 5 6 7 8 9 8,10,731 381 281 175 176 160 160 185 175 217 344 368 360 263 376 296,39 40 40 40 38 38 38 38 38 39 39 39 40 40 38 32,4648
A,132753,train,10,7,10 1 2 1 10 9 8 7,8,969 366 256 240 168 216 184 200 328 289 296 232 511,37 37 37 37 39 39 39 39 38 38 38 38 32,4255
A,132753,train,4,10,4 5 4 3 2 1 10,7,37 245 426 182 160 248 408 336 632,38 38 40 40 40 40 39 39 32,2674
A,132753,train,10,7,10 9 8 7,4,319 432 248 232 225 495,39 38 38 38 38 32,1951
A,132753,train,4,6,4 3 2 1 10 9 8 7 6 5 6,11,407 326 368 280 273 215 432 329 359 256 247 257 360 278 320 240,40 40 40 39 39 39 38 37 38 38 38 39 37 37 39 32,4947
A,132753,train,4,6,4 3 2 1 10 1 2 3 4 5 4 3 2 1 10 1 2 3 4 5 6 7 6,23,1731 470 95 344 360 415 320 199 199 169 192 344 312 369 247 248 408 320 320 184 424 800 296 440 393 439 192 160 217 408 407 288 218 398 57 423 352 336 408 257,40 39 40 39 39 39 39 37 37 37 37 38 38 37 37 38 37 38 40 40 39 40 39 39 39 37 37 37 37 38 39 39 38 39 38 38 39 39 37 32,14159
A,132753,train,1,3,1 10 1 2 3 4 3,7,321 392 256 232 192 192 427 309 320 240,39 39 39 37 37 37 38 38 40 32,2881
A,132753,train,10,5,10 9 8 7 8 7 6 5,8,642 368 231 257 296 368 272 192 472 250 359 343 368 313 351 160 232 840,40 40 39 39 38 39 39 38 38 39 38 38 40 37 38 37 37 32,6314
A,132753,train,1,3,1 10 1 2 3 4 3,7,1571 342 232 248 208 552 359 482 360 224 408 247,39 39 39 37 37 40 37 40 38 38 40 32,5233
A,132753,train,7,8,7 8 9 8,4,591 357 337 272,40 40 38 32,1557
A,132753,train,4,6,4 3 2 1 10 1 2 3 4 5 6,11,587 624 567 241 360 376 394 310 297 207 224 359 625 17289,40 40 39 39 39 37 37 37 37 38 38 38 39 32,22460
A,132753,train,10,7,10 1 2 3 4 5 6 7,8,1233 912 272 226 190 208 232 209 183 177 503,37 37 38 38 38 38 38 39 39 39 32,4345
A,132753,train,1,3,1 10 1 2 3 4 3,7,299 281 223 191 193 176 200 200 240 394 294,39 39 39 37 37 37 37 38 38 40 32,2691
A,132753,train,2,5,2 1 10 9 8 7 8 9 10 1 2 3 4 5,14,190 232 224 225 240 263 208 200 369 199 191 200 185 232 295 338 295 215 376 368 640,39 39 39 39 38 38 38 38 40 40 40 40 40 37 37 37 37 38 38 38 32,5685
