group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,174971,train,9,4,9 8 7 8 9 10 1 2 3 4,10,188 1933 1857 881 446 1584 496 415 577 512 480 864 496 1168 752,39 39 39 37 37 37 37 37 40 40 40 39 38 39 32,12649
A,174971,train,10,7,10 9 8 7,4,356 448 384 752,39 39 39 32,1940
A,174971,train,4,6,4 3 2 1 10 9 8 7 8 9 10 9 8 7 8 7 6 5 4 3 2 3 4 5 6 7 6,27,527 396 430 960 465 478 497 4880 577 430 465 1057 384 415 688 592 368 368 1088 1280 480 385 719 752 655 448 689 288 352 322 431 1103 655 705 737,37 37 37 38 38 38 39 39 39 39 37 37 37 37 39 39 39 39 37 39 40 40 37 38 37 37 37 39 39 39 39 38 38 40 32,25066
A,174971,train,4,6,4 5 6,3,465 559 960 671,39 39 38 32,2655
A,174971,train,1,3,1 10 9 8 9 10 9 10 1 2 3,11,494 448 416 544 448 256 479 625 511 544 351 513 447 497 671,38 38 39 39 37 37 37 39 40 37 40 40 40 39 32,7244
A,174971,train,1,3,1 10 9 8 7 8 9 10 1 2 1 2 1 10 9 8 7 8 9 10 9 8 7 6 5 4 3,27,6172 785 400 448 592 494 337 415 160 177 704 416 494 481 464 479 320 705 463 656 465 624 752 399 496 545 447 512 1088 1248 1407 434 415 1440 480 480 832 497 639,38 38 39 39 39 39 37 37 37 37 40 40 40 38 39 39 37 40 40 38 38 38 39 39 39 39 37 37 37 39 39 39 39 40 40 40 37 37 32,28362
A,174971,train,9,5,9 8 7 8 9 10 1 2 1 10 9 8 7 8 9 10 1 2 1 10 1 2 3 4 5,25,515 382 448 400 320 305 432 559 497 467 717 463 495 417 448 1825 463 720 401 401 446 1056 432 480 768 529 479 961 463 752 768 272 495 161 449 464 448 641,39 39 39 37 37 37 37 40 40 40 38 38 38 39 39 39 39 37 37 37 37 40 40 40 38 38 38 40 39 37 39 40 40 40 39 39 39 32,20739
A,174971,train,10,7,10 9 8 7,4,389 479 433 576,39 39 39 32,1877
A,174971,train,10,7,10 9 8 7,4,399 350 336 528,39 39 39 32,1613
A,174971,train,10,7,10 9 8 7,4,335 447 464 480,39 39 39 32,1726
A,174971,train,1,3,1 2 1 10 1 2 1 2 1 10 9 8 9 10 9 8 7 8 9 10 1 2 1 10 9 8 7 8 9 10 1 2 3,33,452 397 641 390 794 788 541 464 495 720 431 1089 752 466 911 14943 1232 432 512 256 1024 368 336 416 527 449 272 255 993 579 1053 495 1074 446 626 766 624 432 432 1184 480 864 705,40 40 38 38 38 40 39 37 40 40 38 39 40 40 38 38 39 39 37 37 39 39 39 39 37 37 37 37 40 40 38 38 39 39 39 37 37 37 37 40 40 39 32,41106
A,174971,train,1,3,1 2 3,3,956 863 1169,40 39 32,2988
A,174971,train,4,6,4 5 4 3 2 1 10 1 10 9 8 7 8 9 10 1 2 1 10 9 8 7 8 9 10 1 10 9 8 7 6 5 6 7 8 9 10 1 10 9 10 1 2 3 2 3 4 5 6,49,430 385 704 1506 912 1726 560 1504 383 1105 1584 528 576 448 416 255 273 432 863 480 577 928 831 1056 609 559 593 256 207 257 816 704 1137 1759 495 864 593 1375 448 497 447 945 416 1087 528 401 497 558 592 847 1377 608 319 702 513 593 414 1249 2848 630 426 383 511 513 560 640,39 39 37 37 37 38 38 40 39 38 39 39 39 39 37 37 37 37 40 40 40 38 38 39 39 39 37 37 37 37 40 39 38 39 40 39 39 40 40 40 38 38 38 37 37 37 37 40 39 38 39 37 37 40 40 40 39 32 37 37 39 39 39 39 38 32,48235
A,174971,train,10,7,10 9 8 7,4,494 414 416 447,39 39 39 32,1771
A,174971,train,5,6,5 4 3 2 3 4 5 6,8,475 400 399 480 480 415 290 463 1424 673,37 37 37 37 39 39 39 39 38 32,5499
A,174971,train,8,9,8 7 8 9,4,493 400 447 210 542,39 39 37 37 32,2092
A,174971,train,1,3,1 2 3,3,431 335 544,40 39 32,1310
A,174971,train,10,4,10 1 2 3 4,5,515 990 513 592 671 417 656,37 40 40 40 39 39 32,4354
A,174971,train,10,7,10 9 8 7,4,890 335 352 448,39 39 39 32,2025
A,174971,train,1,3,1 2 3,3,1051 368 480,40 39 32,1899
A,174971,train,10,1,10 9 8 7 8 9 10 9 10 1,10,371 365 402 447 432 529 735 400 448 848 513 351 609,39 39 39 39 37 40 37 37 37 39 37 40 32,6450
A,174971,train,4,6,4 5 6,3,746 894 593,39 38 32,2233
A,174971,train,8,10,8 9 10,3,663 415 480,37 37 32,1558
A,174971,train,10,7,10 9 8 7,4,418 445 257 448,39 39 39 32,1568
A,174971,train,10,7,10 9 8 7,4,415 305 272 464,39 39 39 32,1456
A,174971,train,2,6,2 1 10 1 2 3 4 5 6,9,750 432 545 560 368 608 495 512 512 448 959 992 625,38 38 38 40 37 40 37 39 39 39 39 38 32,7806
A,174971,train,4,6,4 5 6,3,3015 926 976 512,39 39 38 32,5429
A,174971,train,10,7,10 9 8 7,4,1013 366 338 319,39 39 39 32,2036
A,174971,train,7,6,7 8 9 10 9 8 7 6,8,672 2156 833 480 371 202 240 209 223 368 801,39 37 37 37 39 39 39 39 39 40 32,6555
A,174971,train,1,3,1 2 3,3,363 319 450,40 39 32,1132
A,174971,train,1,8,1 2 3 4 5 4 3 2 3 4 5 4 5 6 7 6 7 8 9 8,20,407 447 687 497 431 544 416 450 542 431 480 161 512 447 929 398 1456 1346 1646 530 623 320 1711 480 1025 767 528 593 480 336,37 39 40 40 39 39 39 39 37 38 38 37 37 37 40 39 39 39 39 37 39 38 38 38 40 38 37 37 39 32,19620
A,174971,train,1,3,1 2 3,3,353 303 431,40 39 32,1087
A,174971,train,10,7,10 9 8 7,4,482 81 226 462,39 39 39 32,1251
A,174971,train,10,7,10 9 8 7,4,466 304 255 384,39 39 39 32,1409
A,174971,train,4,6,4 5 6,3,1132 468 507,39 38 32,2107
A,174971,train,1,3,1 2 3,3,489 286 335,40 39 32,1110
A,174971,train,1,3,1 2 3,3,756 352 336,40 39 32,1444
A,174971,train,10,7,10 9 8 7,4,412 239 207 305,39 39 39 32,1163
