group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,178045,train,4,6,4 3 2 3 4 5 6,7,609 711 465 600 231 329 432 504 1815,38 38 38 40 40 40 40 37 32,5696
A,178045,train,8,10,8 9 10,3,435 393 727,38 38 32,1555
A,178045,train,10,7,10 9 8 7,4,238 409 320 824,40 40 40 32,1791
A,178045,train,10,7,10 9 8 7,4,259 384 385 696,40 40 40 32,1724
A,178045,train,1,3,1 10 1 2 3,5,266 424 415 328 304 424 497 736,37 37 37 39 39 39 40 32,3394
A,178045,train,10,7,10 9 8 7,4,308 408 353 543,40 40 40 32,1612
A,178045,train,4,6,4 5 6,3,273 407 369 575,40 40 37 32,1624
A,178045,train,3,10,3 2 1 10,4,282 408 352 424 687,38 38 37 37 32,2153
A,178045,train,1,3,1 10 1 2 3,5,335 456 600 296 489 208 520,37 37 39 39 39 40 32,2904
A,178045,train,1,3,1 2 3,3,5919 801 440,39 40 32,7160
A,178045,train,6,8,6 7 6 5 4 3 2 3 4 5 6 7 8,13,322 567 455 321 608 423 489 480 568 360 383 353 392 247 609 103 545 624,37 37 39 39 39 38 38 38 38 40 40 40 40 37 37 37 38 32,7849
A,178045,train,10,7,10 1 10 9 8 7,6,358 751 297 455 393 520,39 37 40 40 40 32,2774
A,178045,train,10,7,10 9 8 7,4,526 617 480 791,40 40 40 32,2414
A,178045,train,10,3,10 1 10 9 8 7 8 9 10 1 2 1 10 9 8 7 6 5 4 3,20,348 343 352 1152 449 431 617 368 360 216 360 431 481 1207 736 376 1289 432 463 673 663 465 456 456 696,37 37 39 37 40 40 40 40 38 38 38 38 39 39 37 37 40 40 40 39 39 39 38 38 32,13820
A,178045,train,1,3,1 2 3,3,377 1872 608,39 40 32,2857
A,178045,train,3,5,3 2 3 4 5,5,621 599 497 1015 424 425 551,37 38 38 40 40 40 32,4132
A,178045,train,4,6,4 5 4 3 2 1 10 1 2 3 4 5 6 7 6,15,395 401 424 344 431 409 264 448 504 368 263 425 480 503 353 360 199 224 504 656,40 40 38 38 38 38 37 37 37 39 39 39 40 40 40 40 37 37 39 32,7955
A,178045,train,1,3,1 2 3,3,368 431 465 583,39 39 40 32,1847
A,178045,train,8,6,8 7 8 9 10 1 2 1 10 9 8 7 6,13,250 480 568 800 335 393 464 320 464 527 313 287 505 1087 432 408 512 313 751,40 40 38 39 38 38 38 39 39 39 37 37 37 40 40 40 40 39 32,9209
A,178045,train,1,3,1 2 3,3,321 416 343 568,39 39 40 32,1648
A,178045,train,1,3,1 2 3,3,364 272 472,39 40 32,1108
A,178045,train,10,7,10 9 8 7,4,292 407 385 463,40 40 40 32,1547
A,178045,train,1,3,1 2 3,3,341 271 416,39 40 32,1028
A,178045,train,10,7,10 9 8 7,4,259 368 407 481,40 40 40 32,1515
A,178045,train,4,6,4 3 2 3 4 5 6,7,303 855 512 913 632 312 375 313 631,38 38 38 40 40 40 40 37 32,4846
A,178045,train,4,6,4 5 6,3,289 415 609,40 37 32,1313
A,178045,train,10,7,10 9 8 7,4,505 495 512 833,40 40 40 32,2345
A,178045,train,10,7,10 9 8 7,4,2149 391 424 512,40 40 40 32,3476
A,178045,train,4,6,4 5 6,3,754 232 441,40 37 32,1427
A,178045,train,4,6,4 5 6,3,343 335 417,40 37 32,1095
A,178045,train,4,6,4 5 6,3,321 201 367,40 37 32,889
A,178045,train,4,6,4 5 6,3,374 199 409,40 37 32,982
A,178045,train,4,6,4 5 6,3,344 207 424,40 37 32,975
A,178045,train,1,3,1 10 9 8 7 6 5 4 3,9,335 607 640 496 480 432 457 263 344 640 361 632,40 37 37 40 40 40 40 39 39 38 38 32,5687
A,178045,train,10,7,10 9 8 7,4,380 343 752 520,40 40 40 32,1995
A,178045,train,1,3,1 2 3,3,533 1753 568,39 40 32,2854
A,178045,train,9,1,9 10 1,3,389 472 632 928,38 38 39 32,2421
A,178045,train,1,3,1 2 3,3,331 480 487,39 40 32,1298
A,178045,train,6,9,6 7 8 9,4,481 456 393 521 758,37 37 38 38 32,2609
A,178045,train,1,2,1 2,2,282 743,39 32,1025
A,178045,train,1,5,1 2 3 4 5,5,394 776 512 464 584,39 40 40 40 32,2730
A,178045,train,1,3,1 2 3,3,287 631 520,39 40 32,1438
A,178045,train,4,6,4 3 2 1 10 9 8 7 6,9,297 832 496 297 495 489 511 432 425 376 663 297 815,38 38 38 37 37 37 40 40 37 40 40 39 32,6425
A,178045,train,10,7,10 9 8 7,4,254 368 423 440,40 40 40 32,1485
A,178045,train,7,5,7 6 5,3,340 776 656,39 39 32,1772
