group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,198282,train,6,3,6 7 6 5 4 3,6,1224 1487 569 1084 822 397,37 39 39 38 38 32,5583
A,198282,train,2,1,2 1,2,938 276,37 32,1214
A,198282,train,8,7,8 7,2,1782 475,40 32,2257
A,198282,train,5,4,5 4,2,832 295,38 32,1127
A,198282,train,3,1,3 4 5 6 7 8 9 10 1,9,1096 850 1023 759 1795 1146 818 857 721,40 40 37 37 38 38 38 39 32,9065
A,198282,train,4,5,4 5,2,1049 342,40 32,1391
A,198282,train,1,3,1 10 9 8 7 6 5 4 3,9,1282 1891 980 730 971 822 928 970 238,37 40 40 40 39 39 38 38 32,8812
A,198282,train,4,9,4 5 6 7 6 5 4 3 2 1 10 9,12,1162 1091 770 805 968 771 586 595 1004 1560 1304 882,40 37 37 39 39 38 38 38 37 37 40 32,11498
A,198282,train,9,10,9 10,2,913 651,38 32,1564
A,198282,train,7,8,7 8,2,901 264,38 32,1165
A,198282,train,3,7,3 4 5 6 7,5,1205 1328 973 762 275,40 40 37 37 32,4543
A,198282,train,3,1,3 2 1,3,1449 1018 250,38 37 32,2717
A,198282,train,10,8,10 9 8,3,1414 1141 309,40 40 32,2864
A,198282,train,3,10,3 4 5 6 7 8 9 10,8,1272 996 812 804 1262 1353 1165 409,40 40 37 37 38 38 38 32,8073
A,198282,train,2,3,2 3,2,1566 562,40 32,2128
A,198282,train,9,8,9 8,2,1146 308,40 32,1454
