group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,162415,train,4,6,4 5 6,3,640 1027 423,37 40 32,2090
A,162415,train,6,8,6 5 4 3 2 1 10 9 8,9,427 751 750 725 713 788 974 774 313,38 39 39 39 40 40 37 37 32,6215
A,162415,train,4,6,4 5 6,3,677 949 238,37 40 32,1864
A,162415,train,1,3,1 10 9 8 7 6 5 4 3,9,375 862 763 587 989 462 726 586 425,40 37 37 37 38 38 39 39 32,5775
A,162415,train,6,10,6 5 4 3 2 1 10,7,385 589 539 611 638 512 351,38 39 39 39 40 40 32,3625
A,162415,train,1,3,1 10 9 8 7 6 5 4 3,9,781 525 439 323 787 462 687 515 460,40 37 37 37 38 38 39 39 32,4979
A,162415,train,10,7,10 9 8 7,4,661 489 573 488,37 37 37 32,2211
A,162415,train,1,3,1 2 3,3,361 726 338,38 37 32,1425
A,162415,train,10,7,10 9 8 7,4,292 337 326 300,37 37 37 32,1255
A,162415,train,1,3,1 10 9 8 7 6 5 4 3,9,291 700 377 323 526 237 624 213 427,40 37 37 37 38 38 39 39 32,3718
A,162415,train,1,8,1 2 3 4 5 6 7 8,8,369 564 400 350 687 313 351 373 400,38 37 37 37 40 40 40 39 32,3807
