group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,148673,train,2,3,2 3,2,1363 269,40 32,1632,1550190387.821,Thu Feb 14 2019 16:26:27 GMT-0800 (Pacific Standard Time)
A,148673,train,10,7,10 9 8 7,4,2125 1450 893 764,40 40 40 32,5232,1550190399.064,Thu Feb 14 2019 16:26:39 GMT-0800 (Pacific Standard Time)
A,148673,train,2,3,2 3,2,470 217,40 32,687,1550190405.766,Thu Feb 14 2019 16:26:45 GMT-0800 (Pacific Standard Time)
A,148673,train,4,5,4 5,2,1892 302,40 32,2194,1550190413.971,Thu Feb 14 2019 16:26:53 GMT-0800 (Pacific Standard Time)
A,148673,train,6,4,6 5 4,3,3211 337 404 259 403 307,38 38 39 39 38 32,4921,1550190424.902,Thu Feb 14 2019 16:27:04 GMT-0800 (Pacific Standard Time)
A,148673,train,9,8,9 8,2,903 734,40 32,1637,1550190432.55,Thu Feb 14 2019 16:27:12 GMT-0800 (Pacific Standard Time)
A,148673,train,4,5,4 5,2,7144 1308,40 32,8452,1550190447.015,Thu Feb 14 2019 16:27:27 GMT-0800 (Pacific Standard Time)
A,148673,train,10,7,10 9 8 7,4,620 250 440 670 208,40 37 40 40 32,2188,1550190455.215,Thu Feb 14 2019 16:27:35 GMT-0800 (Pacific Standard Time)
A,148673,train,2,3,2 3,2,1378 904 175,39 40 32,2457,1550190463.68,Thu Feb 14 2019 16:27:43 GMT-0800 (Pacific Standard Time)
A,148673,train,10,7,10 9 8 7,4,3214 430 1569 921,40 40 40 32,6134,1550190475.826,Thu Feb 14 2019 16:27:55 GMT-0800 (Pacific Standard Time)
A,148673,train,9,2,9 8 9 10 9 8 7 6 7 8 9 10 1 2,14,3043 849 230 1074 487 440 709 398 281 6456 1137 664 977 289 612 427,40 38 38 40 40 40 39 37 37 38 38 38 38 39 39 32,18073,1550190499.91,Thu Feb 14 2019 16:28:19 GMT-0800 (Pacific Standard Time)
A,148673,train,7,8,7 8,2,656 652,38 32,1308,1550190507.227,Thu Feb 14 2019 16:28:27 GMT-0800 (Pacific Standard Time)
A,148673,train,2,3,2 3,2,428 248,40 32,676,1550190513.916,Thu Feb 14 2019 16:28:33 GMT-0800 (Pacific Standard Time)
