group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,166412,train,1,10,7,10 9 8 7,4,1424 3418 1202 2940,38 38 38 32,1 2 3,8984,1551369374.337,Thu Feb 28 2019 07:56:14 GMT-0800 (Pacific Standard Time)
A,166412,train,2,2,3,2 3,2,855 1311,38 32,1,2166,1551369382.526,Thu Feb 28 2019 07:56:22 GMT-0800 (Pacific Standard Time)
A,166412,train,3,10,8,10 1 2 1 2 3 4 5 6 5 4 3 2 1 10 9 8,17,510 919 905 343 353 367 407 841 646 952 665 879 861 901 607 847 688 761 1031,39 39 37 38 39 39 38 38 38 37 39 40 40 40 37 37 38 38 32,1 2 3 5 7 8 9 10 11 12 13 14 15 16 17 18,13483,1551369402.032,Thu Feb 28 2019 07:56:42 GMT-0800 (Pacific Standard Time)
A,166412,train,4,1,4,1 2 3 4,4,528 719 895 1087,39 38 38 32,1 2 3,3229,1551369411.28,Thu Feb 28 2019 07:56:51 GMT-0800 (Pacific Standard Time)
A,166412,train,5,10,7,10 9 8 7,4,483 615 626 1446,38 38 38 32,1 2 3,3170,1551369420.47,Thu Feb 28 2019 07:57:00 GMT-0800 (Pacific Standard Time)
A,166412,train,6,10,7,10 9 8 7,4,23122 753 527 999,38 38 38 32,1 2 3,25401,1551369451.893,Thu Feb 28 2019 07:57:31 GMT-0800 (Pacific Standard Time)
A,166412,train,7,10,7,10 9 8 7,4,416 428 368 1224,38 38 38 32,1 2 3,2436,1551369460.351,Thu Feb 28 2019 07:57:40 GMT-0800 (Pacific Standard Time)
A,166412,train,8,2,4,2 3 4,3,764 392 504,38 38 32,1 2,1660,1551369468.031,Thu Feb 28 2019 07:57:48 GMT-0800 (Pacific Standard Time)
A,166412,train,9,4,5,4 3 2 1 10 9 8 7 6 5,10,378 632 368 841 455 616 1096 1192 476 924 879,40 40 37 37 38 38 38 38 39 39 32,1 2 3 4 5 6 7 9 10,7857,1551369481.908,Thu Feb 28 2019 07:58:01 GMT-0800 (Pacific Standard Time)
A,166412,train,10,4,5,4 5,2,326 1135,38 32,1,1461,1551369489.391,Thu Feb 28 2019 07:58:09 GMT-0800 (Pacific Standard Time)
A,166412,train,11,4,5,4 5,2,1141 1004,38 32,1,2145,1551369497.555,Thu Feb 28 2019 07:58:17 GMT-0800 (Pacific Standard Time)
A,166412,train,12,4,5,4 5,2,346 631,38 32,1,977,1551369504.551,Thu Feb 28 2019 07:58:24 GMT-0800 (Pacific Standard Time)
A,166412,train,13,2,3,2 3 4 3,4,988 471 504 589 266,38 38 32 40 32,1 2 4,2818,1551369513.456,Thu Feb 28 2019 07:58:33 GMT-0800 (Pacific Standard Time)
A,166412,train,14,2,3,2 3,2,444 272,38 32,1,716,1551369520.194,Thu Feb 28 2019 07:58:40 GMT-0800 (Pacific Standard Time)
A,166412,train,15,4,5,4 5,2,315 332,38 32,1,647,1551369526.861,Thu Feb 28 2019 07:58:46 GMT-0800 (Pacific Standard Time)
A,166412,train,16,5,1,5 4 3 2 1,5,550 688 648 528 764,40 40 40 37 32,1 2 3 4,3178,1551369536.059,Thu Feb 28 2019 07:58:56 GMT-0800 (Pacific Standard Time)
A,166412,train,17,10,7,10 9 8 7,4,520 420 609 945,38 38 38 32,1 2 3,2494,1551369544.575,Thu Feb 28 2019 07:59:04 GMT-0800 (Pacific Standard Time)
