group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,102856,train,1,10,2,10 9 8 7 6 5 4 3 2 1 10 9 8 7 6 7 8 7 6 7 8 9 10 1 2,25,854 343 433 416 552 560 416 480 512 456 536 600 360 385 185 350 136 299 158 367 143 336 776 488 313 295 218 318 112 232 128 168 136 122 119 176 63 136 96 178 71 168 2 221 122 111 104 81,40 40 40 39 39 38 38 38 37 37 32 32 38 40 32 39 32 40 32 40 32 39 32 37 32 38 32 40 32 39 32 40 32 37 32 38 32 38 32 38 32 32 38 32 39 32 39 32,1 2 3 4 5 6 7 8 9 10 14 18 20 22 24 26 28 30 34 36 38 40 45 47,13831,1551372911.192,Thu Feb 28 2019 10:55:11 GMT-0600 (Central Standard Time)
A,102856,train,2,10,7,10 9 10 1 10 9 10 1 10 9 8 7,12,316 400 272 370 254 409 424 519 360 368 593 367 384 336 377 483,40 39 38 38 39 37 40 38 38 39 37 37 40 40 40 32,1 3 5 6 7 8 10 11 13 14 15,6232,1551372923.475,Thu Feb 28 2019 10:55:23 GMT-0600 (Central Standard Time)
A,102856,train,3,2,3,2 1 10 1 2 3,6,1177 450 394 294 432 200 448 351 352 336 369 288,37 32 40 32 37 32 37 39 39 32 40 32,1 5 8 9 11,5091,1551372934.594,Thu Feb 28 2019 10:55:34 GMT-0600 (Central Standard Time)
A,102856,train,4,8,5,8 7 6 7 8 9 10 1 10 9 8 7 8 9 10 1 2 3 4 5,20,384 623 431 408 480 552 521 560 487 479 393 344 304 280 255 513 608 568 512 392 472 320,40 39 37 38 38 38 39 37 40 40 40 40 38 38 38 39 39 40 40 40 40 32,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20,9886,1551372950.514,Thu Feb 28 2019 10:55:50 GMT-0600 (Central Standard Time)
A,102856,train,5,7,1,7 8 9 10 1,5,376 422 321 391 240 496,38 38 38 38 39 32,1 2 3 5,2246,1551372958.794,Thu Feb 28 2019 10:55:58 GMT-0600 (Central Standard Time)
A,102856,train,6,2,6,2 3 2 3 2 1 10 9 8 7 6,11,344 592 208 504 626 246 385 488 311 448 416 424 384 304 472,40 38 38 40 38 37 37 37 40 39 40 40 40 39 32,1 2 4 5 6 7 9 11 12 14,6152,1551372970.97,Thu Feb 28 2019 10:56:10 GMT-0600 (Central Standard Time)
A,102856,train,7,7,3,7 8 9 10 1 10 9 8 7 6 5 6 7 8 9 10 1 10 1 10 9 8 7 6 7 8 9 10 1 2 3,31,350 511 383 408 272 503 392 409 392 431 264 496 488 296 465 463 329 231 249 512 640 216 224 200 375 424 263 266 574 425 392 200 416 512 424 192 239 337 512 680 512 512,38 38 38 38 39 37 40 40 40 40 39 39 39 37 37 38 38 38 38 39 37 37 37 39 40 38 38 37 40 40 40 40 39 37 38 38 38 38 39 39 40 32,1 2 3 5 6 7 8 9 11 12 14 15 16 17 18 20 21 24 28 29 30 31 33 34 35 36 37 39 40 41,16379,1551372993.363,Thu Feb 28 2019 10:56:33 GMT-0600 (Central Standard Time)
A,102856,train,8,2,3,2 3,2,809 326 407,38 40 32,2,1542,1551373000.914,Thu Feb 28 2019 10:56:40 GMT-0600 (Central Standard Time)
A,102856,train,9,4,5,4 5,2,359 12425,40 32,1,12784,1551373019.73,Thu Feb 28 2019 10:56:59 GMT-0600 (Central Standard Time)
A,102856,train,10,10,7,10 9 10 1 10 9 8 7,8,396 423 304 208 264 184 376 424 417 343 416,40 39 38 38 38 39 37 40 40 40 32,1 3 6 7 8 9 10,3755,1551373029.507,Thu Feb 28 2019 10:57:09 GMT-0600 (Central Standard Time)
