group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,192191,train,1,10,7,10 1 2 3 4 5 6 5 4 5 6 7,12,789 1562 1292 1828 3033 972 1677 1327 1257 721 1122 5134,37 37 38 38 38 39 37 40 38 39 39 32,1 2 3 4 5 6 7 8 9 10 11,20714,1551456725.84,Fri Mar 01 2019 10:12:05 GMT-0600 (Central Standard Time)
A,192191,train,2,10,7,10 9 8 7,4,444 2323 1977 1496,38 38 38 32,1 2 3,6240,1551456738.086,Fri Mar 01 2019 10:12:18 GMT-0600 (Central Standard Time)
A,192191,train,3,2,3,2 1 10 9 8 7 6 5 4 3,10,398 1343 1420 1953 751 861 2559 1642 390 716 1541,39 39 38 38 38 37 37 37 40 40 32,1 2 3 4 5 6 7 9 10,13574,1551456757.667,Fri Mar 01 2019 10:12:37 GMT-0600 (Central Standard Time)
A,192191,train,4,1,2,1 10 9 8 7 6 5 4 3 2,10,1039 857 1385 752 695 764 714 625 737 1265,39 38 38 38 37 37 40 40 40 32,1 2 3 4 5 6 7 8 9,8833,1551456772.507,Fri Mar 01 2019 10:12:52 GMT-0600 (Central Standard Time)
A,192191,train,5,4,5,4 5,2,459 1624,38 32,1,2083,1551456780.598,Fri Mar 01 2019 10:13:00 GMT-0600 (Central Standard Time)
A,192191,train,6,4,5,4 5,2,354 800,38 32,1,1154,1551456787.763,Fri Mar 01 2019 10:13:07 GMT-0600 (Central Standard Time)
A,192191,train,7,4,10,4 5 6 7 8 9 10 1 2 1 10,11,458 876 1592 1031 846 691 806 638 2222 235 1011,38 39 39 40 40 40 37 37 39 39 32,1 2 3 4 5 6 7 8 9 10,10406,1551456804.176,Fri Mar 01 2019 10:13:24 GMT-0600 (Central Standard Time)
A,192191,train,8,2,3,2 1 10 1 2 3,6,673 1016 2349 275 425 942 2938,39 39 37 37 37 38 32,1 2 3 4 6,8618,1551456818.801,Fri Mar 01 2019 10:13:38 GMT-0600 (Central Standard Time)
A,192191,train,9,5,7,5 4 3 2 1 10 9 8 7 6 7,11,514 685 756 884 494 791 556 606 1352 1752 1231,40 40 40 39 39 38 38 38 37 39 32,1 2 3 4 5 6 7 8 9 10,9621,1551456834.429,Fri Mar 01 2019 10:13:54 GMT-0600 (Central Standard Time)
A,192191,train,10,10,7,10 9 8 7,4,3627 971 606 2171,38 38 38 32,1 2 3,7375,1551456847.813,Fri Mar 01 2019 10:14:07 GMT-0600 (Central Standard Time)
A,192191,train,11,9,10,9 10,2,418 1029,40 32,1,1447,1551456855.269,Fri Mar 01 2019 10:14:15 GMT-0600 (Central Standard Time)
A,192191,train,12,8,3,8 7 6 5 4 3,6,406 470 796 953 789 680 3048,38 38 37 37 40 40 32,1 3 4 5 6,7142,1551456868.42,Fri Mar 01 2019 10:14:28 GMT-0600 (Central Standard Time)
A,192191,train,13,7,4,7 8 9 10 1 2 3 4,8,285 824 701 866 646 886 901 3362,40 40 40 37 37 38 38 32,1 2 3 4 5 6 7,8471,1551456882.9,Fri Mar 01 2019 10:14:42 GMT-0600 (Central Standard Time)
