group, subj_id, stage, trial, start, goal, path, length, RTs, keys, valid_keys, RT_tot, timestamp, datetime
A,140780,train,2,7,5,7 6 5,3,431 466 569,37 37 32,1 2,1466,1551487535.156,Fri Mar 01 2019 18:45:35 GMT-0600 (Central Standard Time)
A,140780,train,3,4,5,4 3 2 1 10 1 2 3 4 3 2 3 4 5,14,463 351 356 314 385 397 329 402 305 279 254 552 465 752 185 212 574 180 279 298 560,38 39 39 38 39 39 39 39 37 37 37 40 40 38 38 38 40 40 40 40 32,1 4 5 6 9 10 12 13 14 15 17 18 19,7892,1551487549.057,Fri Mar 01 2019 18:45:49 GMT-0600 (Central Standard Time)
A,140780,train,4,6,4,6 5 4,3,597 475 339 394,37 37 38 32,1 3,1805,1551487556.872,Fri Mar 01 2019 18:45:56 GMT-0600 (Central Standard Time)
A,140780,train,5,3,8,3 4 5 6 7 8,6,377 416 572 363 786 585,40 40 39 39 38 32,1 2 3 4 5,3099,1551487565.976,Fri Mar 01 2019 18:46:05 GMT-0600 (Central Standard Time)
A,140780,train,6,5,2,5 4 3 2,4,208 327 345 555,38 38 38 32,1 2 3,1435,1551487573.419,Fri Mar 01 2019 18:46:13 GMT-0600 (Central Standard Time)
A,140780,train,7,6,1,6 5 4 3 2 1,6,403 692 495 394 567 460,37 38 38 38 39 32,1 2 3 4 5,3011,1551487582.439,Fri Mar 01 2019 18:46:22 GMT-0600 (Central Standard Time)
A,140780,train,8,10,4,10 9 8 7 6 5 4,7,276 309 694 385 301 321 265 312 409,40 37 40 37 40 37 37 38 32,1 3 5 6 7 8,3272,1551487591.717,Fri Mar 01 2019 18:46:31 GMT-0600 (Central Standard Time)
A,140780,train,9,2,9,2 3 4 5 6 7 8 9,8,524 356 319 319 354 310 316 365 691,40 40 40 39 39 39 38 38 32,1 2 3 4 5 7 8,3554,1551487601.277,Fri Mar 01 2019 18:46:41 GMT-0600 (Central Standard Time)
A,140780,train,10,4,5,4 5,2,238 291,40 32,1,529,1551487607.813,Fri Mar 01 2019 18:46:47 GMT-0600 (Central Standard Time)
A,140780,train,11,4,5,4 5,2,284 372,40 32,1,656,1551487614.482,Fri Mar 01 2019 18:46:54 GMT-0600 (Central Standard Time)
A,140780,train,12,10,7,10 9 8 7,4,8988 214 298 612,40 40 40 32,1 2 3,10112,1551487630.601,Fri Mar 01 2019 18:47:10 GMT-0600 (Central Standard Time)
A,140780,train,13,8,3,8 9 10 1 2 3,6,396 351 545 292 335 338 466,38 38 37 37 37 40 32,1 2 3 4 6,2723,1551487639.332,Fri Mar 01 2019 18:47:19 GMT-0600 (Central Standard Time)
A,140780,train,14,3,4,3 4 5 4,4,368 238 303 199,40 40 38 32,1 2 3,1108,1551487646.45,Fri Mar 01 2019 18:47:26 GMT-0600 (Central Standard Time)
