group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,128887,train,105,114,105 104 103 102 101 3 8 13 18 23 28 33 38 43 48 110 111 112 113 114 115 114,22,1826 256 153 143 248 499 33 33 33 33 33 34 32 33 33 34 32 33 33 33 33 33 84 153 145 152 198 392 369,39 39 39 39 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 37 37 37 37 37 39 32,5146,1549943445.626,Mon Feb 11 2019 21:50:45 GMT-0600 (Central Standard Time)
A,128887,train,15,4,15 14 9 4,4,901 216 136 145,39 38 38 32,1398,1549943447.586,Mon Feb 11 2019 21:50:47 GMT-0600 (Central Standard Time)
A,128887,train,100,55,100 99 100 95 90 85 80 75 70 65 60 55,12,844 370 160 500 31 33 34 32 34 33 35 30 34 33 35 207,39 37 38 38 38 38 38 38 38 38 38 38 38 38 38 32,2445,1549943450.585,Mon Feb 11 2019 21:50:50 GMT-0600 (Central Standard Time)
A,128887,train,11,6,11 6,2,1597 737,38 32,2334,1549943453.473,Mon Feb 11 2019 21:50:53 GMT-0600 (Central Standard Time)
A,128887,train,43,33,43 38 33,3,1134 153 129,38 38 32,1416,1549943455.441,Mon Feb 11 2019 21:50:55 GMT-0600 (Central Standard Time)
A,128887,train,49,39,49 44 39,3,765 120 104,38 38 32,989,1549943456.984,Mon Feb 11 2019 21:50:56 GMT-0600 (Central Standard Time)
A,128887,train,49,37,49 44 39 38 37,5,732 143 208 136 136,38 38 39 39 32,1355,1549943458.896,Mon Feb 11 2019 21:50:58 GMT-0600 (Central Standard Time)
A,128887,train,11,24,11 12 13 14 19 24,6,661 160 136 120 155 174,37 37 37 40 40 32,1406,1549943460.857,Mon Feb 11 2019 21:51:00 GMT-0600 (Central Standard Time)
A,128887,train,18,4,18 19 14 9 4,5,588 296 128 136 129,37 38 38 38 32,1277,1549943462.689,Mon Feb 11 2019 21:51:02 GMT-0600 (Central Standard Time)
A,128887,train,11,9,11 12 13 14 9,5,636 129 151 184 184,37 37 37 38 32,1284,1549943464.529,Mon Feb 11 2019 21:51:04 GMT-0600 (Central Standard Time)
A,128887,train,16,3,16 17 18 13 8 3,6,558 127 185 129 143 128,37 37 38 38 38 32,1270,1549943466.354,Mon Feb 11 2019 21:51:06 GMT-0600 (Central Standard Time)
A,128887,train,43,39,43 44 39,3,836 354 126,37 38 32,1316,1549943468.224,Mon Feb 11 2019 21:51:08 GMT-0600 (Central Standard Time)
A,128887,train,49,33,49 44 39 38 33,5,531 161 223 184 145,38 38 39 38 32,1244,1549943470.025,Mon Feb 11 2019 21:51:10 GMT-0600 (Central Standard Time)
A,128887,train,19,10,19 14 9 10,4,869 151 121 159,38 38 37 32,1300,1549943471.88,Mon Feb 11 2019 21:51:11 GMT-0600 (Central Standard Time)
A,128887,train,20,6,20 19 18 17 16 11 6,7,735 160 144 160 208 144 136,39 39 39 39 38 38 32,1687,1549943474.12,Mon Feb 11 2019 21:51:14 GMT-0600 (Central Standard Time)
