group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,120159,train,1,9,1 9 8 7 6 5 4 3 2 1 9,11,4637 726 522 450 426 481 2071 274 272 276 249 377,37 38 38 39 39 40 40 40 40 37 37 32,10761,1543800557.474,Sun Dec 02 2018 17:29:17 GMT-0800 (Pacific Standard Time)
A,120159,train,3,5,3 2 1 9 8 7 6 5,8,49 161 135 240 136 125 300 171 191 150 311 381 310,40 40 40 37 37 37 37 38 38 38 39 39 32,2660,1543800566.139,Sun Dec 02 2018 17:29:26 GMT-0800 (Pacific Standard Time)
A,120159,train,8,7,8 7,2,123 191,38 32,314,1543800572.459,Sun Dec 02 2018 17:29:32 GMT-0800 (Pacific Standard Time)
A,120159,train,6,3,6 7 8 9 1 2 1 2 3,9,72 150 342 165 146 164 206 140 165 176 271 296 236 410,37 37 40 40 40 40 39 39 39 39 37 39 38 32,2939,1543800581.406,Sun Dec 02 2018 17:29:41 GMT-0800 (Pacific Standard Time)
A,120159,train,8,5,8 7 6 5,4,68 150 145 96 149 236,38 38 39 39 39 32,844,1543800588.257,Sun Dec 02 2018 17:29:48 GMT-0800 (Pacific Standard Time)
A,120159,train,1,7,1 9 8 7,4,26 141 190 111 416,37 37 38 38 32,884,1543800595.148,Sun Dec 02 2018 17:29:55 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 9 1 2 3 2 1 2 3 4 5 4 3 2 1 9 8 7 6 5 6,21,229 7 90 132 164 115 167 560 843 94 482 166 280 180 506 115 206 406 155 141 291 169 157 164 211 166 149 262 179 182 144 427,40 40 40 39 39 39 38 32 40 37 38 38 39 39 38 38 38 40 40 40 37 37 37 37 38 38 38 39 39 39 37 32,7539,1543800608.695,Sun Dec 02 2018 17:30:08 GMT-0800 (Pacific Standard Time)
A,120159,train,9,3,9 8 7 6 5 4 3,7,81 200 437 175 175 286 391 376,38 38 39 39 39 40 40 32,2121,1543800616.824,Sun Dec 02 2018 17:30:16 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,2795 256 181 175 281 291,38 38 39 39 37 32,3979,1543800626.808,Sun Dec 02 2018 17:30:26 GMT-0800 (Pacific Standard Time)
A,120159,train,3,4,3 4,2,6292 281,38 32,6573,1543800639.387,Sun Dec 02 2018 17:30:39 GMT-0800 (Pacific Standard Time)
A,120159,train,5,8,5 6 7 8 9 8,6,150 200 211 225 180 682 371,37 37 37 40 40 38 32,2019,1543800647.412,Sun Dec 02 2018 17:30:47 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6,3,2386 441 467,38 39 32,3294,1543800656.714,Sun Dec 02 2018 17:30:56 GMT-0800 (Pacific Standard Time)
A,120159,train,9,3,9 8 7 6 5 4 3,7,324 207 149 246 146 160 341 265 342,38 38 38 39 39 39 40 40 32,2180,1543800664.898,Sun Dec 02 2018 17:31:04 GMT-0800 (Pacific Standard Time)
A,120159,train,3,9,3 4 5 6 7 8 9 8 9,9,146 80 145 140 276 161 160 166 135 220 266 125,38 38 38 37 37 37 40 40 40 38 40 32,2020,1543800672.927,Sun Dec 02 2018 17:31:12 GMT-0800 (Pacific Standard Time)
A,120159,train,5,6,5 6,2,118 146,37 32,264,1543800679.197,Sun Dec 02 2018 17:31:19 GMT-0800 (Pacific Standard Time)
A,120159,train,7,5,7 6 5,3,7 95 156 431,39 39 39 32,689,1543800685.892,Sun Dec 02 2018 17:31:25 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,379 134 336 366,38 38 38 32,1215,1543800693.114,Sun Dec 02 2018 17:31:33 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6 7 6,7,109 141 110 255 166 145 166 145 336 190,38 38 38 39 39 39 37 37 39 32,1763,1543800700.882,Sun Dec 02 2018 17:31:40 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,126 137 135 175 140 296 245,38 38 38 39 39 37 32,1254,1543800708.144,Sun Dec 02 2018 17:31:48 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,264 75,37 32,339,1543800714.49,Sun Dec 02 2018 17:31:54 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,229 14,37 32,243,1543800720.739,Sun Dec 02 2018 17:32:00 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,39 131 135 90 266,38 38 38 38 32,661,1543800727.406,Sun Dec 02 2018 17:32:07 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,7 95 100 95,38 38 38 32,297,1543800733.71,Sun Dec 02 2018 17:32:13 GMT-0800 (Pacific Standard Time)
A,120159,train,7,5,7 6 5,3,51 136 125 105 141,39 39 39 39 32,558,1543800740.276,Sun Dec 02 2018 17:32:20 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,94 29,37 32,123,1543800746.405,Sun Dec 02 2018 17:32:26 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,161 141 101 330,38 38 38 32,733,1543800753.147,Sun Dec 02 2018 17:32:33 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,60 170 125 130 185 247 200,38 38 38 39 39 37 32,1117,1543800760.268,Sun Dec 02 2018 17:32:40 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,28 787 621,32 37 32,1436,1543800767.711,Sun Dec 02 2018 17:32:47 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,29 192 164 136 150 250,38 38 38 38 38 32,921,1543800774.637,Sun Dec 02 2018 17:32:54 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,153 160,37 32,313,1543800780.957,Sun Dec 02 2018 17:33:00 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 1 9 8 7 6 5,7,350 281 441 164 131 210 156 140 456,37 37 38 38 38 39 39 39 32,2329,1543800789.291,Sun Dec 02 2018 17:33:09 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,25782 176,37 32,25958,1543800821.257,Sun Dec 02 2018 17:33:41 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,148 140 121 150 150 141 185 377,38 38 38 39 39 39 37 32,1412,1543800828.675,Sun Dec 02 2018 17:33:48 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,95 126 110 407,38 38 38 32,738,1543800835.416,Sun Dec 02 2018 17:33:55 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,2573 309,37 32,2882,1543800844.305,Sun Dec 02 2018 17:34:04 GMT-0800 (Pacific Standard Time)
A,120159,train,6,7,6 7,2,112 325,37 32,437,1543800850.75,Sun Dec 02 2018 17:34:10 GMT-0800 (Pacific Standard Time)
A,120159,train,6,8,6 7 8 9 8,5,188 154 146 266 130 341 421,37 37 37 40 40 38 32,1646,1543800858.404,Sun Dec 02 2018 17:34:18 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,20 155 156 170 135 171 376,38 38 39 39 39 37 32,1183,1543800865.591,Sun Dec 02 2018 17:34:25 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,305 456,37 32,761,1543800872.361,Sun Dec 02 2018 17:34:32 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,144 151 139 177 229 207,38 38 39 39 37 32,1047,1543800879.414,Sun Dec 02 2018 17:34:39 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6,3,134 160 166 335,38 38 39 32,795,1543800886.215,Sun Dec 02 2018 17:34:46 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,85 135 361 215 396,38 38 38 39 32,1192,1543800893.416,Sun Dec 02 2018 17:34:53 GMT-0800 (Pacific Standard Time)
A,120159,train,3,8,3 4 5 6 7 8 9 8,8,65 141 150 196 160 160 281 155 191 196,38 38 38 37 37 37 40 40 38 32,1695,1543800901.12,Sun Dec 02 2018 17:35:01 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,152 307 181 255 210,38 39 39 37 32,1105,1543800908.232,Sun Dec 02 2018 17:35:08 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,86 145 316 526,38 38 38 32,1073,1543800915.313,Sun Dec 02 2018 17:35:15 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,81 146 145 130 291,38 38 38 38 32,793,1543800922.114,Sun Dec 02 2018 17:35:22 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,141 166 200 147 626 655 316,38 39 39 39 32 37 32,2251,1543800930.373,Sun Dec 02 2018 17:35:30 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6,3,78 146 181 350,38 38 39 32,755,1543800937.135,Sun Dec 02 2018 17:35:37 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,298 115,37 32,413,1543800943.555,Sun Dec 02 2018 17:35:43 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6,3,223 86 492,38 39 32,801,1543800950.361,Sun Dec 02 2018 17:35:50 GMT-0800 (Pacific Standard Time)
A,120159,train,2,1,2 1,2,193 9,37 32,202,1543800956.571,Sun Dec 02 2018 17:35:56 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,349 135,37 32,484,1543800963.061,Sun Dec 02 2018 17:36:03 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,1091 641,37 32,1732,1543800970.8,Sun Dec 02 2018 17:36:10 GMT-0800 (Pacific Standard Time)
A,120159,train,2,8,2 3 4 5 6 7 8,7,52 155 157 144 236 246 251 189 342,38 38 38 38 37 37 37 40 32,1772,1543800978.578,Sun Dec 02 2018 17:36:18 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,43 135 96 336,38 38 38 32,610,1543800985.193,Sun Dec 02 2018 17:36:25 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,130 100,37 32,230,1543800991.429,Sun Dec 02 2018 17:36:31 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,718 260 351 180 221,38 39 39 37 32,1730,1543800999.166,Sun Dec 02 2018 17:36:39 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6,3,582 145 141 370,38 38 39 32,1238,1543801006.539,Sun Dec 02 2018 17:36:46 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,73 134 137 376,38 38 38 32,720,1543801013.265,Sun Dec 02 2018 17:36:53 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,133 130 140 452,38 38 38 32,855,1543801020.127,Sun Dec 02 2018 17:37:00 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6 5 6,5,517 150 146 275 195 707 365,38 38 38 39 39 37 32,2355,1543801028.489,Sun Dec 02 2018 17:37:08 GMT-0800 (Pacific Standard Time)
A,120159,train,2,5,2 3 4 5,4,113 130 126 381,38 38 38 32,750,1543801035.246,Sun Dec 02 2018 17:37:15 GMT-0800 (Pacific Standard Time)
A,120159,train,7,8,7 8,2,108 240,40 32,348,1543801041.6,Sun Dec 02 2018 17:37:21 GMT-0800 (Pacific Standard Time)
A,120159,train,8,6,8 7 6,3,9 151 225 406,38 38 39 32,791,1543801048.397,Sun Dec 02 2018 17:37:28 GMT-0800 (Pacific Standard Time)
A,120159,train,1,9,1 9,2,123 236,37 32,359,1543801054.762,Sun Dec 02 2018 17:37:34 GMT-0800 (Pacific Standard Time)
