group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,155465,train,3,-1,3 4 3 2 1 10 9,7,4234 445 302 247 232 215 171,38 40 40 37 37 38 32,5846,223,1543522063.681,Thu Nov 29 2018 14:07:43 GMT-0600 (Central Standard Time)
A,155465,train,10,4,10 9 10 1 2 3 4,7,3099 188 1395 241 320 31 233 189 507 18 540 232 486 403 338 151 204 178,40 40 40 40 37 40 40 37 38 27 40 32 32 39 39 38 38 32,8753,40,1543522073.947,Thu Nov 29 2018 14:07:53 GMT-0600 (Central Standard Time)
A,155465,train,8,5,8 7 6 5,4,627 423 152 103,38 39 39 32,1305,40,1543522076.765,Thu Nov 29 2018 14:07:56 GMT-0600 (Central Standard Time)
A,155465,train,1,5,1 2 3 4 5,5,483 136 169 231 144 279,38 39 38 38 38 32,1442,40,1543522079.725,Thu Nov 29 2018 14:07:59 GMT-0600 (Central Standard Time)
A,155465,train,8,3,8 7 6 5 4 5 4 3,8,458 358 254 306 12 280 290 99,38 39 39 40 38 40 40 32,2057,118,1543522083.295,Thu Nov 29 2018 14:08:03 GMT-0600 (Central Standard Time)
A,155465,train,5,-1,5 6 7,3,882 325 208,37 37 32,1415,223,1543522086.229,Thu Nov 29 2018 14:08:06 GMT-0600 (Central Standard Time)
A,155465,train,6,-1,6 7 8 9,4,619 214 263 213,37 40 40 32,1309,223,1543522089.058,Thu Nov 29 2018 14:08:09 GMT-0600 (Central Standard Time)
A,155465,train,3,4,3 4,2,729 193,38 32,922,40,1543522091.495,Thu Nov 29 2018 14:08:11 GMT-0600 (Central Standard Time)
A,155465,train,5,7,5 6 7,3,1586 237 218 86,38 37 37 32,2127,223,1543522095.14,Thu Nov 29 2018 14:08:15 GMT-0600 (Central Standard Time)
A,155465,train,5,-1,5 6 7 8 9,5,533 528 156 249 118,37 37 40 40 32,1584,223,1543522098.241,Thu Nov 29 2018 14:08:18 GMT-0600 (Central Standard Time)
A,155465,train,4,6,4 5 6,3,572 277 120,38 37 32,969,40,1543522100.72,Thu Nov 29 2018 14:08:20 GMT-0600 (Central Standard Time)
A,155465,train,6,-1,6,1,918,32,918,40,1543522103.152,Thu Nov 29 2018 14:08:23 GMT-0600 (Central Standard Time)
A,155465,train,3,-1,3 4 3 2,4,1496 289 431 256 268,38 37 40 40 32,2740,216,1543522107.413,Thu Nov 29 2018 14:08:27 GMT-0600 (Central Standard Time)
A,155465,train,2,-1,2 1,2,4492 322,37 32,4814,216,1543522113.742,Thu Nov 29 2018 14:08:33 GMT-0600 (Central Standard Time)
A,155465,train,1,10,1 10,2,943 625,37 32,1568,72,1543522116.831,Thu Nov 29 2018 14:08:36 GMT-0600 (Central Standard Time)
A,155465,train,6,-1,6 7 8 9 10 1,6,759 292 279 316 230 141,37 40 40 40 39 32,2017,216,1543522120.359,Thu Nov 29 2018 14:08:40 GMT-0600 (Central Standard Time)
A,155465,train,4,-1,4 5 4 3 2,5,905 530 267 330 131,38 40 40 40 32,2163,216,1543522124.034,Thu Nov 29 2018 14:08:44 GMT-0600 (Central Standard Time)
A,155465,train,3,2,3 2,2,673 221,40 32,894,216,1543522126.441,Thu Nov 29 2018 14:08:46 GMT-0600 (Central Standard Time)
A,155465,train,6,-1,6 5 4 3,4,1268 162 252 203,39 40 40 32,1885,216,1543522129.837,Thu Nov 29 2018 14:08:49 GMT-0600 (Central Standard Time)
A,155465,train,6,-1,6 5 4 3 2,5,645 268 175 182 264 217,40 39 40 40 40 32,1751,216,1543522133.102,Thu Nov 29 2018 14:08:53 GMT-0600 (Central Standard Time)
A,155465,train,1,6,1 2 3 4 5 6,6,710 216 376 196 260 75,39 38 38 38 37 32,1833,11,1543522136.53,Thu Nov 29 2018 14:08:56 GMT-0600 (Central Standard Time)
A,155465,train,5,7,5 6 7,3,203 2095 1369 350 22981 1289 370 91 433 21 316 180 182 225 154,32 32 32 38 32 32 32 37 32 37 88 88 88 88 32,30259,72,1543522168.305,Thu Nov 29 2018 14:09:28 GMT-0600 (Central Standard Time)
A,155465,train,10,-1,10 9 8 7 6,5,3008 240 177 496 156,38 38 38 39 32,4077,264,1543522173.894,Thu Nov 29 2018 14:09:33 GMT-0600 (Central Standard Time)
A,155465,train,2,-1,2 3 4 5,4,816 167 233 207 169,39 38 38 38 32,1592,264,1543522177,Thu Nov 29 2018 14:09:37 GMT-0600 (Central Standard Time)
A,155465,train,3,10,3 4 5 6 7 8 9 10,8,607 179 140 597 509 807 628 574 380 181 223 171 220 26,38 38 32 32 32 88 37 40 37 40 40 40 88 32,5242,7,1543522183.757,Thu Nov 29 2018 14:09:43 GMT-0600 (Central Standard Time)
A,155465,train,2,-1,2,1,249,32,249,51,1543522185.521,Thu Nov 29 2018 14:09:45 GMT-0600 (Central Standard Time)
A,155465,train,4,-1,4 5,2,563 221 368 90,38 88 88 32,1242,264,1543522188.278,Thu Nov 29 2018 14:09:48 GMT-0600 (Central Standard Time)
A,155465,train,2,-1,2 3 4 5,4,573 169 401 127,38 38 38 32,1270,264,1543522191.062,Thu Nov 29 2018 14:09:51 GMT-0600 (Central Standard Time)
A,155465,train,3,7,3 4 5 6 7,5,536 301 603 374 157 5 297 115 365 241,38 32 32 37 38 32 37 32 37 32,2994,7,1543522195.571,Thu Nov 29 2018 14:09:55 GMT-0600 (Central Standard Time)
A,155465,train,3,-1,3 4 5,3,815 318 190,38 38 32,1323,264,1543522198.408,Thu Nov 29 2018 14:09:58 GMT-0600 (Central Standard Time)
A,155465,train,4,-1,4 5,2,1026 190,38 32,1216,264,1543522201.141,Thu Nov 29 2018 14:10:01 GMT-0600 (Central Standard Time)
A,155465,train,3,-1,3 4,2,423 191,38 32,614,264,1543522203.269,Thu Nov 29 2018 14:10:03 GMT-0600 (Central Standard Time)
A,155465,train,6,-1,6,1,580,32,580,264,1543522205.363,Thu Nov 29 2018 14:10:05 GMT-0600 (Central Standard Time)
A,155465,train,2,-1,2,1,477,32,477,69,1543522207.351,Thu Nov 29 2018 14:10:07 GMT-0600 (Central Standard Time)
A,155465,train,10,-1,10,1,479,32,479,169,1543522209.345,Thu Nov 29 2018 14:10:09 GMT-0600 (Central Standard Time)
A,155465,train,1,9,1 10 9,3,1124 239 236,37 38 32,1599,169,1543522212.458,Thu Nov 29 2018 14:10:12 GMT-0600 (Central Standard Time)
A,155465,train,2,3,2 3,2,592 276,38 32,868,69,1543522214.841,Thu Nov 29 2018 14:10:14 GMT-0600 (Central Standard Time)
A,155465,train,4,2,4 3 2,3,631 279 242 232,32 40 40 32,1384,69,1543522217.744,Thu Nov 29 2018 14:10:17 GMT-0600 (Central Standard Time)
A,155465,train,2,9,2 1 10 9,4,513 284 201 215,37 37 38 32,1213,169,1543522220.488,Thu Nov 29 2018 14:10:20 GMT-0600 (Central Standard Time)
A,155465,train,7,-1,7,1,635,32,635,169,1543522222.631,Thu Nov 29 2018 14:10:22 GMT-0600 (Central Standard Time)
A,155465,train,9,-1,9 8,2,566 236,38 32,802,169,1543522224.948,Thu Nov 29 2018 14:10:24 GMT-0600 (Central Standard Time)
A,155465,train,5,-1,5 6 7,3,608 248 340,37 37 32,1196,169,1543522227.655,Thu Nov 29 2018 14:10:27 GMT-0600 (Central Standard Time)
A,155465,train,6,-1,6 7 8 7 6 5 4,7,877 374 372 268 267 462 274,37 40 38 39 39 40 32,2894,184,1543522232.067,Thu Nov 29 2018 14:10:32 GMT-0600 (Central Standard Time)
A,155465,train,8,-1,8,1,182,32,182,79,1543522233.762,Thu Nov 29 2018 14:10:33 GMT-0600 (Central Standard Time)
A,155465,train,6,1,6 7 8 9 10 1,6,433 229 193 210 251 191 232,40 37 40 40 40 39 32,1739,86,1543522237.022,Thu Nov 29 2018 14:10:37 GMT-0600 (Central Standard Time)
A,155465,train,1,-1,1,1,2675,32,2675,86,1543522241.213,Thu Nov 29 2018 14:10:41 GMT-0600 (Central Standard Time)
A,155465,train,5,-1,5,1,574,32,574,184,1543522243.3,Thu Nov 29 2018 14:10:43 GMT-0600 (Central Standard Time)
A,155465,train,3,2,3 2,2,850 616 334,32 40 32,1800,86,1543522246.622,Thu Nov 29 2018 14:10:46 GMT-0600 (Central Standard Time)
A,155465,train,9,-1,9,1,610,32,610,79,1543522248.75,Thu Nov 29 2018 14:10:48 GMT-0600 (Central Standard Time)
A,155465,train,5,-1,5,1,854,32,854,184,1543522251.13,Thu Nov 29 2018 14:10:51 GMT-0600 (Central Standard Time)
A,155465,train,2,-1,2,1,592,32,592,86,1543522253.235,Thu Nov 29 2018 14:10:53 GMT-0600 (Central Standard Time)
A,155465,train,2,3,2 3,2,682 268,38 32,950,86,1543522255.707,Thu Nov 29 2018 14:10:55 GMT-0600 (Central Standard Time)
A,155465,train,2,-1,2,1,195,32,195,86,1543522257.417,Thu Nov 29 2018 14:10:57 GMT-0600 (Central Standard Time)
A,155465,train,10,2,10 1 2,3,829 328 194,39 39 32,1351,86,1543522260.281,Thu Nov 29 2018 14:11:00 GMT-0600 (Central Standard Time)
