group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,169054,train,6,-1,6,1,4257,32,4257,275,1552343311.582,Mon Mar 11 2019 17:28:31 GMT-0500 (Central Daylight Time)
A,169054,train,1,-1,1 2 3 4 5,5,878 411 208 199 384,39 38 38 38 32,2080,275,1552343315.183,Mon Mar 11 2019 17:28:35 GMT-0500 (Central Daylight Time)
A,169054,train,4,3,4 5 4 3,4,1007 542 444 334 280,39 38 40 40 32,2607,172,1552343319.337,Mon Mar 11 2019 17:28:39 GMT-0500 (Central Daylight Time)
A,169054,train,8,2,8 9 10 1 2,5,1066 401 280 241 257,40 40 39 39 32,2245,172,1552343323.102,Mon Mar 11 2019 17:28:43 GMT-0500 (Central Daylight Time)
A,169054,train,3,5,3 4 5,3,657 268 342 319,39 38 38 32,1586,275,1552343326.214,Mon Mar 11 2019 17:28:46 GMT-0500 (Central Daylight Time)
A,169054,train,3,-1,3 4,2,1315 1548,38 32,2863,275,1552343330.594,Mon Mar 11 2019 17:28:50 GMT-0500 (Central Daylight Time)
A,169054,train,8,-1,8 9 10 1,4,1855 286 716 626,40 40 39 32,3483,222,1552343335.596,Mon Mar 11 2019 17:28:55 GMT-0500 (Central Daylight Time)
A,169054,train,8,1,8 9 10 1,4,1585 274 277 288,40 40 39 32,2424,222,1552343339.548,Mon Mar 11 2019 17:28:59 GMT-0500 (Central Daylight Time)
A,169054,train,6,10,6 7 8 9 10,5,731 646 422 216 317 263,40 37 40 40 40 32,2595,96,1552343343.675,Mon Mar 11 2019 17:29:03 GMT-0500 (Central Daylight Time)
A,169054,train,4,-1,4 3,2,2260 921,40 32,3181,222,1552343348.388,Mon Mar 11 2019 17:29:08 GMT-0500 (Central Daylight Time)
A,169054,train,6,9,6 7 8 9,4,1251 438 278 301,37 40 40 32,2268,96,1552343352.172,Mon Mar 11 2019 17:29:12 GMT-0500 (Central Daylight Time)
A,169054,train,2,-1,2 3 2,3,8631 643 327,38 40 32,9601,222,1552343363.29,Mon Mar 11 2019 17:29:23 GMT-0500 (Central Daylight Time)
A,169054,train,8,-1,8 7 6,3,1403 416 737,38 39 32,2556,176,1552343367.371,Mon Mar 11 2019 17:29:27 GMT-0500 (Central Daylight Time)
A,169054,train,6,-1,6,1,2141,32,2141,176,1552343371.026,Mon Mar 11 2019 17:29:31 GMT-0500 (Central Daylight Time)
A,169054,train,6,-1,6,1,2225,32,2225,176,1552343374.768,Mon Mar 11 2019 17:29:34 GMT-0500 (Central Daylight Time)
A,169054,train,1,4,1 2 3 4,4,1021 366 236 309,39 38 38 32,1932,176,1552343378.221,Mon Mar 11 2019 17:29:38 GMT-0500 (Central Daylight Time)
A,169054,train,5,-1,5,1,1730,32,1730,176,1552343381.468,Mon Mar 11 2019 17:29:41 GMT-0500 (Central Daylight Time)
A,169054,train,4,10,4 3 2 1 10,5,1621 311 300 191 318,40 40 37 37 32,2741,14,1552343385.729,Mon Mar 11 2019 17:29:45 GMT-0500 (Central Daylight Time)
A,169054,train,5,10,5 4 3 2 1 10,6,737 267 287 294 205 267,40 40 40 37 37 32,2057,14,1552343389.316,Mon Mar 11 2019 17:29:49 GMT-0500 (Central Daylight Time)
A,169054,train,6,-1,6,1,2246,32,2246,176,1552343393.086,Mon Mar 11 2019 17:29:53 GMT-0500 (Central Daylight Time)
A,169054,train,6,7,6 7,2,1033 326,37 32,1359,14,1552343395.972,Mon Mar 11 2019 17:29:55 GMT-0500 (Central Daylight Time)
A,169054,train,4,1,4 3 2 1,4,1491 212 279 257 338,37 40 40 37 32,2577,3,1552343400.07,Mon Mar 11 2019 17:30:00 GMT-0500 (Central Daylight Time)
A,169054,train,2,-1,2 3 4,3,1357 245 535,38 38 32,2137,176,1552343403.746,Mon Mar 11 2019 17:30:03 GMT-0500 (Central Daylight Time)
A,169054,train,7,-1,7 6,2,1050 713,39 32,1763,176,1552343407.022,Mon Mar 11 2019 17:30:07 GMT-0500 (Central Daylight Time)
A,169054,train,4,8,4 5 6 7 8,5,1598 329 483 191 174 274 315,37 38 37 37 37 40 32,3364,14,1552343411.9,Mon Mar 11 2019 17:30:11 GMT-0500 (Central Daylight Time)
A,169054,train,9,-1,9 8 7 6,4,902 261 267 305,38 38 39 32,1735,176,1552343415.146,Mon Mar 11 2019 17:30:15 GMT-0500 (Central Daylight Time)
A,169054,train,3,1,3 2 1,3,1392 313 296,40 37 32,2001,3,1552343418.664,Mon Mar 11 2019 17:30:18 GMT-0500 (Central Daylight Time)
A,169054,train,8,9,8 9,2,734 307,40 32,1041,14,1552343421.219,Mon Mar 11 2019 17:30:21 GMT-0500 (Central Daylight Time)
A,169054,train,9,1,9 10 1,3,738 467 585,40 39 32,1790,3,1552343424.531,Mon Mar 11 2019 17:30:24 GMT-0500 (Central Daylight Time)
A,169054,train,7,-1,7 6,2,764 370,39 32,1134,176,1552343427.182,Mon Mar 11 2019 17:30:27 GMT-0500 (Central Daylight Time)
A,169054,train,7,-1,7 6,2,678 847,39 32,1525,176,1552343430.227,Mon Mar 11 2019 17:30:30 GMT-0500 (Central Daylight Time)
A,169054,train,5,7,5 6 7,3,1388 205 254,37 37 32,1847,14,1552343433.599,Mon Mar 11 2019 17:30:33 GMT-0500 (Central Daylight Time)
A,169054,train,2,10,2 1 10,3,852 181 186,37 37 32,1219,14,1552343436.343,Mon Mar 11 2019 17:30:36 GMT-0500 (Central Daylight Time)
A,169054,train,2,-1,2 3 4 5 6 7,6,1219 775 266 288 241 439,38 38 38 37 37 32,3228,219,1552343441.091,Mon Mar 11 2019 17:30:41 GMT-0500 (Central Daylight Time)
A,169054,train,7,-1,7,1,1519,32,1519,219,1552343444.123,Mon Mar 11 2019 17:30:44 GMT-0500 (Central Daylight Time)
A,169054,train,5,-1,5 6 7 8,4,794 203 285 292,37 37 40 32,1574,219,1552343447.216,Mon Mar 11 2019 17:30:47 GMT-0500 (Central Daylight Time)
A,169054,train,8,-1,8 7 6,3,2336 405 797,38 39 32,3538,254,1552343452.275,Mon Mar 11 2019 17:30:52 GMT-0500 (Central Daylight Time)
A,169054,train,10,-1,10 9 8 7 6 5,6,1360 325 438 291 469 299,38 38 38 39 39 32,3182,254,1552343456.975,Mon Mar 11 2019 17:30:56 GMT-0500 (Central Daylight Time)
A,169054,train,8,10,8 9 10,3,1021 303 346,40 40 32,1670,237,1552343460.166,Mon Mar 11 2019 17:31:00 GMT-0500 (Central Daylight Time)
A,169054,train,9,-1,9 8 7 6 5 4,6,931 273 266 262 276 397,38 38 39 39 40 32,2405,254,1552343464.088,Mon Mar 11 2019 17:31:04 GMT-0500 (Central Daylight Time)
A,169054,train,8,7,8 7,2,819 342,38 32,1161,237,1552343466.77,Mon Mar 11 2019 17:31:06 GMT-0500 (Central Daylight Time)
A,169054,train,2,4,2 3 4,3,1181 327 230 256,39 38 38 32,1994,254,1552343470.276,Mon Mar 11 2019 17:31:10 GMT-0500 (Central Daylight Time)
A,169054,train,7,-1,7 6 5,3,1008 337 288,39 39 32,1633,254,1552343473.425,Mon Mar 11 2019 17:31:13 GMT-0500 (Central Daylight Time)
A,169054,train,8,-1,8 7 6,3,664 294 455,38 39 32,1413,254,1552343476.354,Mon Mar 11 2019 17:31:16 GMT-0500 (Central Daylight Time)
A,169054,train,7,-1,7 6,2,1047 818,39 32,1865,254,1552343479.732,Mon Mar 11 2019 17:31:19 GMT-0500 (Central Daylight Time)
A,169054,train,1,-1,1 2 3 4,4,1015 428 509 478,39 38 38 32,2430,254,1552343483.684,Mon Mar 11 2019 17:31:23 GMT-0500 (Central Daylight Time)
A,169054,train,5,-1,5,1,1409,32,1409,254,1552343486.619,Mon Mar 11 2019 17:31:26 GMT-0500 (Central Daylight Time)
A,169054,train,2,-1,2 1 10,3,1613 426 1355,37 37 32,3394,213,1552343491.53,Mon Mar 11 2019 17:31:31 GMT-0500 (Central Daylight Time)
A,169054,train,9,-1,9,1,1884,32,1884,213,1552343494.934,Mon Mar 11 2019 17:31:34 GMT-0500 (Central Daylight Time)
A,169054,train,5,-1,5 6 7,3,956 314 282,37 37 32,1552,213,1552343498.004,Mon Mar 11 2019 17:31:38 GMT-0500 (Central Daylight Time)
A,169054,train,5,6,5 6,2,851 398,37 32,1249,137,1552343500.769,Mon Mar 11 2019 17:31:40 GMT-0500 (Central Daylight Time)
A,169054,train,2,8,2 1 10 9 8,5,943 449 244 222 278,37 37 38 38 32,2136,213,1552343504.424,Mon Mar 11 2019 17:31:44 GMT-0500 (Central Daylight Time)
A,169054,train,4,-1,4 5 6 7,4,1346 323 255 776,38 37 37 32,2700,213,1552343508.644,Mon Mar 11 2019 17:31:48 GMT-0500 (Central Daylight Time)
A,169054,train,3,-1,3 2 1 10,4,978 321 240 258,40 37 37 32,1797,213,1552343511.961,Mon Mar 11 2019 17:31:51 GMT-0500 (Central Daylight Time)
A,169054,train,6,7,6 7,2,797 411,37 32,1208,213,1552343514.689,Mon Mar 11 2019 17:31:54 GMT-0500 (Central Daylight Time)
A,169054,train,6,-1,6 7 8,3,789 933 381,37 40 32,2103,213,1552343518.311,Mon Mar 11 2019 17:31:58 GMT-0500 (Central Daylight Time)
A,169054,train,4,5,4 5,2,778 316,38 32,1094,137,1552343520.922,Mon Mar 11 2019 17:32:00 GMT-0500 (Central Daylight Time)
A,169054,train,5,-1,5 6 7 8,4,970 309 479 357,37 37 40 32,2115,213,1552343524.551,Mon Mar 11 2019 17:32:04 GMT-0500 (Central Daylight Time)
A,169054,train,3,-1,3 4 5 6 7,5,1133 297 273 212 381,38 38 37 37 32,2296,213,1552343528.368,Mon Mar 11 2019 17:32:08 GMT-0500 (Central Daylight Time)
A,169054,train,10,-1,10,1,1988,32,1988,213,1552343531.867,Mon Mar 11 2019 17:32:11 GMT-0500 (Central Daylight Time)
A,169054,train,8,4,8 7 6 5 4,5,832 288 203 479 342,38 39 39 40 32,2144,137,1552343535.527,Mon Mar 11 2019 17:32:15 GMT-0500 (Central Daylight Time)
A,169054,train,2,5,2 3 4 5,4,1033 257 301 291,38 38 38 32,1882,137,1552343538.923,Mon Mar 11 2019 17:32:18 GMT-0500 (Central Daylight Time)
A,169054,train,7,-1,7,1,3141,32,3141,213,1552343543.576,Mon Mar 11 2019 17:32:23 GMT-0500 (Central Daylight Time)
A,169054,train,10,8,10 9 8,3,1055 209 291,38 38 32,1555,213,1552343546.649,Mon Mar 11 2019 17:32:26 GMT-0500 (Central Daylight Time)
A,169054,train,4,-1,4 5 6 7,4,982 483 269 494,38 37 37 32,2228,257,1552343550.392,Mon Mar 11 2019 17:32:30 GMT-0500 (Central Daylight Time)
A,169054,train,4,-1,4 5 6 7 8,5,889 297 205 375 294,38 37 37 40 32,2060,257,1552343553.965,Mon Mar 11 2019 17:32:33 GMT-0500 (Central Daylight Time)
A,169054,train,2,-1,2 3 4 5 6 7,6,802 246 184 280 213 321,38 38 38 37 37 32,2046,257,1552343557.532,Mon Mar 11 2019 17:32:37 GMT-0500 (Central Daylight Time)
A,169054,train,3,-1,3,1,2635,32,2635,279,1552343561.686,Mon Mar 11 2019 17:32:41 GMT-0500 (Central Daylight Time)
