group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,186638,train,10,7,10 1 2 1 10 1 2 3 4 5 4 3 4 3 4 5 4 3 2 3 4 5 6 7,24,738 1359 711 508 228 802 567 471 307 1167 1304 888 385 418 446 208 736 734 713 953 829 1063 592 672 904 520 672 175 570 131 997,39 39 39 37 37 39 39 39 38 38 38 38 39 39 40 40 38 40 38 38 32 40 40 40 39 38 38 38 37 37 32,20768
A,186638,train,2,8,2 3 4 5 4 3 4 5 4 3 2 3 4 5 4 3 2 1 10 9 8,21,58 688 1407 776 786 606 329 216 562 285 328 257 160 640 952 1016 806 361 1143 455 1231 440 249 177 496 303 888 558 427 528 871,39 38 38 38 38 39 39 40 40 39 39 38 38 40 40 40 40 38 38 38 39 38 40 40 40 37 37 37 38 38 32,17999
A,186638,train,10,1,10 1,2,706 665 446 384 336 1202,37 37 37 37 39 32,3739
A,186638,train,10,7,10 1 2 1 10 1 2 1 10 9 10 9 8 7,14,836 856 1544 705 394 718 760 383 481 407 752 1039 681 551 431 1178 773 657 720 754,37 39 39 39 37 37 37 39 38 40 39 37 37 37 38 40 38 38 38 32,14620
A,186638,train,4,5,4 3 4 5,4,533 1063 455 729 518,40 38 38 38 32,3298
A,186638,train,10,7,10 9 8 7,4,864 656 608 887 795,40 38 38 38 32,3810
A,186638,train,4,6,4 3 2 3 4 3 2 1 10 9 8 7 6,13,3416 487 600 432 385 176 1854 497 584 200 255 960 544 374 1397 218 12042 22 1761,40 40 40 39 38 38 40 40 39 39 37 37 37 38 38 38 38 39 32,26204
A,186638,train,1,3,1 2 1 10 1 2 3,7,4769 1624 494 401 183 1048 425 199 576 769 958 393 1127,32 38 38 38 39 39 37 37 39 39 40 38 32,12966
A,186638,train,10,7,10 9 10 1 2 1 10 9 10 9 8 7,12,168 122 1554 707 345 928 982 417 1593 695 391 705 191 1056 257 1495 224 247 1489 288 1001 593 205 696,38 37 40 40 39 39 39 37 37 37 38 40 40 37 37 37 37 40 37 38 38 38 37 32,16349
A,186638,train,1,7,1 2 1 10 1 2 1 10 1 2 1 10 1 2 1 10 1 2 1 10 1 2 1 2 3 2 3 4 5 4 3 4 5 4 3 2 1 10 9 10 9 8 9 10 9 10 9 8 7,49,267 1326 528 342 201 903 353 152 585 1328 557 177 641 575 568 384 1768 319 153 656 1152 431 1954 674 308 207 536 488 182 689 202 206 351 145 271 185 207 167 201 233 479 215 345 192 254 209 904 953 1497 287 5575 776 1065 591 1351 419 718 672 212 236 441 143 856 312 200 218 184 1429 948 389 1569 1528 454 352 200 824 178 158 2839 2011 589 464 127 281 2064 560,32 40 38 38 39 39 37 37 39 39 37 37 37 40 39 39 39 37 37 39 39 37 37 37 39 39 39 37 37 37 39 40 40 40 38 38 40 40 39 39 39 37 40 40 39 38 40 39 39 38 38 38 40 40 38 39 38 38 38 40 40 40 40 39 39 37 38 37 37 38 40 40 37 38 38 40 40 40 38 40 40 37 38 38 38 32,56840
A,186638,train,1,6,1 2 1 10 1 2 1 10 1 2 3 2 3 4 5 6,16,488 310 410 198 216 151 712 1289 584 577 375 1376 694 473 512 585 272 1016 649 342 479 599 594 847 385 1065,40 39 39 39 37 37 39 39 39 40 37 37 37 39 39 39 38 40 40 38 38 38 38 39 37 32,15198
A,186638,train,1,3,1 2 1 2 3,5,904 693 520 433 584 375 881,40 39 39 37 39 38 32,4390
A,186638,train,10,7,10 9 10 1 2 1 10 1 2 1 10 1 2 1 2 1 10 1 2 1 10 1 2 1 10 9 10 9 10 9 10 9 10 9 10 1 2 1 2 1 10 1 2 1 10 1 2 3 2 1 10 9 8 7,54,683 2356 2320 496 832 705 503 504 1176 4193 526 2304 463 1314 649 382 352 1207 603 5190 1681 1262 190 138 1014 1352 537 1335 207 346 177 238 208 1240 219 2948 249 150 920 761 1217 2182 561 1187 206 1632 782 784 1007 762 488 169 230 225 1048 352 1089 385 215 1037 181 157 215 175 1289 297 886 1280 409 448 911 1107 349 392 216 224 864 1088 303 1562 704 438 819 893 296 432 800 952 512,40 38 40 39 39 39 37 37 39 38 39 39 37 37 37 40 39 39 39 37 39 37 37 37 39 39 37 37 37 37 37 39 39 40 40 39 37 37 40 38 40 37 38 40 40 38 40 38 40 38 40 40 39 39 39 37 38 38 39 40 40 40 37 37 37 39 39 40 39 37 37 37 40 40 40 39 39 39 38 40 40 37 37 37 40 38 38 38 32,75687
A,186638,train,4,6,4 5 6,3,510 832 506 330 749,38 38 39 37 32,2927
A,186638,train,1,3,1 2 3,3,60 409 431 528 440 321 1327 408 731,38 38 38 38 38 39 40 38 32,4655
A,186638,train,1,3,1 2 3,3,453 416 321 1248 360 624,38 40 39 40 38 32,3422
A,186638,train,4,6,4 3 2 3 4 5 6,7,851 792 447 487 209 2063 569 982 338 494,40 40 39 39 38 38 38 39 37 32,7232
A,186638,train,1,7,1 2 1 10 1 2 3 4 5 4 3 2 3 4 5 6 7 6 7,19,753 784 527 664 314 655 688 280 671 520 664 761 415 928 673 616 383 702 715 719 343 737 799 472 802,39 37 37 37 39 39 39 38 38 38 38 40 40 40 40 39 38 38 38 38 37 37 39 37 32,15585
A,186638,train,10,7,10 1 2 1 10 9 8 7 8 9 8 7,12,1108 987 1235 2640 849 990 352 1066 550 495 209 730 703 502 753 544 163 575,40 40 40 39 39 39 37 37 37 37 38 38 38 40 40 38 38 32,14451
A,186638,train,10,7,10 1 10 9 10 1 2 1 10 9 8 7,12,1729 1924 544 1743 641 338 551 1185 407 1592 1305 360 634 645 466,39 37 38 40 40 39 39 39 37 37 37 38 38 38 32,14064
A,186638,train,10,7,10 9 8 7,4,1880 545 167 560,38 38 38 32,3152
A,186638,train,1,3,1 2 3 2 3,5,416 281 184 320 14 914 1176 374 752 47075 206 257 721,38 38 38 39 32 38 39 37 40 40 40 38 32,52690
A,186638,train,1,3,1 10 1 2 3,5,269 440 840 520 312 202 526 800 313,40 40 37 37 39 39 39 38 32,4222
A,186638,train,1,3,1 10 9 8 7 6 5 4 3,9,1972 438 138 503 271 177 400 160 496 223 175 193 663 160 264 160 1240,38 38 37 37 38 38 38 38 37 37 39 39 38 38 40 40 32,7633
A,186638,train,1,3,1 10 9 8 7 8 7 8 7 8 9 10 1 10 9 10 9 8 7 6 7 8 9 10 1 2 3,27,227 354 367 456 328 345 223 337 744 353 158 456 536 480 393 335 840 584 992 652 396 304 304 336 456 432 521 559 690 469 393 328 216 177 167 256 663 1232 384 831 1474 367 449 343 304 96 720 184 377 207 208 432 498 383 559 184 336 184 236 175 429 176 241 151 520 667 149 449 791 1329 376,40 38 38 38 38 38 40 37 40 38 38 38 40 37 39 39 38 38 40 39 37 37 38 38 37 40 40 40 39 40 38 38 40 40 40 38 38 38 40 40 40 38 40 38 37 38 40 40 40 38 38 38 38 39 38 38 40 40 37 37 38 38 40 40 40 40 40 39 39 38 32,31268
A,186638,train,4,6,4 3 2 3 4 5 4 5 6,9,3243 1273 384 264 495 456 546 566 325 395 1112,40 40 38 38 38 38 40 38 39 37 32,9059
A,186638,train,1,3,1 2 1 2 3,5,57 560 376 409 248 554 274 318 279 280 215 225 249 326 529 495 418 319 625,40 40 38 38 38 40 40 40 40 38 38 38 38 39 39 37 39 38 32,6756
A,186638,train,2,3,2 3,2,503 594,38 32,1097
A,186638,train,4,6,4 5 4 5 6,5,804 978 775 412 881 560,38 40 38 39 37 32,4410
A,186638,train,4,6,4 5 6,3,279 289 336 665 326 319 504,39 37 38 38 39 37 32,2718
A,186638,train,5,1,5 6 7 8 9 10 9 8 7 8 9 8 7 6 5 6 7 8 9 10 9 8 9 10 1,25,1586 538 302 210 440 575 638 625 296 584 1137 3944 646 1400 576 697 791 1201 855 712 784 1009 502 1242 430 400 472 290 182 1530 881 724 440 216 760 528 951,38 38 38 38 37 37 38 40 40 40 38 38 38 37 38 40 40 38 38 39 39 37 37 38 37 38 38 40 40 40 38 38 40 40 37 39 32,29094
A,186638,train,10,7,10 9 10 9 8 7,6,7029 814 9219 510 158 744,38 40 38 38 38 32,18474
A,186638,train,1,3,1 2 3,3,1565 856 569 2982 808 232 1345 384 256,38 40 40 40 38 39 40 38 32,8997
A,186638,train,10,7,10 9 8 7,4,584 469 175 640 696,32 38 38 38 32,2564
A,186638,train,10,7,10 9 8 7,4,727 713 1072 519,38 38 38 32,3031
A,186638,train,10,7,10 9 8 7,4,5518 222 368 160 863,38 38 38 38 32,7131
A,186638,train,10,7,10 9 8 7,4,921 608 167 528,38 38 38 32,2224
A,186638,train,4,8,4 5 4 3 2 3 4 5 6 7 8,11,21 145 171 471 217 207 456 807 753 1184 713 174 225 160 160 561 1163 373 744 167 1458 344 383,38 38 38 38 38 38 38 40 40 40 40 40 38 38 38 38 39 37 37 37 38 40 32,11057
A,186638,train,5,1,5 6 7 8 9 10 1,7,1185 189 361 186 678 3368 378 506 245 639 920 160 184 143 153 649 151 464 192 986,38 38 38 38 18 38 38 37 40 37 38 38 38 40 40 40 40 40 39 32,11737
A,186638,train,4,6,4 5 6,3,3596 880 471 467,38 39 37 32,5414
A,186638,train,10,7,10 1 10 9 10 1 10 9 8 7,10,450 721 543 689 185 512 655 160 480 168 648 848 631 352,39 37 38 40 40 39 37 37 40 40 38 38 38 32,7042
A,186638,train,4,6,4 5 6,3,575 1598 537,38 37 32,2710
A,186638,train,4,6,4 5 6,3,6343 7 975,38 37 32,7325
A,186638,train,5,7,5 4 3 2 3 4 5 6 7,9,233 681 183 344 201 184 383 169 399 265 176 399 168 288 201 727,39 38 38 38 40 40 40 40 40 38 38 38 38 37 37 32,5001
A,186638,train,10,7,10 9 8 9 10 9 8 7 8 7,10,95 223 385 216 575 178 303 178 150 440 520 649,40 40 38 38 40 40 38 38 38 40 38 32,3912
A,186638,train,3,4,3 4 5 4,4,1424 248 2435 508,38 38 40 32,4615
A,186638,train,4,6,4 5 6,3,1612 1360 573,38 37 32,3545
A,186638,train,4,6,4 3 2 3 4 3 2 3 4 5 6,11,45 180 423 448 319 240 197 973 160 225 158 846 555 154 365 169 511 634 550 342 396,37 37 37 39 39 40 40 40 40 38 38 40 40 40 38 38 38 38 39 37 32,7890
A,186638,train,7,4,7 8 9 10 9 8 9 8 7 8 9 10 9 8 7 6 5 4,18,526 839 600 1400 392 183 2000 1904 215 913 327 184 593 696 312 888 1063 1050 433 750 1432 312 616,40 40 40 40 38 38 40 38 38 38 40 40 40 40 38 38 38 38 39 39 38 40 32,17628
A,186638,train,4,1,4 5 4 3 4 3 2 3 2 1,10,5204 2319 347 207 711 640 392 1207 284 589 344 416 1448,38 38 40 40 38 40 40 40 38 40 39 37 32,14108
A,186638,train,1,3,1 2 3,3,169 328 174 287 298 2093 462,38 40 40 38 39 38 32,3811
A,186638,train,9,6,9 8 9 10 9 10 1 2 3 4 3 2 3 4 3 4 5 6 5 6,20,131 1351 472 630 1128 367 185 295 720 666 222 510 672 889 175 794 601 215 209 352 430 528 385 720,38 40 40 38 40 40 40 39 39 38 38 40 40 38 38 40 38 38 38 37 39 39 37 32,12647
A,186638,train,10,7,10 9 8 7,4,106 1361 649 463,38 38 38 32,2579
