group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,105208,train,1,3,1 10 9 8 7 6 5 4 3,9,492 1089 631 825 1512 608 1103 649 1224,39 40 40 40 37 37 38 38 32,8133
A,105208,train,1,3,1 2 3,3,429 2168 1072,37 40 32,3669
A,105208,train,10,7,10 1 2 3 4 5 6 7,8,605 544 1360 800 713 2760 1695 809 639,37 37 40 40 32 40 39 39 32,9925
A,105208,train,10,7,10 1 2 3 4 5 6 7,8,501 608 1072 728 616 1159 601 752,37 37 40 40 40 39 39 32,6037
A,105208,train,1,3,1 10 9 8 7 6 5 4 3,9,573 856 504 839 913 904 1191 457 903,39 40 40 40 37 37 38 38 32,7140
A,105208,train,10,7,10 9 8 7 6 5 4 3 2 1 10 9 8 7,14,638 679 800 1032 1136 728 464 464 760 584 1024 544 560 744,40 40 40 37 37 38 38 38 39 39 40 40 40 32,10157
A,105208,train,1,3,1 2 3,3,908 1088 608,37 40 32,2604
A,105208,train,1,8,1 10 9 8,4,501 1447 608 440,39 40 40 32,2996
A,105208,train,1,3,1 2 3,3,404 801 439,37 40 32,1644
A,105208,train,10,7,10 9 8 7,4,436 680 513 688,40 40 40 32,2317
