group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,153028,train,10,7,10 9 8 7,4,3679 150 217 1223,38 38 38 32,5269,1542157116.427,Tue Nov 13 2018 16:58:36 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,1968 159 224 607,37 37 38 32,2958,1542157122.404,Tue Nov 13 2018 16:58:42 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,1476 144 169 569,38 38 39 32,2358,1542157127.78,Tue Nov 13 2018 16:58:47 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,1598 175 184 488,38 38 38 32,2445,1542157133.242,Tue Nov 13 2018 16:58:53 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,1182 191 241 457,37 37 38 32,2071,1542157138.329,Tue Nov 13 2018 16:58:58 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,1262 143 177 465,38 38 38 32,2047,1542157143.391,Tue Nov 13 2018 16:59:03 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,1242 309 424,37 38 32,1975,1542157148.383,Tue Nov 13 2018 16:59:08 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,1216 236 428,38 39 32,1880,1542157153.279,Tue Nov 13 2018 16:59:13 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,704 263 392,38 39 32,1359,1542157157.655,Tue Nov 13 2018 16:59:17 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,795 191 410,37 38 32,1396,1542157162.067,Tue Nov 13 2018 16:59:22 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,478 254 331,37 38 32,1063,1542157166.148,Tue Nov 13 2018 16:59:26 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,6718 423 904,37 38 32,8045,1542157177.211,Tue Nov 13 2018 16:59:37 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,1190 193 503,38 39 32,1886,1542157182.112,Tue Nov 13 2018 16:59:42 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,492 313 368,37 38 32,1173,1542157186.304,Tue Nov 13 2018 16:59:46 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,1122 224 167 176 408,39 38 38 38 32,2097,1542157191.418,Tue Nov 13 2018 16:59:51 GMT-0800 (Pacific Standard Time)
A,153028,train,3,10,3 2 1 10,4,1701 336 170 333,40 39 39 32,2540,1542157196.973,Tue Nov 13 2018 16:59:56 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,750 272 352,37 38 32,1374,1542157201.365,Tue Nov 13 2018 17:00:01 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,893 289 352,37 38 32,1534,1542157205.916,Tue Nov 13 2018 17:00:05 GMT-0800 (Pacific Standard Time)
A,153028,train,8,1,8 9 10 1,4,879 167 249 383,40 40 37 32,1678,1542157210.612,Tue Nov 13 2018 17:00:10 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,954 248 191 161 408,39 38 38 38 32,1962,1542157215.592,Tue Nov 13 2018 17:00:15 GMT-0800 (Pacific Standard Time)
A,153028,train,4,9,4 3 2 1 10 9,6,4187 158 321 207 233 408,40 40 39 39 38 32,5514,1542157224.128,Tue Nov 13 2018 17:00:24 GMT-0800 (Pacific Standard Time)
A,153028,train,10,5,10 1 2 3 4 5,6,1748 136 320 183 161 447,37 37 38 38 38 32,2995,1542157230.14,Tue Nov 13 2018 17:00:30 GMT-0800 (Pacific Standard Time)
A,153028,train,10,4,10 1 2 3 4,5,1412 151 272 184 447,37 37 38 38 32,2466,1542157235.623,Tue Nov 13 2018 17:00:35 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,1847 232 481,37 38 32,2560,1542157241.2,Tue Nov 13 2018 17:00:41 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,2163 135 152 449,38 38 38 32,2899,1542157247.115,Tue Nov 13 2018 17:00:47 GMT-0800 (Pacific Standard Time)
A,153028,train,4,2,4 3 2,3,1524 168 495,40 40 32,2187,1542157252.32,Tue Nov 13 2018 17:00:52 GMT-0800 (Pacific Standard Time)
A,153028,train,5,2,5 4 3 2,4,906 289 175 480,40 40 40 32,1850,1542157257.185,Tue Nov 13 2018 17:00:57 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,1166 112 160 528,38 38 38 32,1966,1542157262.167,Tue Nov 13 2018 17:01:02 GMT-0800 (Pacific Standard Time)
A,153028,train,10,8,10 9 8 7 8,5,1380 127 183 408 408,38 38 38 40 32,2506,1542157267.69,Tue Nov 13 2018 17:01:07 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,1061 217 455,37 38 32,1733,1542157272.437,Tue Nov 13 2018 17:01:12 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,846 209 433,38 39 32,1488,1542157276.94,Tue Nov 13 2018 17:01:16 GMT-0800 (Pacific Standard Time)
A,153028,train,3,1,3 2 1,3,1182 209 479,40 39 32,1870,1542157281.825,Tue Nov 13 2018 17:01:21 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,607 209 207 393,37 37 38 32,1416,1542157286.259,Tue Nov 13 2018 17:01:26 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,401 239 489,37 38 32,1129,1542157290.403,Tue Nov 13 2018 17:01:30 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,829 157 160 455,38 38 38 32,1601,1542157295.02,Tue Nov 13 2018 17:01:35 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,712 199 425,38 39 32,1336,1542157299.373,Tue Nov 13 2018 17:01:39 GMT-0800 (Pacific Standard Time)
A,153028,train,9,7,9 8 7,3,700 264 183 377,39 38 38 32,1524,1542157303.911,Tue Nov 13 2018 17:01:43 GMT-0800 (Pacific Standard Time)
A,153028,train,2,5,2 3 4 5,4,671 241 176 167 465,37 38 38 38 32,1720,1542157308.647,Tue Nov 13 2018 17:01:48 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,520 120 152 383,38 38 38 32,1175,1542157312.841,Tue Nov 13 2018 17:01:52 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,345 183 142 394,38 38 38 32,1064,1542157316.921,Tue Nov 13 2018 17:01:56 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,495 144 440,38 39 32,1079,1542157321.016,Tue Nov 13 2018 17:02:01 GMT-0800 (Pacific Standard Time)
A,153028,train,3,2,3 2,2,1280 448,40 32,1728,1542157325.761,Tue Nov 13 2018 17:02:05 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,551 176 152 401,38 38 38 32,1280,1542157330.057,Tue Nov 13 2018 17:02:10 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,382 161 448,38 39 32,991,1542157334.064,Tue Nov 13 2018 17:02:14 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,383 184 425,37 38 32,992,1542157338.073,Tue Nov 13 2018 17:02:18 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,339 134 433,37 38 32,906,1542157341.993,Tue Nov 13 2018 17:02:21 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,367 104 473,37 38 32,944,1542157345.953,Tue Nov 13 2018 17:02:25 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,313 143 417,38 39 32,873,1542157349.841,Tue Nov 13 2018 17:02:29 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,385 151 352,38 39 32,888,1542157353.744,Tue Nov 13 2018 17:02:33 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,370 136 135 425,38 38 38 32,1066,1542157357.826,Tue Nov 13 2018 17:02:37 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,328 176 151 418,38 38 38 32,1073,1542157361.914,Tue Nov 13 2018 17:02:41 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,400 191 352,37 38 32,943,1542157365.873,Tue Nov 13 2018 17:02:45 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,334 130 384,38 39 32,848,1542157369.737,Tue Nov 13 2018 17:02:49 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,376 105 359,38 39 32,840,1542157373.595,Tue Nov 13 2018 17:02:53 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,329 200 143 377,38 38 38 32,1049,1542157377.661,Tue Nov 13 2018 17:02:57 GMT-0800 (Pacific Standard Time)
A,153028,train,7,10,7 8 9 10,4,359 105 159 408,40 40 40 32,1031,1542157381.708,Tue Nov 13 2018 17:03:01 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,371 80 377,38 39 32,828,1542157385.552,Tue Nov 13 2018 17:03:05 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,431 70 385,38 39 32,886,1542157389.455,Tue Nov 13 2018 17:03:09 GMT-0800 (Pacific Standard Time)
A,153028,train,2,3,2 3,2,320 368,38 32,688,1542157393.159,Tue Nov 13 2018 17:03:13 GMT-0800 (Pacific Standard Time)
A,153028,train,6,4,6 5 4,3,342 185 351,37 40 32,878,1542157397.054,Tue Nov 13 2018 17:03:17 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,730 239 440,37 38 32,1409,1542157401.479,Tue Nov 13 2018 17:03:21 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,414 178 408,37 38 32,1000,1542157405.495,Tue Nov 13 2018 17:03:25 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,358 120 393,37 38 32,871,1542157409.383,Tue Nov 13 2018 17:03:29 GMT-0800 (Pacific Standard Time)
A,153028,train,3,2,3 2,2,479 351,40 32,830,1542157413.231,Tue Nov 13 2018 17:03:33 GMT-0800 (Pacific Standard Time)
A,153028,train,7,2,7 8 9 10 1 2,6,481 192 145 198 201 361,40 40 40 37 37 32,1578,1542157417.823,Tue Nov 13 2018 17:03:37 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,431 168 359,38 39 32,958,1542157421.798,Tue Nov 13 2018 17:03:41 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,438 102 360,38 39 32,900,1542157425.716,Tue Nov 13 2018 17:03:45 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,545 179 157 351,38 38 38 32,1232,1542157429.963,Tue Nov 13 2018 17:03:49 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,353 130 374,38 39 32,857,1542157433.835,Tue Nov 13 2018 17:03:53 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,537 174 160 409,38 38 38 32,1280,1542157438.132,Tue Nov 13 2018 17:03:58 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,535 176 144 336,38 38 38 32,1191,1542157442.34,Tue Nov 13 2018 17:04:02 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,352 688 512,38 39 32,1552,1542157446.908,Tue Nov 13 2018 17:04:06 GMT-0800 (Pacific Standard Time)
A,153028,train,3,8,3 4 5 6 7 8,6,1354 135 192 136 192 320 409,38 38 38 39 39 40 32,2738,1542157452.661,Tue Nov 13 2018 17:04:12 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,401 168 152 385,38 38 38 32,1106,1542157456.781,Tue Nov 13 2018 17:04:16 GMT-0800 (Pacific Standard Time)
A,153028,train,6,3,6 5 4 3 2 3,6,1018 239 168 161 439 352,37 40 40 40 38 32,2377,1542157462.174,Tue Nov 13 2018 17:04:22 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,369 192 336,38 39 32,897,1542157466.085,Tue Nov 13 2018 17:04:26 GMT-0800 (Pacific Standard Time)
A,153028,train,4,6,4 5 6,3,368 177 327,38 39 32,872,1542157469.974,Tue Nov 13 2018 17:04:29 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,481 183 152 353,38 38 38 32,1169,1542157474.158,Tue Nov 13 2018 17:04:34 GMT-0800 (Pacific Standard Time)
A,153028,train,1,3,1 2 3,3,1960 217 344,37 38 32,2521,1542157479.695,Tue Nov 13 2018 17:04:39 GMT-0800 (Pacific Standard Time)
A,153028,train,10,7,10 9 8 7,4,285 168 144 393,38 38 38 32,990,1542157483.704,Tue Nov 13 2018 17:04:43 GMT-0800 (Pacific Standard Time)
A,153028,test,6,1,6 5,2,1324,37,1324,1542157488.05,Tue Nov 13 2018 17:04:48 GMT-0800 (Pacific Standard Time)
