group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,112131,train,4,6,4 3 4 5 6,5,560 968 298 519 698 1081,37 39 39 40 38 32,4124
A,112131,train,6,2,6 5 4 5 6 7 8 7 6 5 4 5 6 7 6 7 8 9 10 9 8 7 6 5 4 3 2,27,788 454 320 617 345 437 432 802 821 440 277 381 691 794 896 255 646 1210 432 304 455 1225 823 585 228 212 217 655 465 832 432 745 903,40 40 37 39 39 38 38 37 39 39 40 40 37 39 39 38 38 40 38 37 37 37 37 39 39 39 39 40 40 37 37 37 32,19119
A,112131,train,10,7,10 9 8 7,4,432 415 376 523,39 39 39 32,1746
A,112131,train,10,7,10 9 8 7,4,636 423 354 446,39 39 39 32,1859
A,112131,train,4,6,4 5 6,3,318 343 545 490,39 39 38 32,1696
A,112131,train,7,9,7 6 5 4 3 2 1 10 9 8 7 6 5 4 3 2 1 10 9,19,649 632 779 641 428 665 429 715 319 593 343 376 1305 423 572 453 552 616 624 326 1120 461 485 736 783,40 40 37 37 37 38 38 39 39 39 39 32 40 40 40 37 37 37 37 38 38 38 39 40 32,15025
A,112131,train,1,3,1 2 3,3,752 392 295 521,40 40 39 32,1960
A,112131,train,2,9,2 3 4 5 6 7 6 5 4 3 2 1 10 1 2 3 4 5 6 7 8 9,22,531 463 497 582 486 758 296 720 829 409 479 404 885 886 409 319 511 580 919 871 857 2183 1823 898 680,39 39 39 38 38 40 40 37 37 37 38 38 38 40 40 40 37 39 39 39 38 38 37 37 32,18275
A,112131,train,1,3,1 2 3,3,178 418 335 506,40 40 39 32,1437
A,112131,train,10,7,10 9 8 7,4,891 623 354 528,39 39 39 32,2396
A,112131,train,10,7,10 9 8 7,4,73 440 329 423,39 39 39 32,1265
A,112131,train,4,6,4 5 6,3,379 281 415 503,39 39 38 32,1578
A,112131,train,4,6,4 5 6,3,477 334 424 504,39 39 38 32,1739
A,112131,train,10,7,10 1 2 3 4 5 6 7,8,446 333 711 433 448 673 434 652,40 40 39 39 39 38 38 32,4130
A,112131,train,1,3,1 2 3,3,408 471 253 489,40 40 39 32,1621
A,112131,train,10,8,10 9 8,3,466 456 615,39 39 32,1537
A,112131,train,2,1,2 3 4 5 6 7 6 5 4 3 2 1,12,345 476 766 850 728 649 246 528 928 536 391 521 424 665,39 39 39 38 38 40 40 37 37 38 37 37 38 32,8053
A,112131,train,10,1,10 9 8 7 6 5 6 7 8 9 10 1,12,1353 689 372 418 360 432 586 239 401 782 428 676 642,39 39 39 39 40 40 38 38 37 37 37 40 32,7378
A,112131,train,4,6,4 5 6,3,385 410 491 510,39 39 38 32,1796
A,112131,train,1,3,1 10 9 8 7 6 5 4 3 2 3,11,404 664 450 447 530 299 419 778 392 415 385 213,38 39 39 39 39 40 40 37 37 37 39 32,5396
A,112131,train,1,3,1 2 3,3,992 778 492,40 39 32,2262
A,112131,train,1,3,1 2 3,3,686 294 647 522,39 40 39 32,2149
A,112131,train,1,3,1 10 9 8 7 6 5 4 3 2 3,11,411 368 321 409 360 952 431 463 417 385 288 215,38 38 39 39 39 40 40 37 37 37 39 32,5020
A,112131,train,4,6,4 5 6,3,391 349 384 474,39 39 38 32,1598
