group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,101828,train,1,3,1 10 1 2 3,5,4189 246 197 158 224 221 214 503 30 29 31 30 31 32 31 31 29 31 30 31 30 29 29 31 31 29 31 30 30 30 30 33 27 31 29 31 32 28 617 498 30 33 31 27 34 30 30 222 592 1528 463 716 1085 529 755 1679,38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 39 39 39 39 39 39 39 39 39 39 39 38 38 37 37 37 40 32,15758
A,101828,train,10,9,10 1 2 3 4 5 6 7 8 9 10 9,12,2077 658 536 1678 1045 649 471 428 418 1315 441 391 420 1084 2110 491 1565 1417,37 37 37 37 38 40 40 40 40 39 39 39 39 38 38 38 40 32,17194
A,101828,train,10,7,10 9 8 7,4,4947 560 367 1505,40 40 40 32,7379
A,101828,train,5,1,5 6 7 6 5 4 3 2 1,9,680 511 449 586 625 910 421 363 539 433 498 1627 428 454 1034 452 343 853 279 1039 1036 422 609 1349,40 40 40 40 40 16 16 16 39 39 39 37 37 37 40 40 40 38 38 38 38 38 39 32,15940
A,101828,train,10,7,10 9 8 7,4,6846 1740 764 1684,40 40 40 32,11034
A,101828,train,6,3,6 7 8 9 10 1 2 3,8,3232 485 1157 1132 444 298 931 808 453 391 983 478 458 1051 1418,40 40 39 39 39 39 38 38 38 38 37 37 37 40 32,13719
A,101828,train,5,4,5 6 7 8 9 10 9 8 7 6 5 4,12,26255 989 459 1012 474 357 421 395 267 332 269 369 1170 430 380 409 1554 3038,39 39 39 38 38 38 38 38 40 40 40 40 37 37 37 37 38 32,38580
A,101828,train,10,7,10 9 8 7,4,855 664 368 1164 539 471 820 2491 384 1678,38 39 39 39 38 40 37 40 40 32,9434
A,101828,train,1,3,1 10 1 2 3,5,239 565 737 389 655 1076 404 833 1059 498 2229,38 38 39 39 39 37 37 37 38 40 32,8684
A,101828,train,1,3,1 10 1 2 3,5,3827 474 841 1572 968 360 365 797 402 411 706 614 360 445 839 1567,40 40 38 39 39 39 39 37 37 37 37 16 16 16 40 32,14548
A,101828,train,1,3,1 2 3,3,7140 652 1846 1151 2149,37 37 38 40 32,12938
A,101828,train,10,8,10 9 8,3,966 927 1508 1336 560 1769,38 38 39 40 40 32,7066
A,101828,train,1,3,1 2 3,3,2362 710 1304 2149,37 37 40 32,6525
A,101828,train,10,7,10 9 8 7,4,1064 2504 628 2289,40 40 40 32,6485
A,101828,train,2,8,2 3 4 5 6 7 8,7,544 542 557 474 1391 480 478 1018 3989,40 40 40 40 39 39 39 38 32,9473
A,101828,train,4,6,4 5 4 3 2 1 10 1 2 3 4 5 4 3 2 1 10 9 8 7 6,21,2238 1340 902 367 413 465 699 485 457 1203 325 289 694 320 377 394 928 300 324 338 375 886 333 378 1253 323 366 892 1305 1487,39 40 38 38 38 38 39 39 39 37 37 37 40 40 40 40 38 38 38 38 38 39 39 39 40 40 40 40 37 32,20456
A,101828,train,9,5,9 8 7 6 5,5,10273 680 449 1802 536 1473,40 40 40 37 37 32,15213
A,101828,train,1,3,1 2 3 4 5 4 3,7,5309 739 907 541 482 426 2295 796 1128 406 1110,37 37 40 40 40 40 37 40 38 38 32,14139
A,101828,train,2,6,2 3 2 1 10 9 8 7 8 9 10 1 2 1 10 9 8 7 8 9 10 1 2 1 10 9 8 7 8 9 10 1 2 1 10 1 2 3 4 5 6 7 6,43,4484 3384 473 1434 384 819 571 397 734 388 366 484 870 355 351 418 1499 425 389 978 362 345 704 327 318 448 545 320 325 385 868 352 363 352 806 286 263 205 183 208 737 301 296 349 336 849 308 312 368 848 320 364 1153 295 329 2054 330 933 322 385 764 340 349 383 786 316 3111 1176,40 38 38 37 37 39 39 39 40 40 40 40 38 38 38 38 37 37 37 39 39 39 40 40 40 40 38 38 38 38 37 37 37 37 39 39 39 39 39 39 40 40 40 40 40 38 38 38 38 37 37 37 39 39 39 38 38 37 37 37 40 40 40 40 39 39 37 32,45582
A,101828,train,4,6,4 3 2 1 10 1 2 3 4 5 6 7 6,13,155099 1658 619 1430 751 386 324 825 295 254 259 261 237 708 466 279 281 165 200 251 306 270 1091 2483,38 38 38 39 39 39 39 37 37 37 37 37 37 38 40 40 40 40 40 40 39 39 37 32,168898
