group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,187328,train,4,6,4 3 2 1 10 9 8 7 6,9,2311 1959 1058 694 686 725 707 619 1666,39 39 40 40 37 37 37 38 32,10425
A,187328,train,1,3,1 2 3,3,389 705 298,38 37 32,1392
A,187328,train,1,3,1 2 3,3,405 346 382,38 37 32,1133
A,187328,train,9,8,9 8,2,346 322,37 32,668
A,187328,train,1,3,1 2 3,3,371 551 279,38 37 32,1201
A,187328,train,1,3,1 2 3,3,375 378 236,38 37 32,989
A,187328,train,4,6,4 5 6,3,407 715 293,37 40 32,1415
A,187328,train,4,6,4 5 6,3,405 389 233,37 40 32,1027
A,187328,train,8,7,8 7,2,360 281,37 32,641
A,187328,train,7,6,7 6,2,384 349,38 32,733
A,187328,train,4,6,4 5 6,3,351 564 275,37 40 32,1190
A,187328,train,1,3,1 2 3,3,339 378 232,38 37 32,949
A,187328,train,4,6,4 5 6,3,265 572 259,37 40 32,1096
A,187328,train,4,6,4 5 6,3,3507 465 264,37 40 32,4236
A,187328,train,9,2,9 10 1 2,4,402 936 442 782,39 38 38 32,2562
A,187328,train,1,4,1 2 3 4,4,300 637 621 414,38 37 37 32,1972
A,187328,train,1,3,1 2 3,3,350 437 468,38 37 32,1255
A,187328,train,6,3,6 5 4 3,4,639 833 661 758,38 39 39 32,2891
A,187328,train,1,3,1 2 3,3,380 465 349,38 37 32,1194
A,187328,train,4,6,4 5 6,3,424 643 712,37 40 32,1779
A,187328,train,1,3,1 2 3,3,428 525 684,38 37 32,1637
A,187328,train,4,6,4 5 6,3,516 655 718,37 40 32,1889
A,187328,train,10,7,10 1 2 3 4 5 6 7,8,381 491 415 420 412 474 445 324,38 38 37 37 37 40 40 32,3362
A,187328,train,10,7,10 9 8 7,4,322 420 405 244,37 37 37 32,1391
A,187328,train,1,3,1 2 3,3,632 351 248,38 37 32,1231
A,187328,train,1,3,1 2 3,3,408 306 421,38 37 32,1135
A,187328,train,1,3,1 2 3,3,304 444 337,38 37 32,1085
A,187328,train,1,3,1 2 3,3,282 408 247,38 37 32,937
A,187328,train,6,7,6 7,2,250 308,40 32,558
