group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,153389,train,3,6,3 4 5 6,4,1859 984 456 393 223 384 2016 847 391,32 40 40 40 38 39 39 38 32,7553
A,153389,train,7,4,7 6 5 4,4,445 1360 935 440,40 40 37 32,3180
A,153389,train,1,3,1 2 3,3,491 801 351,40 39 32,1643
A,153389,train,1,3,1 2 3,3,465 616 384,40 39 32,1465
A,153389,train,10,2,10 1 2,3,403 670 441,40 40 32,1514
A,153389,train,10,7,10 9 8 7,4,529 897 936 328,39 39 39 32,2690
A,153389,train,4,6,4 5 6,3,406 704 319,39 38 32,1429
A,153389,train,1,3,1 2 3,3,378 641 352,40 39 32,1371
A,153389,train,1,3,1 2 3,3,357 278 297,40 39 32,932
A,153389,train,4,6,4 5 6,3,414 600 271,39 38 32,1285
A,153389,train,4,2,4 3 2,3,361 999 305,37 37 32,1665
A,153389,train,4,6,4 5 6,3,795 631 263,39 38 32,1689
A,153389,train,1,3,1 2 3,3,356 559 280,40 39 32,1195
A,153389,train,1,3,1 2 3,3,339 312 345,40 39 32,996
