group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,193691,train,8,5,8 7 6 5 4 5,6,2479 320 447 320 417 2120,39 39 40 40 38 32,6103,1542085920.229,Tue Nov 13 2018 13:12:00 GMT+0800 (Singapore Standard Time)
A,193691,train,1,4,1 2 3 4,4,1450 200 463 785,39 39 38 32,2898,1542085926.132,Tue Nov 13 2018 13:12:06 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,2707 511 265 439,38 37 37 32,3922,1542085933.06,Tue Nov 13 2018 13:12:13 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,2081 176 208 1160 217 184 368,40 40 40 38 38 38 32,4394,1542085940.46,Tue Nov 13 2018 13:12:20 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,1235 479 344 393,38 37 37 32,2451,1542085945.916,Tue Nov 13 2018 13:12:25 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,1856 424 200 280,38 37 37 32,2760,1542085951.684,Tue Nov 13 2018 13:12:31 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,1348 183 160 312,38 38 38 32,2003,1542085956.692,Tue Nov 13 2018 13:12:36 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,1056 257 175 312,38 37 37 32,1800,1542085961.501,Tue Nov 13 2018 13:12:41 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,850 256 193 280,38 37 37 32,1579,1542085966.085,Tue Nov 13 2018 13:12:46 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,857 457 176 231,38 37 37 32,1721,1542085970.812,Tue Nov 13 2018 13:12:50 GMT+0800 (Singapore Standard Time)
A,193691,train,1,10,1 12 11 10,4,1523 488 289 175 272,38 37 38 38 32,2747,1542085976.563,Tue Nov 13 2018 13:12:56 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,978 184 144 248,38 38 38 32,1554,1542085981.124,Tue Nov 13 2018 13:13:01 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,883 176 160 216,38 38 38 32,1435,1542085985.563,Tue Nov 13 2018 13:13:05 GMT+0800 (Singapore Standard Time)
A,193691,train,1,4,1 2 3 4,4,754 152 735 529 1472 167 336 249,17 189 187 189 39 39 38 32,4394,1542085992.964,Tue Nov 13 2018 13:13:12 GMT+0800 (Singapore Standard Time)
A,193691,train,1,4,1 2 3 4,4,690 160 312 289,39 39 38 32,1451,1542085997.42,Tue Nov 13 2018 13:13:17 GMT+0800 (Singapore Standard Time)
A,193691,train,11,10,11 10,2,785 240,38 32,1025,1542086001.451,Tue Nov 13 2018 13:13:21 GMT+0800 (Singapore Standard Time)
A,193691,train,10,1,10 11 12 1,4,227 1544 169 327 344,32 40 40 39 32,2611,1542086007.067,Tue Nov 13 2018 13:13:27 GMT+0800 (Singapore Standard Time)
A,193691,train,9,2,9 10 11 12 1 2,6,1740 84 161 424 160 248,40 40 40 39 39 32,2817,1542086012.892,Tue Nov 13 2018 13:13:32 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,962 168 160 176,38 38 38 32,1466,1542086017.364,Tue Nov 13 2018 13:13:37 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,755 184 154 214,38 38 38 32,1307,1542086021.675,Tue Nov 13 2018 13:13:41 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,10359 193 171 299,38 38 38 32,11022,1542086035.702,Tue Nov 13 2018 13:13:55 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,783 336 160 680,38 37 37 32,1959,1542086040.668,Tue Nov 13 2018 13:14:00 GMT+0800 (Singapore Standard Time)
A,193691,train,1,4,1 2 3 4,4,2195 207 248 408,39 39 38 32,3058,1542086046.732,Tue Nov 13 2018 13:14:06 GMT+0800 (Singapore Standard Time)
A,193691,train,2,5,2 3 4 5,4,984 432 337 160 176,38 39 38 38 32,2089,1542086051.828,Tue Nov 13 2018 13:14:11 GMT+0800 (Singapore Standard Time)
A,193691,train,5,8,5 6 7 8,4,883 200 177 257,38 37 37 32,1517,1542086056.349,Tue Nov 13 2018 13:14:16 GMT+0800 (Singapore Standard Time)
A,193691,train,1,4,1 2 3 4,4,838 169 304 264,39 39 38 32,1575,1542086060.932,Tue Nov 13 2018 13:14:20 GMT+0800 (Singapore Standard Time)
A,193691,train,12,9,12 11 10 9,4,875 167 153 143,38 38 38 32,1338,1542086065.276,Tue Nov 13 2018 13:14:25 GMT+0800 (Singapore Standard Time)
A,193691,train,1,4,1 2 3 4,4,707 168 391 209,39 39 38 32,1475,1542086069.757,Tue Nov 13 2018 13:14:29 GMT+0800 (Singapore Standard Time)
