group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,150773,train,10,8,10 9 8 9 10 11 10 9 8,9,630 2221 1224 474 713 1453 778 217 710 1072 775 496 2459 1306,39 13 38 39 13 37 40 40 38 13 38 39 13 32,14528,1541997609.638,Sun Nov 11 2018 22:40:09 GMT-0600 (Central Standard Time)
A,150773,train,12,9,12 11 10 9,4,478 211 159 281 853 472,38 38 38 38 13 32,2454,1541997618.109,Sun Nov 11 2018 22:40:18 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,518 202 176 330 774,39 39 39 40 32,2000,1541997626.126,Sun Nov 11 2018 22:40:26 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,387 204 471 356,39 39 38 32,1418,1541997633.558,Sun Nov 11 2018 22:40:33 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,292 217 170 706 325,39 39 39 38 32,1710,1541997641.281,Sun Nov 11 2018 22:40:41 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,275 211 514 469,39 39 38 32,1469,1541997648.765,Sun Nov 11 2018 22:40:48 GMT-0600 (Central Standard Time)
A,150773,train,12,9,12 11 10 9,4,47 242 153 175 692,38 38 38 38 32,1309,1541997656.086,Sun Nov 11 2018 22:40:56 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,128 375 381 279,39 39 38 32,1163,1541997663.263,Sun Nov 11 2018 22:41:03 GMT-0600 (Central Standard Time)
A,150773,train,10,7,10 9 8 7,4,321 480 232 248,38 39 39 32,1281,1541997670.559,Sun Nov 11 2018 22:41:10 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,227 98 461 463 326,32 39 39 38 32,1575,1541997678.15,Sun Nov 11 2018 22:41:18 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,375 281 384 311,39 39 40 32,1351,1541997685.515,Sun Nov 11 2018 22:41:25 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,84 387 418 329,39 39 40 32,1218,1541997692.75,Sun Nov 11 2018 22:41:32 GMT-0600 (Central Standard Time)
A,150773,train,1,3,1 2 3,3,194 418 307,39 39 32,919,1541997699.686,Sun Nov 11 2018 22:41:39 GMT-0600 (Central Standard Time)
A,150773,train,12,1,12 1,2,338 270,39 32,608,1541997706.31,Sun Nov 11 2018 22:41:46 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,9 285 138 373 283,39 39 39 40 32,1088,1541997713.414,Sun Nov 11 2018 22:41:53 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,121 246 459 454,39 39 40 32,1280,1541997720.709,Sun Nov 11 2018 22:42:00 GMT-0600 (Central Standard Time)
A,150773,train,9,4,9 8 7 6 5 4,6,1846 326 209 136 238 272 1438 348,38 39 39 39 39 40 40 32,4813,1541997731.535,Sun Nov 11 2018 22:42:11 GMT-0600 (Central Standard Time)
A,150773,train,12,3,12 1 2 3,4,118 212 145 103 569,39 39 39 39 32,1147,1541997738.696,Sun Nov 11 2018 22:42:18 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,213 127 174 877 413,39 39 39 38 32,1804,1541997746.511,Sun Nov 11 2018 22:42:26 GMT-0600 (Central Standard Time)
A,150773,train,11,6,11 10 9 8 7 6,6,304 178 180 350 213 352 715,38 38 38 39 39 39 32,2292,1541997754.823,Sun Nov 11 2018 22:42:34 GMT-0600 (Central Standard Time)
A,150773,train,12,9,12 11 10 9,4,117 331 168 534,38 38 38 32,1150,1541997761.989,Sun Nov 11 2018 22:42:41 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,66 213 409 604,39 39 40 32,1292,1541997769.296,Sun Nov 11 2018 22:42:49 GMT-0600 (Central Standard Time)
A,150773,train,12,9,12 11 10 9,4,195 311 232 1108,38 38 38 32,1846,1541997777.157,Sun Nov 11 2018 22:42:57 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,376 278 317 1028,39 39 40 32,1999,1541997785.172,Sun Nov 11 2018 22:43:05 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,242 369 319 849,39 39 38 32,1779,1541997792.969,Sun Nov 11 2018 22:43:12 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,454 197 475 583,39 39 38 32,1709,1541997800.69,Sun Nov 11 2018 22:43:20 GMT-0600 (Central Standard Time)
A,150773,train,8,5,8 7 6 5,4,303 206 356 962,39 39 40 32,1827,1541997808.53,Sun Nov 11 2018 22:43:28 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,351 208 461 474,39 39 38 32,1494,1541997816.046,Sun Nov 11 2018 22:43:36 GMT-0600 (Central Standard Time)
A,150773,train,1,4,1 2 3 4,4,265 365 291 491,39 39 38 32,1412,1541997823.472,Sun Nov 11 2018 22:43:43 GMT-0600 (Central Standard Time)
A,150773,train,12,9,12 11 10 9,4,451 161 161 689,38 38 38 32,1462,1541997830.947,Sun Nov 11 2018 22:43:50 GMT-0600 (Central Standard Time)
A,150773,train,12,9,12 11 10 9,4,300 177 155 564,38 38 38 32,1196,1541997838.155,Sun Nov 11 2018 22:43:58 GMT-0600 (Central Standard Time)
A,150773,train,8,3,8 7 6 5 4 3,6,232 205 165 251 211 149 155 485,39 39 39 40 40 40 40 32,1853,1541997846.022,Sun Nov 11 2018 22:44:06 GMT-0600 (Central Standard Time)
A,150773,train,6,4,6 5 4,3,15 313 650,40 40 32,978,1541997853.012,Sun Nov 11 2018 22:44:13 GMT-0600 (Central Standard Time)
