group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,116144,train,6,1,6 7 15 16 17 18 10 1,8,2813 1073 1117 354 577 1177 238 1386,39 39 40 40 40 37 37 32,8735,1550020851.458,Tue Feb 12 2019 20:20:51 GMT-0500 (Eastern Standard Time)
A,116144,train,11,12,11 12,2,4304 1123,38 32,5427,1550020859.936,Tue Feb 12 2019 20:20:59 GMT-0500 (Eastern Standard Time)
A,116144,train,2,3,2 3,2,2388 777,38 32,3165,1550020866.143,Tue Feb 12 2019 20:21:06 GMT-0500 (Eastern Standard Time)
A,116144,train,4,14,4 13 14,3,2335 1248 681,37 38 32,4264,1550020873.453,Tue Feb 12 2019 20:21:13 GMT-0500 (Eastern Standard Time)
A,116144,train,2,3,2 3,2,1750 632,38 32,2382,1550020878.878,Tue Feb 12 2019 20:21:18 GMT-0500 (Eastern Standard Time)
A,116144,train,13,5,13 4 5,3,2075 1020 857,39 38 32,3952,1550020885.885,Tue Feb 12 2019 20:21:25 GMT-0500 (Eastern Standard Time)
A,116144,train,11,12,11 12,2,1960 543,38 32,2503,1550020891.429,Tue Feb 12 2019 20:21:31 GMT-0500 (Eastern Standard Time)
A,116144,train,2,12,2 11 12,3,2089 415 1135,37 38 32,3639,1550020898.117,Tue Feb 12 2019 20:21:38 GMT-0500 (Eastern Standard Time)
A,116144,train,2,3,2 3,2,1452 488,38 32,1940,1550020903.101,Tue Feb 12 2019 20:21:43 GMT-0500 (Eastern Standard Time)
A,116144,train,11,12,11 12,2,1447 332,38 32,1779,1550020907.922,Tue Feb 12 2019 20:21:47 GMT-0500 (Eastern Standard Time)
A,116144,train,2,12,2 11 12,3,1291 447 480,37 38 32,2218,1550020913.18,Tue Feb 12 2019 20:21:53 GMT-0500 (Eastern Standard Time)
A,116144,train,18,7,18 17 16 15 7,5,2085 143 174 169 1121 1078,38 38 38 38 37 32,4770,1550020920.996,Tue Feb 12 2019 20:22:00 GMT-0500 (Eastern Standard Time)
A,116144,train,10,7,10 18 17 16 15 16 15 7,8,2329 1087 165 160 166 42590 1007 1073 944,39 38 38 38 38 40 38 37 32,49521,1550020973.556,Tue Feb 12 2019 20:22:53 GMT-0500 (Eastern Standard Time)
A,116144,train,10,7,10 18 17 16 15 7,6,2844 926 612 580 1178 1007,39 38 38 38 37 32,7147,1550020983.746,Tue Feb 12 2019 20:23:03 GMT-0500 (Eastern Standard Time)
A,116144,train,13,5,13 4 5,3,2388 838 706,39 38 32,3932,1550020990.715,Tue Feb 12 2019 20:23:10 GMT-0500 (Eastern Standard Time)
A,116144,train,10,15,10 18 17 16 15,5,2200 814 232 248 984,39 38 38 38 32,4478,1550020998.235,Tue Feb 12 2019 20:23:18 GMT-0500 (Eastern Standard Time)
A,116144,train,10,15,10 18 17 16 15,5,1465 712 208 494 626,39 38 38 38 32,3505,1550021004.778,Tue Feb 12 2019 20:23:24 GMT-0500 (Eastern Standard Time)
A,116144,train,18,7,18 17 16 15 7,5,2595 224 431 832 576,38 38 38 37 32,4658,1550021012.475,Tue Feb 12 2019 20:23:32 GMT-0500 (Eastern Standard Time)
A,116144,train,10,7,10 18 17 16 15 7,6,2100 711 216 455 1041 545,39 38 38 38 37 32,5068,1550021020.588,Tue Feb 12 2019 20:23:40 GMT-0500 (Eastern Standard Time)
A,116144,train,13,5,13 4 5,3,2042 505 679,39 38 32,3226,1550021026.899,Tue Feb 12 2019 20:23:46 GMT-0500 (Eastern Standard Time)
A,116144,train,10,7,10 9 8 7,4,2750 502 391 568,38 38 38 32,4211,1550021034.154,Tue Feb 12 2019 20:23:54 GMT-0500 (Eastern Standard Time)
A,116144,train,2,12,2 11 12,3,1704 378 648,37 38 32,2730,1550021039.922,Tue Feb 12 2019 20:23:59 GMT-0500 (Eastern Standard Time)
A,116144,train,6,15,6 7 15,3,2376 317 663,39 39 32,3356,1550021046.322,Tue Feb 12 2019 20:24:06 GMT-0500 (Eastern Standard Time)
A,116144,train,4,5,4 5,2,1752 727,38 32,2479,1550021051.847,Tue Feb 12 2019 20:24:11 GMT-0500 (Eastern Standard Time)
A,116144,train,10,7,10 18 17 16 15 7,6,12792 1078 352 336 894 602,39 38 38 38 37 32,16054,1550021070.945,Tue Feb 12 2019 20:24:30 GMT-0500 (Eastern Standard Time)
A,116144,train,10,7,10 9 8 7,4,1848 393 360 737,38 38 38 32,3338,1550021077.33,Tue Feb 12 2019 20:24:37 GMT-0500 (Eastern Standard Time)
A,116144,train,6,1,6 7 8 9 10 1,6,2499 861 241 200 871 858,39 40 40 40 37 32,5530,1550021085.906,Tue Feb 12 2019 20:24:45 GMT-0500 (Eastern Standard Time)
A,116144,train,18,7,18 17 16 15 7,5,1659 199 224 798 442,38 38 38 37 32,3322,1550021092.273,Tue Feb 12 2019 20:24:52 GMT-0500 (Eastern Standard Time)
A,116144,train,2,3,2 3,2,1574 756,38 32,2330,1550021097.647,Tue Feb 12 2019 20:24:57 GMT-0500 (Eastern Standard Time)
A,116144,train,18,15,18 17 16 15,4,1687 368 416 646,38 38 38 32,3117,1550021103.807,Tue Feb 12 2019 20:25:03 GMT-0500 (Eastern Standard Time)
A,116144,train,10,15,10 9 8 7 15,5,3065 343 335 713 733,38 38 38 39 32,5189,1550021112.038,Tue Feb 12 2019 20:25:12 GMT-0500 (Eastern Standard Time)
A,116144,train,13,5,13 14 5,3,8108 910 775,38 39 32,9793,1550021124.873,Tue Feb 12 2019 20:25:24 GMT-0500 (Eastern Standard Time)
A,116144,train,13,14,13 14,2,1997 665,38 32,2662,1550021130.575,Tue Feb 12 2019 20:25:30 GMT-0500 (Eastern Standard Time)
A,116144,train,13,5,13 14 5,3,1626 800 671,38 39 32,3097,1550021136.72,Tue Feb 12 2019 20:25:36 GMT-0500 (Eastern Standard Time)
