group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,149505,train,8,6,8 1 2 3 4 5 6,7,1478 559 698 860 810 414 1076,40 40 39 39 38 38 32,5895,1541109392.427,Thu Nov 01 2018 14:56:32 GMT-0700 (Pacific Daylight Time)
A,149505,train,4,5,4 5,2,445 390,38 32,835,1541109399.282,Thu Nov 01 2018 14:56:39 GMT-0700 (Pacific Daylight Time)
A,149505,train,5,8,5 6 7 8,4,427 715 460 397,38 37 37 32,1999,1541109407.305,Thu Nov 01 2018 14:56:47 GMT-0700 (Pacific Daylight Time)
A,149505,train,4,5,4 5,2,426 426,38 32,852,1541109414.184,Thu Nov 01 2018 14:56:54 GMT-0700 (Pacific Daylight Time)
A,149505,train,4,8,4 3 2 1 8,5,554 602 814 494 578,37 37 38 38 32,3042,1541109423.251,Thu Nov 01 2018 14:57:03 GMT-0700 (Pacific Daylight Time)
A,149505,train,8,6,8 7 6,3,362 530 474,39 39 32,1366,1541109430.635,Thu Nov 01 2018 14:57:10 GMT-0700 (Pacific Daylight Time)
A,149505,train,4,5,4 5,2,461 386,38 32,847,1541109437.499,Thu Nov 01 2018 14:57:17 GMT-0700 (Pacific Daylight Time)
A,149505,train,4,5,4 5,2,508 439,38 32,947,1541109444.464,Thu Nov 01 2018 14:57:24 GMT-0700 (Pacific Daylight Time)
A,149505,train,8,7,8 7,2,451 433,39 32,884,1541109451.367,Thu Nov 01 2018 14:57:31 GMT-0700 (Pacific Daylight Time)
A,149505,train,4,5,4 5,2,728 513,38 32,1241,1541109458.629,Thu Nov 01 2018 14:57:38 GMT-0700 (Pacific Daylight Time)
A,149505,train,1,3,1 8 7 6 5 4 3,7,570 824 806 947 688 625 555,38 39 39 40 40 37 32,5015,1541109469.667,Thu Nov 01 2018 14:57:49 GMT-0700 (Pacific Daylight Time)
A,149505,train,1,3,1 2 3,3,465 584 653,40 39 32,1702,1541109477.382,Thu Nov 01 2018 14:57:57 GMT-0700 (Pacific Daylight Time)
