group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,145125,train,7,8,7 8,2,338 329,39 32,667,1541168714.797,Fri Nov 02 2018 10:25:14 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,7,6 7,2,350 283,39 32,633,1541168721.507,Fri Nov 02 2018 10:25:21 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,7,6 7,2,11 524,39 32,535,1541168728.171,Fri Nov 02 2018 10:25:28 GMT-0400 (Eastern Daylight Time)
A,145125,train,7,8,7 8,2,514 328,39 32,842,1541168735.122,Fri Nov 02 2018 10:25:35 GMT-0400 (Eastern Daylight Time)
A,145125,train,2,6,2 1 8 1 2 3 4 5 6,9,889 790 1472 638 484 828 1124 368 699 919,40 40 38 38 37 37 37 40 40 32,8211,1541168749.413,Fri Nov 02 2018 10:25:49 GMT-0400 (Eastern Daylight Time)
A,145125,train,8,2,8 1 2,3,526 678 262,38 38 32,1466,1541168756.953,Fri Nov 02 2018 10:25:56 GMT-0400 (Eastern Daylight Time)
A,145125,train,7,6,7 6,2,575 580,37 32,1155,1541168764.165,Fri Nov 02 2018 10:26:04 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,4,6 5 4,3,417 502 286,38 38 32,1205,1541168771.462,Fri Nov 02 2018 10:26:11 GMT-0400 (Eastern Daylight Time)
A,145125,train,8,7,8 7,2,345 330,37 32,675,1541168778.235,Fri Nov 02 2018 10:26:18 GMT-0400 (Eastern Daylight Time)
A,145125,train,4,5,4 5,2,375 325,40 32,700,1541168785.038,Fri Nov 02 2018 10:26:25 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,7,6 7,2,460 258,39 32,718,1541168791.839,Fri Nov 02 2018 10:26:31 GMT-0400 (Eastern Daylight Time)
A,145125,train,8,6,8 7 6,3,341 798 451,37 37 32,1590,1541168799.507,Fri Nov 02 2018 10:26:39 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,7,6 7,2,553 244,39 32,797,1541168806.391,Fri Nov 02 2018 10:26:46 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,7,6 7,2,282 158,39 32,440,1541168812.883,Fri Nov 02 2018 10:26:52 GMT-0400 (Eastern Daylight Time)
A,145125,train,5,1,5 6 7 8 1,5,305 876 678 965 209,40 39 39 38 32,3033,1541168822.055,Fri Nov 02 2018 10:27:02 GMT-0400 (Eastern Daylight Time)
A,145125,train,5,6,5 6,2,374 289,40 32,663,1541168828.846,Fri Nov 02 2018 10:27:08 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,7,6 7,2,289 181,39 32,470,1541168835.398,Fri Nov 02 2018 10:27:15 GMT-0400 (Eastern Daylight Time)
A,145125,train,8,7,8 7,2,294 258,37 32,552,1541168842.029,Fri Nov 02 2018 10:27:22 GMT-0400 (Eastern Daylight Time)
A,145125,train,1,3,1 2 3,3,697 717 266,38 37 32,1680,1541168849.799,Fri Nov 02 2018 10:27:29 GMT-0400 (Eastern Daylight Time)
A,145125,train,7,8,7 8,2,380 216,39 32,596,1541168856.483,Fri Nov 02 2018 10:27:36 GMT-0400 (Eastern Daylight Time)
A,145125,train,7,6,7 6,2,296 239,37 32,535,1541168863.08,Fri Nov 02 2018 10:27:43 GMT-0400 (Eastern Daylight Time)
A,145125,train,3,2,3 2,2,323 359 377,32 39 32,1059,1541168870.222,Fri Nov 02 2018 10:27:50 GMT-0400 (Eastern Daylight Time)
A,145125,train,4,5,4 5,2,355 214,40 32,569,1541168876.899,Fri Nov 02 2018 10:27:56 GMT-0400 (Eastern Daylight Time)
A,145125,train,4,5,4 5,2,743 383 344,32 40 32,1470,1541168884.424,Fri Nov 02 2018 10:28:04 GMT-0400 (Eastern Daylight Time)
A,145125,train,6,7,6 7,2,1245 360,39 32,1605,1541168892.09,Fri Nov 02 2018 10:28:12 GMT-0400 (Eastern Daylight Time)
