group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,128983,train,2,4,2 1 9 1 9 8 7 8 9 8 9 1 2 3 4,15,209 419 474 575 534 225 352 494 1179 697 637 233 341 126 211 218 364 331 478 839 326,38 38 38 40 38 39 39 39 37 37 37 39 40 40 37 40 40 40 39 39 32,9262,1541805828.883,Fri Nov 09 2018 18:23:48 GMT-0500 (Eastern Standard Time)
A,128983,train,8,1,8 9 1,3,2248 1302 285,37 40 32,3835,1541805838.776,Fri Nov 09 2018 18:23:58 GMT-0500 (Eastern Standard Time)
A,128983,train,3,9,3 4 5 4 3 2 1 9,8,589 1271 762 546 549 547 1070 544 259,39 39 39 37 37 37 38 38 32,6137,1541805850.968,Fri Nov 09 2018 18:24:10 GMT-0500 (Eastern Standard Time)
A,128983,train,1,8,1 9 8,3,329 533 541 300,38 38 39 32,1703,1541805858.754,Fri Nov 09 2018 18:24:18 GMT-0500 (Eastern Standard Time)
A,128983,train,6,1,6 7 6 7 8 9 1,7,417 886 571 405 301 357 609 1240 277,38 38 40 37 38 37 37 40 32,5063,1541805869.902,Fri Nov 09 2018 18:24:29 GMT-0500 (Eastern Standard Time)
A,128983,train,7,3,7 8 9 1 2 3,6,44 887 1387 580 500 188 317,37 37 40 40 40 39 32,3903,1541805879.859,Fri Nov 09 2018 18:24:39 GMT-0500 (Eastern Standard Time)
A,128983,train,1,2,1 9 1 2,4,1715 1544 377 271,38 40 40 32,3907,1541805889.844,Fri Nov 09 2018 18:24:49 GMT-0500 (Eastern Standard Time)
A,128983,train,9,3,9 8 7 8 9 1 2 3,8,2368 898 703 345 217 281 287 623 316,39 39 39 37 37 40 40 39 32,6038,1541805901.983,Fri Nov 09 2018 18:25:01 GMT-0500 (Eastern Standard Time)
A,128983,train,2,4,2 1 9 8 7 8 9 1 2 1 9 8 7 8 9 1 2 1 9 8 9 1 2 3 4,25,901 656 981 641 1344 345 427 313 362 557 513 408 748 494 405 1174 338 441 216 463 291 626 185 238 238 244 325 753 411 287 1118 718 6136 685 412,38 38 39 39 37 37 40 40 40 38 39 38 39 39 39 37 37 37 40 40 40 38 38 38 38 38 39 37 37 40 40 39 32 39 32,24394,1541805932.512,Fri Nov 09 2018 18:25:32 GMT-0500 (Eastern Standard Time)
A,128983,train,9,4,9 8 7 6 5 4,6,255 542 241 447 543 364 296 382,39 39 39 40 40 40 37 32,3070,1541805941.672,Fri Nov 09 2018 18:25:41 GMT-0500 (Eastern Standard Time)
A,128983,train,9,4,9 1 2 3 4,5,172 271 290 243 173 633 196,40 40 40 40 39 39 32,1978,1541805949.72,Fri Nov 09 2018 18:25:49 GMT-0500 (Eastern Standard Time)
A,128983,train,6,4,6 5 4,3,776 328 759 262,40 40 37 32,2125,1541805957.919,Fri Nov 09 2018 18:25:57 GMT-0500 (Eastern Standard Time)
A,128983,train,1,3,1 2 3,3,188 672 377,40 39 32,1237,1541805965.22,Fri Nov 09 2018 18:26:05 GMT-0500 (Eastern Standard Time)
A,128983,train,1,2,1 2,2,358 200,40 32,558,1541805971.846,Fri Nov 09 2018 18:26:11 GMT-0500 (Eastern Standard Time)
A,128983,train,6,7,6 7,2,370 264,38 32,634,1541805978.536,Fri Nov 09 2018 18:26:18 GMT-0500 (Eastern Standard Time)
A,128983,train,6,1,6 5 4 3 2 1,6,182 939 534 678 470 659 301 281,40 40 37 37 37 37 38 32,4044,1541805988.665,Fri Nov 09 2018 18:26:28 GMT-0500 (Eastern Standard Time)
A,128983,train,3,4,3 4,2,621 299,39 32,920,1541805995.67,Fri Nov 09 2018 18:26:35 GMT-0500 (Eastern Standard Time)
A,128983,train,4,5,4 5,2,140 280,39 32,420,1541806002.156,Fri Nov 09 2018 18:26:42 GMT-0500 (Eastern Standard Time)
A,128983,train,5,7,5 6 7,3,331 504 201,38 38 32,1036,1541806009.28,Fri Nov 09 2018 18:26:49 GMT-0500 (Eastern Standard Time)
A,128983,train,7,2,7 8 9 1 2,5,185 796 621 672 406 427,37 37 37 40 40 32,3107,1541806018.46,Fri Nov 09 2018 18:26:58 GMT-0500 (Eastern Standard Time)
A,128983,train,7,6,7 6,2,201 169,40 32,370,1541806024.904,Fri Nov 09 2018 18:27:04 GMT-0500 (Eastern Standard Time)
A,128983,train,6,1,6 7 8 9 1,5,244 921 504 726 480 413 253,38 38 37 37 37 40 32,3541,1541806034.542,Fri Nov 09 2018 18:27:14 GMT-0500 (Eastern Standard Time)
A,128983,train,9,3,9 1 2 3,4,65 386 393 254 310,40 40 40 39 32,1408,1541806042.017,Fri Nov 09 2018 18:27:22 GMT-0500 (Eastern Standard Time)
A,128983,train,6,1,6 5 4 3 2 1,6,436 1164 883 520 725 308,40 37 37 37 38 32,4036,1541806052.151,Fri Nov 09 2018 18:27:32 GMT-0500 (Eastern Standard Time)
A,128983,train,2,4,2 1 9 8 7 6 5 4,8,1146 526 529 444 358 645 313 344 364 300,38 38 39 39 39 40 40 40 37 32,4969,1541806063.188,Fri Nov 09 2018 18:27:43 GMT-0500 (Eastern Standard Time)
A,128983,train,7,3,7 8 9 1 2 3,6,458 846 448 271 277 404 257 503,37 37 37 40 40 40 39 32,3464,1541806072.702,Fri Nov 09 2018 18:27:52 GMT-0500 (Eastern Standard Time)
A,128983,train,8,9,8 9,2,264 261,37 32,525,1541806079.291,Fri Nov 09 2018 18:27:59 GMT-0500 (Eastern Standard Time)
A,128983,train,8,6,8 7 6,3,2004 680 210,39 40 32,2894,1541806088.24,Fri Nov 09 2018 18:28:08 GMT-0500 (Eastern Standard Time)
A,128983,train,6,7,6 7,2,297 543,38 32,840,1541806095.136,Fri Nov 09 2018 18:28:15 GMT-0500 (Eastern Standard Time)
A,128983,train,7,5,7 6 5,3,283 446 204,40 40 32,933,1541806102.153,Fri Nov 09 2018 18:28:22 GMT-0500 (Eastern Standard Time)
A,128983,train,8,3,8 9 1 2 3,5,369 1468 399 375 216 484,37 40 40 40 39 32,3311,1541806111.519,Fri Nov 09 2018 18:28:31 GMT-0500 (Eastern Standard Time)
A,128983,train,7,8,7 8,2,1656 160,37 32,1816,1541806119.395,Fri Nov 09 2018 18:28:39 GMT-0500 (Eastern Standard Time)
A,128983,train,2,5,2 3 4 5,4,312 436 406 557,39 39 39 32,1711,1541806127.188,Fri Nov 09 2018 18:28:47 GMT-0500 (Eastern Standard Time)
A,128983,train,5,7,5 6 7,3,700 617 207,38 38 32,1524,1541806134.782,Fri Nov 09 2018 18:28:54 GMT-0500 (Eastern Standard Time)
A,128983,train,4,3,4 3,2,642 413,37 32,1055,1541806141.9,Fri Nov 09 2018 18:29:01 GMT-0500 (Eastern Standard Time)
A,128983,train,7,4,7 6 5 4,4,216 759 673 549,40 40 37 32,2197,1541806150.145,Fri Nov 09 2018 18:29:10 GMT-0500 (Eastern Standard Time)
A,128983,train,6,2,6 5 4 3 2,5,401 707 570 784 374 321,40 40 37 37 37 32,3157,1541806159.43,Fri Nov 09 2018 18:29:19 GMT-0500 (Eastern Standard Time)
A,128983,train,7,6,7 6,2,432 273,40 32,705,1541806166.205,Fri Nov 09 2018 18:29:26 GMT-0500 (Eastern Standard Time)
A,128983,train,2,1,2 1,2,24 675,38 32,699,1541806172.97,Fri Nov 09 2018 18:29:32 GMT-0500 (Eastern Standard Time)
A,128983,train,6,2,6 5 4 3 2,5,340 847 751 351 541 249,40 40 37 37 37 32,3079,1541806182.131,Fri Nov 09 2018 18:29:42 GMT-0500 (Eastern Standard Time)
A,128983,train,8,6,8 9 1 2 3 4 5 6,8,191 833 501 398 216 372 386 1024 242,37 40 40 40 39 39 39 38 32,4163,1541806192.357,Fri Nov 09 2018 18:29:52 GMT-0500 (Eastern Standard Time)
A,128983,train,3,5,3 4 5,3,312 312 582,39 39 32,1206,1541806199.631,Fri Nov 09 2018 18:29:59 GMT-0500 (Eastern Standard Time)
A,128983,train,6,1,6 7 8 9 8 7 8 9 1,9,49 430 773 518 654 326 561 551 456 454,38 38 37 37 39 39 37 37 40 32,4772,1541806210.472,Fri Nov 09 2018 18:30:10 GMT-0500 (Eastern Standard Time)
A,128983,train,8,6,8 7 6,3,132 484 396 262,39 39 40 32,1274,1541806217.791,Fri Nov 09 2018 18:30:17 GMT-0500 (Eastern Standard Time)
A,128983,train,4,7,4 3 2 1 9 8 7,7,1616 573 753 407 619 324 453,37 37 38 38 39 39 32,4745,1541806228.616,Fri Nov 09 2018 18:30:28 GMT-0500 (Eastern Standard Time)
A,128983,train,9,3,9 8 7 6 5 4 3,7,49 55 436 503 659 399 553 267 408,39 38 39 39 40 40 37 37 32,3329,1541806238.008,Fri Nov 09 2018 18:30:38 GMT-0500 (Eastern Standard Time)
A,128983,train,7,6,7 6,2,372 13108 27 306,32 40 39 32,13813,1541806257.908,Fri Nov 09 2018 18:30:57 GMT-0500 (Eastern Standard Time)
A,128983,train,4,2,4 5 6 7 8 9 1 2,8,825 767 474 941 397 902 262 484,39 38 38 37 37 40 40 32,5052,1541806269.02,Fri Nov 09 2018 18:31:09 GMT-0500 (Eastern Standard Time)
A,128983,train,3,9,3 4 5 6 7 8 9,7,258 433 573 361 387 596 256 300 561,39 39 39 38 38 38 37 37 32,3725,1541806278.803,Fri Nov 09 2018 18:31:18 GMT-0500 (Eastern Standard Time)
A,128983,train,1,2,1 2,2,243 310,40 32,553,1541806285.431,Fri Nov 09 2018 18:31:25 GMT-0500 (Eastern Standard Time)
