group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,106181,train,9,1,9 8 7 8 9 1 9 8 7 8 9 1,12,3524 3985 921 607 825 746 1620 2550 471 348 666 588 481 440 284 277 541 951,39 39 38 37 38 37 40 38 39 32 39 39 32 37 37 37 40 32,19825,1542895431.649,Thu Nov 22 2018 08:03:51 GMT-0600 (Central Standard Time)
A,106181,train,3,8,3 4 3 2 1 9 8,7,541 650 305 1055 756 929 368,39 37 37 38 38 39 32,4604,1542895442.27,Thu Nov 22 2018 08:04:02 GMT-0600 (Central Standard Time)
A,106181,train,8,9,8 9,2,461 295,37 32,756,1542895449.033,Thu Nov 22 2018 08:04:09 GMT-0600 (Central Standard Time)
A,106181,train,8,4,8 7 6 5 4,5,494 1003 1208 1563 570,39 40 40 37 32,4838,1542895459.877,Thu Nov 22 2018 08:04:19 GMT-0600 (Central Standard Time)
A,106181,train,9,1,9 1,2,682 311,40 32,993,1542895466.876,Thu Nov 22 2018 08:04:26 GMT-0600 (Central Standard Time)
A,106181,train,6,4,6 5 4,3,380 836 268,40 37 32,1484,1542895474.367,Thu Nov 22 2018 08:04:34 GMT-0600 (Central Standard Time)
A,106181,train,8,9,8 9,2,349 245,37 32,594,1542895480.967,Thu Nov 22 2018 08:04:40 GMT-0600 (Central Standard Time)
A,106181,train,6,2,6 7 8 9 1 2,6,466 1172 645 7957 547 450,38 37 37 40 40 32,11237,1542895498.209,Thu Nov 22 2018 08:04:58 GMT-0600 (Central Standard Time)
A,106181,train,1,4,1 2 3 4,4,219 669 488 1195,40 39 39 32,2571,1542895506.788,Thu Nov 22 2018 08:05:06 GMT-0600 (Central Standard Time)
A,106181,train,3,5,3 4 5,3,2059 503 728,39 39 32,3290,1542895516.085,Thu Nov 22 2018 08:05:16 GMT-0600 (Central Standard Time)
A,106181,train,2,8,2 1 9 8,4,524 644 596 293,38 38 39 32,2057,1542895524.151,Thu Nov 22 2018 08:05:24 GMT-0600 (Central Standard Time)
A,106181,train,4,8,4 3 2 1 9 8,6,382 1325 727 500 502 239,37 37 38 38 39 32,3675,1542895533.834,Thu Nov 22 2018 08:05:33 GMT-0600 (Central Standard Time)
A,106181,train,7,3,7 8 9 1 2 3,6,407 531 744 438 632 187,37 37 40 40 39 32,2939,1542895542.776,Thu Nov 22 2018 08:05:42 GMT-0600 (Central Standard Time)
A,106181,train,4,6,4 5 6,3,755 685 264,39 38 32,1704,1542895550.485,Thu Nov 22 2018 08:05:50 GMT-0600 (Central Standard Time)
A,106181,train,5,7,5 6 7,3,448 487 253,38 38 32,1188,1542895557.678,Thu Nov 22 2018 08:05:57 GMT-0600 (Central Standard Time)
A,106181,train,7,5,7 6 5,3,297 393 293,40 40 32,983,1542895564.671,Thu Nov 22 2018 08:06:04 GMT-0600 (Central Standard Time)
A,106181,train,7,9,7 8 9,3,366 457 181,37 37 32,1004,1542895571.684,Thu Nov 22 2018 08:06:11 GMT-0600 (Central Standard Time)
A,106181,train,6,7,6 7,2,438 307,38 32,745,1542895578.437,Thu Nov 22 2018 08:06:18 GMT-0600 (Central Standard Time)
A,106181,train,4,9,4 3 2 1 9,5,501 321 499 257 300,37 37 38 38 32,1878,1542895586.325,Thu Nov 22 2018 08:06:26 GMT-0600 (Central Standard Time)
A,106181,train,9,4,9 8 7 6 5 4,6,1487 342 513 697 751 189,39 39 40 40 37 32,3979,1542895596.312,Thu Nov 22 2018 08:06:36 GMT-0600 (Central Standard Time)
A,106181,train,6,4,6 5 4,3,406 748 279,40 37 32,1433,1542895603.752,Thu Nov 22 2018 08:06:43 GMT-0600 (Central Standard Time)
A,106181,train,1,5,1 2 3 4 5,5,303 591 521 453 196,40 39 39 39 32,2064,1542895611.822,Thu Nov 22 2018 08:06:51 GMT-0600 (Central Standard Time)
A,106181,train,6,9,6 7 8 9,4,777 558 827 276,38 37 37 32,2438,1542895620.266,Thu Nov 22 2018 08:07:00 GMT-0600 (Central Standard Time)
A,106181,train,8,3,8 9 1 2 3,5,455 659 430 652 178,37 40 40 39 32,2374,1542895628.645,Thu Nov 22 2018 08:07:08 GMT-0600 (Central Standard Time)
A,106181,train,6,3,6 5 4 3,4,627 448 413 187,40 37 37 32,1675,1542895636.326,Thu Nov 22 2018 08:07:16 GMT-0600 (Central Standard Time)
A,106181,train,3,2,3 2,2,342 222,37 32,564,1542895642.895,Thu Nov 22 2018 08:07:22 GMT-0600 (Central Standard Time)
A,106181,train,2,6,2 3 4 5 6,5,364 346 575 488 202,39 39 39 38 32,1975,1542895650.876,Thu Nov 22 2018 08:07:30 GMT-0600 (Central Standard Time)
A,106181,train,7,6,7 6,2,407 301,40 32,708,1542895657.59,Thu Nov 22 2018 08:07:37 GMT-0600 (Central Standard Time)
A,106181,train,2,4,2 3 4,3,663 333 261,39 39 32,1257,1542895664.852,Thu Nov 22 2018 08:07:44 GMT-0600 (Central Standard Time)
A,106181,train,9,1,9 1,2,437 186,40 32,623,1542895671.481,Thu Nov 22 2018 08:07:51 GMT-0600 (Central Standard Time)
A,106181,train,2,5,2 3 4 5,4,452 298 510 179,39 39 39 32,1439,1542895678.926,Thu Nov 22 2018 08:07:58 GMT-0600 (Central Standard Time)
A,106181,train,5,3,5 4 3,3,853 241 305,37 37 32,1399,1542895686.332,Thu Nov 22 2018 08:08:06 GMT-0600 (Central Standard Time)
A,106181,train,2,3,2 3,2,375 208,39 32,583,1542895692.923,Thu Nov 22 2018 08:08:12 GMT-0600 (Central Standard Time)
A,106181,train,4,9,4 3 2 1 9,5,361 384 852 391 211,37 37 38 38 32,2199,1542895701.127,Thu Nov 22 2018 08:08:21 GMT-0600 (Central Standard Time)
A,106181,train,4,5,4 5,2,330 229,39 32,559,1542895707.694,Thu Nov 22 2018 08:08:27 GMT-0600 (Central Standard Time)
A,106181,train,1,9,1 9,2,338 204,38 32,542,1542895714.243,Thu Nov 22 2018 08:08:34 GMT-0600 (Central Standard Time)
A,106181,train,1,3,1 9 8 7 6 5 4 3,8,1001 779 418 626 454 765 412 194,38 39 39 40 40 37 37 32,4649,1542895724.9,Thu Nov 22 2018 08:08:44 GMT-0600 (Central Standard Time)
A,106181,train,2,3,2 3,2,431 204,39 32,635,1542895731.544,Thu Nov 22 2018 08:08:51 GMT-0600 (Central Standard Time)
A,106181,train,4,3,4 3,2,399 219,37 32,618,1542895738.169,Thu Nov 22 2018 08:08:58 GMT-0600 (Central Standard Time)
A,106181,train,8,7,8 7,2,564 191,39 32,755,1542895744.929,Thu Nov 22 2018 08:09:04 GMT-0600 (Central Standard Time)
A,106181,train,1,9,1 9,2,591 166,38 32,757,1542895751.695,Thu Nov 22 2018 08:09:11 GMT-0600 (Central Standard Time)
A,106181,train,9,1,9 1,2,318 146,40 32,464,1542895758.163,Thu Nov 22 2018 08:09:18 GMT-0600 (Central Standard Time)
A,106181,train,1,3,1 9 8 7 6 5 4 3,8,855 474 269 491 381 484 307 212,38 39 39 40 40 37 37 32,3473,1542895767.642,Thu Nov 22 2018 08:09:27 GMT-0600 (Central Standard Time)
A,106181,train,8,6,8 9 1 2 3 4 5 6,8,595 516 246 519 336 424 801 215,37 40 40 39 39 39 38 32,3652,1542895777.301,Thu Nov 22 2018 08:09:37 GMT-0600 (Central Standard Time)
A,106181,train,4,7,4 3 2 1 9 8 7,7,468 424 456 276 490 339 198,37 37 38 38 39 39 32,2651,1542895785.962,Thu Nov 22 2018 08:09:45 GMT-0600 (Central Standard Time)
A,106181,train,9,4,9 1 2 3 4,5,1271 304 549 364 607,40 40 39 39 32,3095,1542895795.063,Thu Nov 22 2018 08:09:55 GMT-0600 (Central Standard Time)
A,106181,train,3,1,3 2 1,3,1187 614 259,37 38 32,2060,1542895803.129,Thu Nov 22 2018 08:10:03 GMT-0600 (Central Standard Time)
A,106181,train,6,9,6 5 4 3 2 1 9,7,2158 674 200 363 264 331 262 248,40 37 37 37 37 38 38 32,4500,1542895813.638,Thu Nov 22 2018 08:10:13 GMT-0600 (Central Standard Time)
A,106181,train,4,7,4 5 6 7,4,1461 551 765 541,39 38 38 32,3318,1542895822.962,Thu Nov 22 2018 08:10:22 GMT-0600 (Central Standard Time)
