group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,115491,train,6,1,6 5 4 3 2 1,6,2007 1818 1511 2151 867 590,39 40 40 40 37 32,8944,1543249284.988,Mon Nov 26 2018 11:21:24 GMT-0500 (Eastern Standard Time)
A,115491,train,1,9,1 9,2,365 335,37 32,700,1543249291.715,Mon Nov 26 2018 11:21:31 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,480 813 571,38 39 32,1864,1543249299.613,Mon Nov 26 2018 11:21:39 GMT-0500 (Eastern Standard Time)
A,115491,train,7,1,7 8 9 1,4,425 1952 801 370,40 40 39 32,3548,1543249309.182,Mon Nov 26 2018 11:21:49 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,441 722 515,38 39 32,1678,1543249316.898,Mon Nov 26 2018 11:21:56 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,395 622 545,38 39 32,1562,1543249324.482,Mon Nov 26 2018 11:22:04 GMT-0500 (Eastern Standard Time)
A,115491,train,1,9,1 9,2,334 376,37 32,710,1543249331.253,Mon Nov 26 2018 11:22:11 GMT-0500 (Eastern Standard Time)
A,115491,train,1,9,1 9,2,415 304,37 32,719,1543249338.013,Mon Nov 26 2018 11:22:18 GMT-0500 (Eastern Standard Time)
A,115491,train,1,3,1 9 8 7 8 9 1 2 3,9,334 1692 1622 1269 569 1487 1408 2106 358,37 38 38 40 40 39 39 38 32,10845,1543249354.884,Mon Nov 26 2018 11:22:34 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,1913 934 802,38 39 32,3649,1543249364.559,Mon Nov 26 2018 11:22:44 GMT-0500 (Eastern Standard Time)
A,115491,train,5,8,5 4 3 2 3 4 5 6 7 8 9 8,12,374 1784 1018 2123 1011 2145 1264 1914 1740 15858 841 747 1068,40 40 40 38 38 38 37 40 37 40 40 38 32,31887,1543249402.482,Mon Nov 26 2018 11:23:22 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,37901 625 826,38 39 32,39352,1543249447.904,Mon Nov 26 2018 11:24:07 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,451 533 604,38 39 32,1588,1543249455.524,Mon Nov 26 2018 11:24:15 GMT-0500 (Eastern Standard Time)
A,115491,train,9,8,9 8,2,459 488,38 32,947,1543249462.497,Mon Nov 26 2018 11:24:22 GMT-0500 (Eastern Standard Time)
A,115491,train,1,9,1 9,2,374 599,37 32,973,1543249469.533,Mon Nov 26 2018 11:24:29 GMT-0500 (Eastern Standard Time)
A,115491,train,1,9,1 9,2,518 595,37 32,1113,1543249476.673,Mon Nov 26 2018 11:24:36 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,858 551 771,38 39 32,2180,1543249484.89,Mon Nov 26 2018 11:24:44 GMT-0500 (Eastern Standard Time)
A,115491,train,2,5,2 3 4 5,4,1836 3409 1012 1011,38 38 38 32,7268,1543249498.193,Mon Nov 26 2018 11:24:58 GMT-0500 (Eastern Standard Time)
A,115491,train,2,5,2 3 4 5,4,8751 1634 786 576,38 38 38 32,11747,1543249515.968,Mon Nov 26 2018 11:25:15 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,3243 694 661,38 39 32,4598,1543249526.63,Mon Nov 26 2018 11:25:26 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,800 535 754,38 39 32,2089,1543249534.746,Mon Nov 26 2018 11:25:34 GMT-0500 (Eastern Standard Time)
A,115491,train,2,5,2 3 4 5,4,2507 1556 1045 623,38 38 38 32,5731,1543249546.51,Mon Nov 26 2018 11:25:46 GMT-0500 (Eastern Standard Time)
A,115491,train,3,1,3 2 1,3,2422 26 1455 925,40 40 37 32,4828,1543249557.38,Mon Nov 26 2018 11:25:57 GMT-0500 (Eastern Standard Time)
A,115491,train,8,6,8 7 6,3,1770 511 569,38 39 32,2850,1543249566.26,Mon Nov 26 2018 11:26:06 GMT-0500 (Eastern Standard Time)
A,115491,train,1,9,1 9,2,1337 417,37 32,1754,1543249574.052,Mon Nov 26 2018 11:26:14 GMT-0500 (Eastern Standard Time)
