group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,137253,train,6,2,6 5 4 3 2,5,3667 1837 172 154 1497,39 40 40 40 32,7327,1543760265.409,Sun Dec 02 2018 06:17:45 GMT-0800 (Pacific Standard Time)
A,137253,train,2,3,2 3,2,1611 541,38 32,2152,1543760270.588,Sun Dec 02 2018 06:17:50 GMT-0800 (Pacific Standard Time)
A,137253,train,6,5,6 5,2,2104 245,39 32,2349,1543760275.943,Sun Dec 02 2018 06:17:55 GMT-0800 (Pacific Standard Time)
A,137253,train,2,6,2 1 2 3 4 5 6,7,1628 68 1081 359 189 155 178 736 189 156 307 912 245,39 32 37 39 16 16 16 38 38 38 32 37 32,6203,1543760285.175,Sun Dec 02 2018 06:18:05 GMT-0800 (Pacific Standard Time)
A,137253,train,1,6,1 9 8 7 6,5,619 390 291 168 313 227,38 37 38 38 39 32,2008,1543760290.206,Sun Dec 02 2018 06:18:10 GMT-0800 (Pacific Standard Time)
A,137253,train,2,1,2 1,2,765 246,37 32,1011,1543760294.242,Sun Dec 02 2018 06:18:14 GMT-0800 (Pacific Standard Time)
A,137253,train,5,7,5 6 7,3,706 232 214,37 37 32,1152,1543760298.418,Sun Dec 02 2018 06:18:18 GMT-0800 (Pacific Standard Time)
A,137253,train,7,1,7 8 9 1,4,1199 186 326 126,40 40 39 32,1837,1543760303.278,Sun Dec 02 2018 06:18:23 GMT-0800 (Pacific Standard Time)
A,137253,train,1,5,1 2 3 4 5,5,4388 308 224 135 261,39 38 38 38 32,5316,1543760311.605,Sun Dec 02 2018 06:18:31 GMT-0800 (Pacific Standard Time)
A,137253,train,7,3,7 6 5 4 3 2 3,7,474 449 169 162 158 363 241,39 39 40 40 40 38 32,2016,1543760316.652,Sun Dec 02 2018 06:18:36 GMT-0800 (Pacific Standard Time)
A,137253,train,4,7,4 5 6 7,4,981 379 200 235,38 37 37 32,1795,1543760321.466,Sun Dec 02 2018 06:18:41 GMT-0800 (Pacific Standard Time)
A,137253,train,1,8,1 9 8,3,1340 247 205,37 38 32,1792,1543760326.285,Sun Dec 02 2018 06:18:46 GMT-0800 (Pacific Standard Time)
A,137253,train,2,7,2 3 4 5 6 7,6,1776 186 177 225 164 208,38 38 38 37 37 32,2736,1543760332.045,Sun Dec 02 2018 06:18:52 GMT-0800 (Pacific Standard Time)
A,137253,train,7,4,7 6 5 4,4,439 210 181 191,39 39 40 32,1021,1543760336.082,Sun Dec 02 2018 06:18:56 GMT-0800 (Pacific Standard Time)
A,137253,train,8,3,8 7 6 5 4 3,6,487 611 190 189 218 167 597,39 38 39 39 40 40 32,2459,1543760341.552,Sun Dec 02 2018 06:19:01 GMT-0800 (Pacific Standard Time)
A,137253,train,4,8,4 5 6 7 8,5,477 421 254 188 369 227,37 38 37 37 40 32,1936,1543760346.503,Sun Dec 02 2018 06:19:06 GMT-0800 (Pacific Standard Time)
A,137253,train,2,4,2 3 4,3,1167 185 287,38 38 32,1639,1543760351.167,Sun Dec 02 2018 06:19:11 GMT-0800 (Pacific Standard Time)
A,137253,train,5,8,5 6 7 8 9 8,6,1540 188 236 185 293 260,37 37 40 40 38 32,2702,1543760356.88,Sun Dec 02 2018 06:19:16 GMT-0800 (Pacific Standard Time)
A,137253,train,8,2,8 9 1 2,4,4337 287 203 117,40 39 39 32,4944,1543760364.847,Sun Dec 02 2018 06:19:24 GMT-0800 (Pacific Standard Time)
A,137253,train,1,3,1 2 3,3,544 191 221,39 38 32,956,1543760368.835,Sun Dec 02 2018 06:19:28 GMT-0800 (Pacific Standard Time)
A,137253,train,7,8,7 6 7 8,4,4726 339 351 317,39 37 40 32,5733,1543760377.577,Sun Dec 02 2018 06:19:37 GMT-0800 (Pacific Standard Time)
A,137253,train,9,1,9 1,2,849 288,39 32,1137,1543760381.748,Sun Dec 02 2018 06:19:41 GMT-0800 (Pacific Standard Time)
A,137253,train,7,9,7 8 9,3,754 253 230,40 40 32,1237,1543760385.999,Sun Dec 02 2018 06:19:45 GMT-0800 (Pacific Standard Time)
A,137253,train,4,2,4 3 2,3,778 236 246,40 40 32,1260,1543760390.324,Sun Dec 02 2018 06:19:50 GMT-0800 (Pacific Standard Time)
A,137253,train,5,9,5 6 7 8 9,5,568 422 312 213 130,37 37 40 40 32,1645,1543760394.992,Sun Dec 02 2018 06:19:54 GMT-0800 (Pacific Standard Time)
A,137253,train,7,6,7 6,2,589 334,39 32,923,1543760398.93,Sun Dec 02 2018 06:19:58 GMT-0800 (Pacific Standard Time)
A,137253,train,2,3,2 3,2,553 369 542,39 38 32,1464,1543760403.4,Sun Dec 02 2018 06:20:03 GMT-0800 (Pacific Standard Time)
A,137253,train,1,2,1 2,2,517 257,39 32,774,1543760407.196,Sun Dec 02 2018 06:20:07 GMT-0800 (Pacific Standard Time)
A,137253,train,4,5,4 5,2,613 254,38 32,867,1543760411.078,Sun Dec 02 2018 06:20:11 GMT-0800 (Pacific Standard Time)
A,137253,train,6,8,6 7 8,3,512 411 276,37 40 32,1199,1543760415.3,Sun Dec 02 2018 06:20:15 GMT-0800 (Pacific Standard Time)
A,137253,train,6,9,6 7 8 9,4,573 445 387 564 299,37 37 40 40 32,2268,1543760420.582,Sun Dec 02 2018 06:20:20 GMT-0800 (Pacific Standard Time)
A,137253,train,1,9,1 9,2,572 273,37 32,845,1543760424.447,Sun Dec 02 2018 06:20:24 GMT-0800 (Pacific Standard Time)
A,137253,train,4,7,4 5 6 5 6 7,6,576 374 262 36 234 214 212,37 38 37 39 37 37 32,1908,1543760429.367,Sun Dec 02 2018 06:20:29 GMT-0800 (Pacific Standard Time)
A,137253,train,5,6,5 6,2,682 361,37 32,1043,1543760433.428,Sun Dec 02 2018 06:20:33 GMT-0800 (Pacific Standard Time)
A,137253,train,4,9,4 5 6 7 8 9,6,572 325 285 224 310 245 273,37 38 37 37 40 40 32,2234,1543760438.669,Sun Dec 02 2018 06:20:38 GMT-0800 (Pacific Standard Time)
A,137253,train,3,2,3 4 3 2,4,538 304 180 257,38 40 40 32,1279,1543760442.97,Sun Dec 02 2018 06:20:42 GMT-0800 (Pacific Standard Time)
