group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, timestamp, datetime
A,113862,train,2,1,2 1,2,4147 1428,39 32,5575,1543184155.729,Sun Nov 25 2018 17:15:55 GMT-0500 (Eastern Standard Time)
A,113862,train,4,1,4 3 2 1,4,1400 371 432 509,40 40 39 32,2712,1543184161.465,Sun Nov 25 2018 17:16:01 GMT-0500 (Eastern Standard Time)
A,113862,train,1,9,1 9,2,1664 799,39 32,2463,1543184166.961,Sun Nov 25 2018 17:16:06 GMT-0500 (Eastern Standard Time)
A,113862,train,1,9,1 9,2,979 935,39 32,1914,1543184171.901,Sun Nov 25 2018 17:16:11 GMT-0500 (Eastern Standard Time)
A,113862,train,4,3,4 3,2,2734 864,40 32,3598,1543184178.525,Sun Nov 25 2018 17:16:18 GMT-0500 (Eastern Standard Time)
A,113862,train,8,6,8 7 6,3,2025 949 651,38 37 32,3625,1543184185.188,Sun Nov 25 2018 17:16:25 GMT-0500 (Eastern Standard Time)
A,113862,train,1,9,1 9,2,2618 737,39 32,3355,1543184191.566,Sun Nov 25 2018 17:16:31 GMT-0500 (Eastern Standard Time)
A,113862,train,8,6,8 7 6,3,2935 907 435,38 37 32,4277,1543184198.86,Sun Nov 25 2018 17:16:38 GMT-0500 (Eastern Standard Time)
A,113862,train,8,6,8 7 6,3,4444 972 465,38 37 32,5881,1543184207.759,Sun Nov 25 2018 17:16:47 GMT-0500 (Eastern Standard Time)
A,113862,train,9,6,9 8 7 6,4,1616 406 680 395,38 38 37 32,3097,1543184213.876,Sun Nov 25 2018 17:16:53 GMT-0500 (Eastern Standard Time)
A,113862,train,1,9,1 9,2,1724 608,39 32,2332,1543184219.239,Sun Nov 25 2018 17:16:59 GMT-0500 (Eastern Standard Time)
A,113862,train,8,6,8 7 6,3,1376 670 360,38 37 32,2406,1543184224.665,Sun Nov 25 2018 17:17:04 GMT-0500 (Eastern Standard Time)
A,113862,train,1,9,1 9,2,1929 475,39 32,2404,1543184230.084,Sun Nov 25 2018 17:17:10 GMT-0500 (Eastern Standard Time)
A,113862,train,2,5,2 3 4 5,4,2747 366 252 777,38 38 38 32,4142,1543184237.253,Sun Nov 25 2018 17:17:17 GMT-0500 (Eastern Standard Time)
A,113862,train,6,4,6 5 4,3,5316 784 453,37 40 32,6553,1543184246.843,Sun Nov 25 2018 17:17:26 GMT-0500 (Eastern Standard Time)
A,113862,train,8,6,8 7 6,3,1846 745 334,38 37 32,2925,1543184252.787,Sun Nov 25 2018 17:17:32 GMT-0500 (Eastern Standard Time)
A,113862,train,3,9,3 2 1 9,4,2508 439 330 521,40 39 39 32,3798,1543184259.61,Sun Nov 25 2018 17:17:39 GMT-0500 (Eastern Standard Time)
A,113862,train,2,5,2 3 4 5,4,2142 324 387 743,38 38 38 32,3596,1543184266.243,Sun Nov 25 2018 17:17:46 GMT-0500 (Eastern Standard Time)
A,113862,train,8,6,8 7 6,3,19994 1158 806,38 37 32,21958,1543184291.213,Sun Nov 25 2018 17:18:11 GMT-0500 (Eastern Standard Time)
