group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,135345,train,4,5,4 5,2,1153 1185,39 32,2338
A,135345,train,5,6,5 6,2,1023 463,38 32,1486
A,135345,train,4,7,4 3 4 5 6 7,6,1315 2848 727 1715 926 715,37 39 39 38 38 32,8246
A,135345,train,10,9,10 9,2,1216 456,39 32,1672
A,135345,train,4,5,4 5,2,2915 422,39 32,3337
A,135345,train,8,10,8 7 6 5 6 7 8 9 10,9,2047 1953 1280 1858 1431 1751 1320 1009 598,39 40 40 38 38 37 37 37 32,13247
A,135345,train,6,5,6 5,2,956 382,40 32,1338
A,135345,train,8,7,8 7,2,1170 384,39 32,1554
A,135345,train,10,8,10 1 2 3 4 5 6 7 8,9,1747 1777 1598 1353 1112 1168 1120 1296 528,40 40 39 39 39 38 38 37 32,11699
A,135345,train,3,1,3 4 5 6 7 8 9 10 1,9,1918 1230 1560 1272 1569 1415 1304 1080 424,39 39 38 38 37 37 37 40 32,11772
A,135345,train,7,9,7 8 9,3,1258 664 424,37 37 32,2346
