group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,171346,train,1,2,1 2 3 2 3 4 5 4 3 2,10,2711 2689 3801 2429 3174 899 1148 766 830 413 4055 3554,37 38 37 40 38 38 38 38 40 40 40 32,26469
A,171346,train,9,2,9 8 7 6 7 8 9 10 1 2,10,1548 796 952 1117 1456 892 2359 2025 1180 488,38 38 37 39 40 40 40 37 37 32,12813
A,171346,train,6,4,6 7 8 9 8 7 6 5 4,9,1439 2219 2316 1498 755 2813 1631 1487 411,39 40 40 38 38 37 37 40 32,14569
A,171346,train,5,6,5 6,2,927 368,39 32,1295
A,171346,train,5,4,5 4,2,788 345,40 32,1133
A,171346,train,5,6,5 6,2,790 382,39 32,1172
A,171346,train,7,8,7 8,2,831 386,40 32,1217
A,171346,train,1,7,1 2 3 4 3 2 3 4 5 6 7,11,1760 1941 636 2425 917 357 20039 1954 1051 1138 593 1012 295,37 40 38 38 40 40 38 38 38 38 39 39 32,34118
A,171346,train,5,6,5 6,2,1032 351,39 32,1383
A,171346,train,5,9,5 4 3 2 1 10 9,7,1774 1104 2275 1195 1559 1145 379,40 40 40 39 39 38 32,9431
A,171346,train,1,3,1 10 9 8 7 6 5 4 3,9,2496 1675 1767 1286 1676 1542 1283 868 374,39 38 38 38 37 37 40 40 32,12967
A,171346,train,3,7,3 2 3 4 5 6 7,7,2513 1290 404 1253 1168 873 450,40 38 38 38 39 39 32,7951
A,171346,train,7,8,7 8,2,980 343,40 32,1323
A,171346,train,7,10,7 8 9 10,4,1243 967 830 360,40 40 40 32,3400
A,171346,train,5,4,5 4,2,928 336,40 32,1264
A,171346,train,3,2,3 2,2,782 232,40 32,1014
A,171346,train,2,10,2 1 10,3,996 503 395,39 39 32,1894
A,171346,train,7,8,7 8,2,714 341,40 32,1055
A,171346,train,5,6,5 6,2,826 361,39 32,1187
A,171346,train,1,9,1 10 9,3,1353 944 538 1264,39 40 38 32,4099
A,171346,train,8,7,8 7,2,1479 453,38 32,1932
A,171346,train,5,6,5 6,2,748 445,39 32,1193
A,171346,train,6,4,6 7 8 9 10 1 2 3 4,9,2130 1726 2048 1745 2184 1515 1517 666 416,39 40 40 40 37 37 38 38 32,13947
A,171346,train,5,6,5 6,2,962 282,39 32,1244
A,171346,train,5,4,5 4,2,879 335,40 32,1214
A,171346,train,5,7,5 4 3 2 1 10 9 8 7,9,2666 1639 1194 2408 1763 1761 1326 497 513,40 40 40 39 39 38 38 38 32,13767
A,171346,train,3,2,3 2,2,889 315,40 32,1204
A,171346,train,3,10,3 4 3 2 1 10,6,1451 2258 492 1490 600 401,38 40 40 39 39 32,6692
A,171346,train,6,4,6 7 8 9 10 1 2 3 4,9,1160 1190 1137 1734 1319 1304 1651 778 392,39 40 40 40 37 37 38 38 32,10665
A,171346,train,3,1,3 2 1,3,3580 1057 359,40 39 32,4996
A,171346,train,5,6,5 6,2,556 258,39 32,814
A,171346,train,4,3,4 3,2,807 343,40 32,1150
A,171346,train,6,5,6 5,2,851 292,37 32,1143
A,171346,train,7,8,7 8,2,950 306,40 32,1256
A,171346,train,7,8,7 8,2,372 291,40 32,663
A,171346,train,5,4,5 4,2,728 275,40 32,1003
