group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot
A,135239,train,1,3,1 2 3 4 5 4 3,7,1340 147 272 219 1148 671 188 491,38 38 37 37 37 39 39 32,4476
A,135239,train,10,7,10 1 2 3 4 5 6 7,8,805 424 525 218 379 460 438 226,38 38 37 37 37 40 40 32,3475
A,135239,train,4,6,4 3 2 1 10 9 8 7 6,9,1203 190 231 266 210 430 167 251 235 989 177,39 39 39 40 40 40 37 37 37 38 32,4349
A,135239,train,10,7,10 1 2 3 4 5 6 7,8,1338 198 424 217 343 436 178 418,38 38 37 37 37 40 40 32,3552
A,135239,train,1,3,1 2 3 4 3,5,1048 385 233 270 155,38 37 37 39 32,2091
A,135239,train,4,6,4 5 6,3,467 215 236 246,37 37 40 32,1164
A,135239,test,6,1,6 7,2,1305,40,1305
A,135239,test,1,6,1 2,2,1208,38,1208
A,135239,test,7,2,7 6,2,900,38,900
A,135239,test,2,7,2 3,2,1079,37,1079
