group, subj_id, stage, start, goal, path, length, RTs, keys, RT_tot, reward, timestamp, datetime
A,126217,train,4,-1,4,1,28007,32,28007,28,1543590089.608,Fri Nov 30 2018 09:01:29 GMT-0600 (Central Standard Time)
A,126217,train,7,1,7 8 9 10 1,5,718 176 192 80 416,40 40 40 37 32,1582,176,1543590092.696,Fri Nov 30 2018 09:01:32 GMT-0600 (Central Standard Time)
A,126217,train,7,8,7 8,2,983 61,40 32,1044,149,1543590095.246,Fri Nov 30 2018 09:01:35 GMT-0600 (Central Standard Time)
A,126217,train,2,3,2 3,2,720 304 1024,40 38 32,2048,176,1543590098.799,Fri Nov 30 2018 09:01:38 GMT-0600 (Central Standard Time)
A,126217,train,2,5,2 3 4 5,4,714 208 171 196,38 38 38 32,1289,28,1543590101.596,Fri Nov 30 2018 09:01:41 GMT-0600 (Central Standard Time)
A,126217,train,2,1,2 1,2,750 160,39 32,910,176,1543590104.011,Fri Nov 30 2018 09:01:44 GMT-0600 (Central Standard Time)
A,126217,train,7,1,7 8 9 10 1,5,936 319 192 96 176,40 40 40 37 32,1719,176,1543590107.235,Fri Nov 30 2018 09:01:47 GMT-0600 (Central Standard Time)
A,126217,train,2,9,2 1 10 9,4,622 184 216 135,39 39 38 32,1157,149,1543590109.899,Fri Nov 30 2018 09:01:49 GMT-0600 (Central Standard Time)
A,126217,train,9,7,9 8 7,3,720 185 120,38 38 32,1025,149,1543590112.427,Fri Nov 30 2018 09:01:52 GMT-0600 (Central Standard Time)
A,126217,train,5,8,5 6 7 8,4,604 208 128 159,39 39 40 32,1099,149,1543590115.035,Fri Nov 30 2018 09:01:55 GMT-0600 (Central Standard Time)
A,126217,train,9,-1,9 10 1,3,1178 126 121 1168,40 40 37 32,2593,196,1543590119.131,Fri Nov 30 2018 09:01:59 GMT-0600 (Central Standard Time)
A,126217,train,10,4,10 1 2 3 4,5,622 321 256 120 208 153,37 38 37 38 38 32,1680,29,1543590122.316,Fri Nov 30 2018 09:02:02 GMT-0600 (Central Standard Time)
A,126217,train,10,-1,10 1,2,1392 177,37 32,1569,196,1543590125.387,Fri Nov 30 2018 09:02:05 GMT-0600 (Central Standard Time)
A,126217,train,5,6,5 6,2,654 151,39 32,805,29,1543590127.699,Fri Nov 30 2018 09:02:07 GMT-0600 (Central Standard Time)
A,126217,train,2,1,2 1,2,734 223,39 32,957,196,1543590130.159,Fri Nov 30 2018 09:02:10 GMT-0600 (Central Standard Time)
A,126217,train,6,5,6 5,2,663 128,37 32,791,29,1543590132.454,Fri Nov 30 2018 09:02:12 GMT-0600 (Central Standard Time)
A,126217,train,4,5,4 5,2,758 120,38 32,878,29,1543590134.84,Fri Nov 30 2018 09:02:14 GMT-0600 (Central Standard Time)
A,126217,train,3,8,3 2 1 10 9 8,6,711 383 152 208 242 127 184 128,39 40 39 39 39 38 38 32,2135,89,1543590138.479,Fri Nov 30 2018 09:02:18 GMT-0600 (Central Standard Time)
A,126217,train,2,1,2 1,2,705 231,39 32,936,196,1543590140.919,Fri Nov 30 2018 09:02:20 GMT-0600 (Central Standard Time)
A,126217,train,5,2,5 4 3 2,4,672 168 185 199,40 40 40 32,1224,196,1543590143.646,Fri Nov 30 2018 09:02:23 GMT-0600 (Central Standard Time)
A,126217,train,9,8,9 8,2,729 151,38 32,880,89,1543590146.031,Fri Nov 30 2018 09:02:26 GMT-0600 (Central Standard Time)
A,126217,train,7,10,7 8 9 10,4,798 241 175 160,40 40 40 32,1374,89,1543590148.91,Fri Nov 30 2018 09:02:28 GMT-0600 (Central Standard Time)
A,126217,train,3,7,3 2 1 10 9 8 7,7,784 167 192 192 161 192 167 153,40 39 39 39 38 38 38 32,2008,89,1543590152.423,Fri Nov 30 2018 09:02:32 GMT-0600 (Central Standard Time)
A,126217,train,8,7,8 7,2,609 144,38 32,753,89,1543590154.683,Fri Nov 30 2018 09:02:34 GMT-0600 (Central Standard Time)
A,126217,train,7,-1,7 8 9 10 1,5,920 167 192 88 177,40 40 40 37 32,1544,196,1543590157.731,Fri Nov 30 2018 09:02:37 GMT-0600 (Central Standard Time)
A,126217,train,3,10,3 2 1 10,4,1277 352 185 120,40 39 39 32,1934,89,1543590161.17,Fri Nov 30 2018 09:02:41 GMT-0600 (Central Standard Time)
A,126217,train,9,10,9 10,2,815 152,40 32,967,89,1543590163.642,Fri Nov 30 2018 09:02:43 GMT-0600 (Central Standard Time)
A,126217,train,8,10,8 9 10,3,736 175 112,40 40 32,1023,89,1543590166.169,Fri Nov 30 2018 09:02:46 GMT-0600 (Central Standard Time)
A,126217,train,4,6,4 5 6,3,688 136 120,38 39 32,944,29,1543590168.617,Fri Nov 30 2018 09:02:48 GMT-0600 (Central Standard Time)
A,126217,train,7,4,7 6 5 4,4,700 192 108 40734,37 37 40 32,41734,29,1543590211.859,Fri Nov 30 2018 09:03:31 GMT-0600 (Central Standard Time)
