,2.78
APMGE1034C1LB,2.70
AI6U09NVOZ62B,2.81
A3SWT9MJCQTORQ,2.31
A24M9OW53CLT94,2.38
A1IUH9D7N69VS,2.49
A37QEBDK240IFZ,2.27
A21OS9KG7JNHR7,2.84
A1TARNH07A75CG,1.03
A24BPSANAJ1GVF,2.93
A3PDHDQZZKCTT5,1.46
A1MJFW27HXR76D,2.97
A3CWW9DIL73I14,0.95
AHIM8PGYOIN0K,2.51
A25D66AC4QUW2U,1.79
A1P0XSCJ9XAV74,1.95
A1X5IZPCRLL0Z7,1.46
A2MFMT03E21ZIT,1.40
A15SUPIZ05ZFCD,1.93
A3QNCW3LR2AVOV,1.49
A2Z6NL0CTXY0ZB,0.91
A1FS8SBR4SDWYG,1.63
A2U7BMG19Q83GE,2.69
AJ8ED2A3P0YW9,2.53
A3BXT78QXFC6F3,1.53
A1N3YG2X9SO4PN,2.34
A1XVEKS9O73ERE,2.74
A3AF339V4RYXK8,1.63
A3DCGKISDE1HWO,0.59
A2UHMLMFCP9J72,1.11
A27NBGO9FXJS8Q,1.94
A1KQ7F6KKWPWJB,0.70
AWY6W20U8H3JA,2.82
A2ECXGDFC0NJEL,2.44
A3JVLFHF518XR9,1.34
A23437BMZ5T1FH,1.61
A1RRMINTJ8BHKG,2.42
A1KAIOBTXQ77A6,2.64
AG7C4X3WKKBV,2.24
A33RBG4AB7LIPJ,2.90
ATP2BJPDK4K2B,0.01
A1OPGPTQJ48XOY,2.64
ARVU7VYF2489E,1.99
A3TK7HVFEKB00R,2.92
ARYVMA9T9WLRK,2.13
A2NEP51CWP5VQT,1.30
AY9ZVK32I1P1L,1.83
A362F4IIMOQEJU,2.31
A2O4QLHKZ3A0PM,1.65
A23JCW1KN6XF1T,2.27
A19MB0HIIFEYL8,1.70
AQKTLQV04FD4N,0.98
A20Z5O57UDPFLX,2.49
A2VY16N1O40VEL,2.21
A1X84T4EFW04GZ,2.64
A3H8M155NBFE1L,1.87
A2HSCKH5NKN5LP,1.88
AWKUOA7M4P8YI,2.17
A3PTFE5MJV5DU1,0.30
A2G8UI423QZYJJ,2.51
