Group, ID, Type, Displayed, Goals, Path, Length, RT_Path, Final_RT
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 27734 1505 1790 , 32233
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4681 1148 1280 , 7107
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4817 1345 1769 , 7932
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 5356 1669 1801 , 8825
Group A , 114918 , training , 1 , 2 , 1 2 , 2 , 4695 1286 , 5981
Group A , 114918 , training , 5 , 4 , 5 6 7 1 2 3 4 , 7 , 4800 1201 1105 1728 1041 1062 1366 , 12303
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 5077 1034 1142 , 7252
Group A , 114918 , training , 4 , 6 , 4 3 2 1 7 6 , 6 , 4864 1357 1108 1160 1458 1216 , 11163
Group A , 114918 , training , 7 , 3 , 7 6 5 4 3 , 5 , 4367 1345 1457 1129 1064 , 9361
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4472 1084 1146 , 6704
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4759 1009 1249 , 7017
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4729 1172 1164 , 7064
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4902 1113 1214 , 7228
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4566 1245 1138 , 6950
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4738 7169 1856 , 13763
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4679 1056 1190 , 6926
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 5114 1092 1098 , 7304
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4788 1249 1363 , 7398
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 5080 1106 1196 , 7383
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4532 1613 1161 , 7306
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4813 1255 1407 , 7475
Group A , 114918 , training , 5 , 7 , 5 4 3 2 1 7 , 6 , 4400 1268 1357 1189 1383 1391 , 10989
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4824 1529 1190 , 7544
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4426 1369 1171 , 6965
Group A , 114918 , training , 7 , 6 , 7 1 2 3 4 5 6 , 7 , 4915 1120 1164 1339 1229 1215 1367 , 12348
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4466 1406 1268 , 7141
Group A , 114918 , training , 2 , 4 , 2 3 2 1 7 6 5 4 , 8 , 4733 1238 1197 1278 1170 1031 1090 1098 , 12834
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4328 1120 1266 , 6714
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4342 1124 1096 , 6563
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4452 1440 1189 , 7079
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4315 1070 1137 , 6523
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4316 1029 1214 , 6558
Group A , 114918 , training , 4 , 6 , 4 5 6 , 3 , 4321 1070 1116 1465 1147 , 9120
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4336 1034 1305 , 6675
Group A , 114918 , training , 2 , 4 , 2 3 4 , 3 , 4316 1072 1389 , 6778
Group A , 114918 , test , 2 , 6 , 2 3 4 5 6 , 5 , 4416 1191 1118 1025 1296 , 9046
Group A , 114918 , test , 4 , 7 , 4 5 6 7 , 4 , 4317 1119 1066 1145 1141 1216 , 10003
Group A , 114918 , test , 6 , 2 , 6 5 4 3 2 , 5 , 4645 1155 1085 1090 1154 , 9129
Group A , 114918 , test , 7 , 4 , 7 1 2 3 4 , 5 , 4328 1085 1117 1026 1456 , 9012
